"Basin","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"V1","Ganges","14.8385790726661","14.2448121661909","12.7944186396897","15.5174732191974","13.0570800895186","12.9271955712432","10.8598160022436","13.6790995274096","10.507733897444","11.112523013524","12.2301015592468","12.8976961352383","10.3475509626195","11.4433552365646","12.1830652878248","13.2652420240531","9.45449281536654","11.720222252209","9.94615538059922","9.72252690480543","11.7417869851557","11.6014513405296","11.9910649934857","10.5967752310308","10.6363935100461","9.43023445680171","11.0629390131012","11.8348121772298","12.7898689502245","9.94435052878584","10.1420336509022","12.743463546524","10.8090227575761","8.27316742298251","9.67814521101416","10.0426527553703","9.81058504084777","8.59488865243891","10.8074498913468","9.89253794713858","10.091895474434","8.03310463187002","9.58764009251028","9.69474070608669","9.9563327334257","8.54414978804323","8.69358575267571","9.46519783372625","8.46063812805625","7.65995506055437","7.90515313459318","8.9022497747298","7.24810199788211","7.39811935114111","9.0307529201513","7.0471538483828","7.92776454346048","8.23388739091974","6.61414501008015","7.00862804853572","7.85307617395444","7.87810657575283","7.51355222409181","7.45748959174331","7.2149975202738","6.71460444249869","6.5698962593801","7.08604458800553","8.39534734213911","6.31283612439144","6.37425786103928","5.77150842784407","6.90502948375003","6.39301201027909","7.91617215013683","6.09841269308744","5.92502230266361","6.90034621437108","6.45507952079955","6.85487464237486","6.45184137635124","6.78299025554154","6.13721588500411","6.35010308942483","5.6215409842061","4.8988076255156","6.62279998107813","5.60590513167649","6.29127733543928","5.42836166262937","5.36313475203698","5.74535899973698","5.47839762063839","5.66881004461111","4.87054019865767","5.33434692473978","5.27644659308091","5.48851826159292","6.18354445588423","4.80105865851753"
"V2","Mekong","0.301725590846249","0.331946326381659","0.267159404188148","0.349976635805438","0.295395514393259","0.295808908855879","0.307031028139931","0.326005124608557","0.258238048370986","0.260677160452319","0.325737216887049","0.376233502209522","0.373392770652162","0.274960237611614","0.324892504902995","0.328861044279439","0.249610714200816","0.266636889182993","0.271586784737566","0.24174192522448","0.278032809691844","0.29991084168995","0.288272830196685","0.245278991057189","0.274986125560746","0.250531397292634","0.270817780290868","0.280249487008213","0.192709976603428","0.232261542567747","0.216726160050847","0.239908975741823","0.207639046515355","0.213174957850277","0.17747053875696","0.184774840935738","0.243170879608775","0.172085968460013","0.208170085741637","0.218270659967072","0.221606671129482","0.213315438195541","0.190907898353006","0.151439227037266","0.158613894941452","0.205509011241187","0.174788545138491","0.21390875359787","0.200612161574364","0.136691995471756","0.186021648976264","0.14388408120598","0.17896141426242","0.156577895902184","0.171489013571295","0.127687088516743","0.147638953428435","0.197840333235946","0.15662113492309","0.153797277736349","0.165316343488164","0.141431603809605","0.111297898991652","0.146300205788088","0.114396734032928","0.122212591284175","0.108997064469146","0.13272147240491","0.140871859533182","0.143115307231547","0.133919213560289","0.120383997226964","0.152170020587876","0.128628353275171","0.139799146444779","0.0983132277922137","0.130192397801406","0.114324897898966","0.117223966312086","0.125558426281228","0.0806621903967433","0.149279119759743","0.107877714699703","0.106565032594536","0.0934873150076995","0.078578984560381","0.121051922241513","0.115460028378179","0.158277620567563","0.103382605987591","0.0971421731196534","0.125143084667999","0.11461453733713","0.0760622842031063","0.11697654221131","0.113488513416751","0.112587834159509","0.109618593786172","0.146451731037286","0.122205791316319"
"V3","Irawaddy","0.158751747193848","0.132536100173284","0.146994348883588","0.145744874494426","0.137924624740531","0.119017452559839","0.107102941104944","0.134477360670307","0.105548183953214","0.102715945061104","0.107888003646751","0.11561817173313","0.12064234129613","0.0833221185849083","0.0999378851580207","0.101700265884157","0.0887374803744925","0.0870709717810962","0.077333958791906","0.0776669170937311","0.0909083102296944","0.0922281332405228","0.0858485040374317","0.0797304510723435","0.0737351233462467","0.0746191774702911","0.0866052048539806","0.07346227068419","0.07750016544814","0.0733986905134942","0.0614395440786979","0.0768428040936596","0.0614402269220835","0.0555420837277841","0.0501835276864756","0.0557051228998685","0.0626841658977378","0.0584060746895784","0.0623989512163143","0.0640065703712542","0.0580075039986521","0.0600538409056908","0.0476290889937654","0.0517853900569691","0.0582361556093175","0.0570823407237233","0.0549969369434466","0.0557513456398216","0.0566299719651266","0.0441660189581117","0.0483773160722846","0.0430623829141389","0.043941879811352","0.0443547172284591","0.0453724010441823","0.0403250934100204","0.0438407692349855","0.0502688900045327","0.0422966042059623","0.0409255996815916","0.0447658846047237","0.0410622471029979","0.0396339165370509","0.0383117547085741","0.0379411121411163","0.040713309435531","0.0378855673154099","0.0461814259139548","0.0389695885511194","0.0417016422212252","0.0368364433312838","0.0353249346028881","0.036575933186818","0.0330944388625623","0.0430106353316484","0.0288200321122277","0.0399179341306564","0.0311226118730585","0.0337373214336155","0.0426643707953407","0.0314744684807938","0.0380003507778733","0.0328609347526586","0.03008276368169","0.0313873708247191","0.0304635485271749","0.0360383372459566","0.0379067730596735","0.0420823035869674","0.0359621291317761","0.0349508534011054","0.0342461734254562","0.0323443969227756","0.0304334097795792","0.0398907471895543","0.0315224083762939","0.0356185046761065","0.0351983706099513","0.0409826598174645","0.0341742614278912"
"V4","Luni_ext","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"V5","Indus","34.6820985817501","29.7375551355236","25.4920878470849","20.5346645315475","21.1004762786049","21.3836958526523","16.9822526330326","27.8059777155052","22.9325113623229","26.19999827848","29.8308633168931","29.4693359041373","25.7279276454386","20.4657669906725","17.9613040409201","24.5191015680394","33.3596881506803","24.5360256782689","26.9752904449013","24.7129252578431","22.8316227439539","24.4139018163128","35.9504212359419","19.7915640707952","29.8824535665613","26.7405890725034","26.9671963521846","21.4867164954357","28.5002044082448","24.645863813416","24.7266830822678","28.8480227336512","28.4404497398882","24.2081708475885","21.9547519021959","22.6575718198162","20.7286987845102","22.6542424925509","22.820209640134","23.1673559462709","25.0800324612499","28.9490297166377","15.6498432858372","19.6527719095504","22.8794216579138","27.6407209773649","23.9374518894159","15.7953131482401","30.7321916508751","20.6167708429347","25.387649210486","22.00147752892","25.4406928813845","25.376388176607","25.2590346092259","17.2643273333188","21.133580631215","19.1396412269218","26.2531194122386","17.9137741262213","23.1587474816807","17.6502796968675","17.5792915272656","13.671764444811","19.7941128825989","18.4499182057212","17.8449580155537","19.5483911688475","15.1953464335592","20.5541893701726","19.5206234224047","14.2018796343471","15.2743917323227","14.0055237964066","16.8356354526482","15.0868113934487","21.494034570657","15.3481413732887","12.0778312310376","14.6968125995124","13.0846551035952","9.26133322295358","18.3437789580745","13.3144040679152","16.1712110376262","14.0104697685447","12.2738961554933","13.204061839709","11.211230059995","18.8000598463233","13.9066294420989","13.2941571457425","11.1402812484103","15.1151002196974","15.7427926447812","13.5793794611657","14.8210991499226","12.5222227650244","10.4583979551926","14.0399032797424"
"V6","Amu_Darya","12.3758701183057","8.65269983944469","11.2543424569072","7.15855377464721","8.90730642595353","7.46374262192373","8.20365983365596","8.81996733202293","8.72227667361389","10.7823958442031","9.73109605866229","11.3178785866269","11.4080192243081","7.46980917367467","5.3725536667694","8.27115259512336","16.076551071341","9.89597484688185","9.59867585351214","11.178903139466","8.77427897659043","9.36911086317048","11.0166376442551","7.76621351946719","10.6959336034542","11.7490192262283","10.1705656539681","7.91354793050523","13.3370919645343","11.3814768953252","10.2320632758344","10.6170038941018","13.9930173853638","10.2263441216374","7.86027517479956","11.7786982159481","6.84648578502444","12.4922454256045","8.45576825469142","8.92744936293369","9.85159977926725","12.1774456272757","6.66920414265001","8.66694324608486","9.97842521355908","11.8156259745567","10.1578050533409","5.83568088531935","14.949874909786","9.30867004393004","8.42160287240628","8.940579109314","10.5028291291828","13.3147614346014","9.39078860639928","8.4759301610484","8.25644198453311","6.74754203191959","10.0869928843143","7.11238507098665","9.88343460634918","5.68512093979202","8.37524408168117","5.56749870435452","6.63114006731173","6.60448709144383","6.62136044960045","8.06807945095005","5.12836488386114","7.80259445971436","6.13500664737542","5.45029201174814","4.01034263061423","4.60167913801678","4.80585323783399","6.82172296051243","7.60089479410597","4.67319605589954","5.44755134836203","6.37614763519948","6.53285519027791","3.52059958521899","8.04175107271123","5.19835136370156","7.17734294302753","6.32680314679054","4.59980181357993","5.18635318750307","3.8227837514467","7.80679414750413","7.34307860245062","5.01900333263679","4.46142907584421","6.4783042054271","6.26954994527621","4.7929586820108","5.32868803976705","5.86604163854083","3.50252543868518","6.03940917897723"
"V7","Brahmaputra","23.3926260339554","21.2977287768632","20.3974523859118","24.6516258169634","21.6664701509825","20.1337038618961","19.2352636189786","22.9519666181559","19.1770928521357","18.6085904774298","20.3682678711834","22.6626411533168","21.7896642393508","18.466696603672","19.9552572837763","22.4718641616097","18.0563570874952","19.864807146371","17.0589126639324","16.1699783472743","20.1135378820249","20.4458050914","19.2530350101349","18.2199665019861","17.989496220885","17.2908375815538","20.7712403653132","18.7276827958728","19.0395109098725","17.171050031788","16.5333583310999","18.4882364838506","15.5733708510698","14.114618546259","13.7296992659267","15.314059443771","16.0403361572996","14.418918365224","16.7133515884052","16.9016741595908","16.3535034747787","14.827425235907","13.6112112104808","12.7869561981155","15.3396293625385","14.5181414699905","14.3783849520755","15.4151417773037","14.9475680608749","11.5877237154379","12.7271152397027","12.6291477442541","11.8744052645726","11.6487796837108","12.5043060683732","11.4503576984628","12.3198204080995","13.9796430081188","12.387572814502","11.2134045623608","12.6358372047673","12.1848215646503","10.9185072256285","11.1369064137698","10.6430614091645","11.3775342770931","10.1125345451176","11.7634479469963","12.4169953234215","10.673692701295","10.4577930507628","9.54674935245916","10.8703112879266","10.1645391696548","11.4318611440491","9.11356220866241","10.7123174828072","9.87368715996396","10.1490550302866","11.6518862490902","9.25646671466655","10.6272938711959","9.60915628899903","9.42683733112903","8.72761790829465","8.04559330706334","10.0727729049052","9.50541364196473","11.5201658329517","9.18844198867918","8.8653338428704","9.49953265647274","8.64386743126538","8.18692326561764","9.22338014440655","8.81408856398685","9.20408403029015","9.51420418730254","10.973485287555","8.6927865942846"
"V8","Syr_Darya","2.74417891023276","2.32122602532286","3.31505267141914","1.89915420626197","2.45347521755705","2.70895973379486","2.60952984161368","2.04710283884651","2.21677001294061","3.121065445064","2.45380446415355","2.5882679514935","3.02178193982644","2.01776677837098","1.44216639970542","2.13979207905516","3.42799551916488","2.46262848599105","2.07891557855932","3.26084514832633","2.85179084438626","2.64159702704359","2.64850720859757","2.0515112340226","2.37800796966448","2.84023502205948","2.49163725321691","1.81885552485834","3.42568701042293","2.48328127620052","2.48974693781938","2.17705001520478","3.32873912319247","2.35633918121658","1.87884118299546","2.56621136458017","1.17570288749782","2.63152825048879","1.80134128331426","1.81405649788016","2.33723541395871","2.31483375523968","1.75399356272448","1.81854426769128","2.09522394063466","2.49228839557849","1.99822797954444","1.0205804008997","2.86284782165665","1.94348967810155","1.565522279385","1.82576016506176","2.17930918189656","2.90063569417537","1.90033624106771","1.63907773236227","1.34821981406448","1.12978219769996","1.74567176418215","1.30192445356406","1.72721786002759","1.10404072656275","1.33066053121686","1.14405239598106","1.04029512036787","0.965745772337881","1.05395312839255","1.37183382042086","0.74605218621367","1.23501975273026","1.02313498103253","0.878704935317519","0.546602502442096","0.675362451684453","0.666881454564254","1.25592721357869","1.17150183056816","0.837273869226861","1.11735141232011","1.2485522192253","1.24541653727252","0.687126455723764","1.17440601175503","1.11968107749376","1.24195603324505","1.29970380960829","0.7023712061744","0.813636011490494","0.494905953985097","1.27890197766312","1.42267040610357","1.0215444577368","0.699360487241335","1.36005084080021","1.20566510407416","1.08600453621318","1.01919045310158","1.06741421116333","0.702548118564655","1.26793348192187"
"V9","Salween","2.74152150143191","2.63253541939652","2.3596772723928","3.10815643090535","2.49469216117491","2.43014767577814","2.30892225734952","2.84721934285697","2.24576697379035","2.24183441797038","2.47584585877491","2.84277367439452","2.80993817549902","2.1351940625144","2.49444371083947","2.73697262519957","2.12197113408726","2.32633414780699","2.07598161831481","1.85082151167608","2.38956146802755","2.48834513107186","2.29105781521525","2.05703739119264","2.11949906454332","2.01594747878977","2.38577803615068","2.18496472774359","1.94421467614445","1.85086119917251","1.80724296509439","1.9989994431854","1.59520842547757","1.58741199982986","1.40652732517164","1.61641317578225","1.81781791268135","1.49338019310951","1.74277707084978","1.76886933874743","1.74950128860918","1.65718425110088","1.42769912952524","1.26422776195153","1.50991263539377","1.55959332345139","1.41665628692449","1.67234502228513","1.54169690106058","1.13821856417602","1.33514173045402","1.174355553274","1.20736299421832","1.14461097248117","1.28461366231077","1.07025714834754","1.18703517275408","1.43885181550486","1.2190960617245","1.05839420048859","1.18785514687963","1.09519262865399","0.963721162626824","1.05001074169599","0.924534190169466","0.972020073165113","0.882061147164186","1.04927680433002","1.09724197482093","0.984397435696458","0.941374916865884","0.84344557815618","1.04267135481337","0.921571564295524","1.01925433594887","0.77204734097391","0.954116353824015","0.846991233743723","0.87696702913091","0.976124422060757","0.690175800997679","1.01239773203089","0.819479273697049","0.796316946977429","0.706272920641457","0.636293534638176","0.882231962875925","0.827322642096171","1.04096545223892","0.764854502188885","0.724133769962941","0.829398067338448","0.749915354976822","0.643359622184571","0.786759079533718","0.76958023527441","0.787751441161003","0.790456831861598","0.994244699212861","0.753079867909983"
"V10","Tarim","12.8818093611026","10.3180538394474","13.2181970643183","7.95871089574309","9.29303107777852","11.9151157797227","9.19168538692753","10.9935281110408","9.30009064060672","12.0172157485281","12.7535009161062","14.2360736197606","13.2485491313035","8.48235483471005","6.69369386615053","12.0809205055118","15.4460935673457","10.4616591972934","11.8854253530821","12.8066919675794","11.7913473716975","11.5360183405701","15.5349775796551","9.39571721998166","13.7943346992128","13.6639497162805","12.8131354411213","8.53432512517041","15.8752412378209","11.4026929972328","11.4563449243941","11.0601696805599","13.6374736045749","11.6064864703546","8.45855209371712","12.7258195445004","6.95918741262917","12.9031393680013","8.54694898092679","12.0894355972144","12.4987691528623","15.4121198940663","6.88428627466959","7.42241027055659","11.6700378694742","13.5282203720605","10.2017337306281","5.81914193848665","18.6656016225559","10.3286689965397","12.6812623834792","10.3339413042776","13.9350507738349","16.4507277949579","13.2612920501431","9.13247291829468","9.68357223385229","8.972600306551","12.936400596254","8.64701483053572","12.6849418661132","6.74821276395575","7.75336375211437","6.43350296197654","7.75877989532675","7.92796424928201","6.8507721375478","9.08798288199181","6.52504713188703","9.61124421832134","8.26976877205395","5.72748178976155","5.28551921716836","6.23097141732019","6.79023269163096","8.24393586672456","9.16955292926985","5.46972441436372","6.8301561235731","7.7614362394655","5.94166613375853","3.83831719406629","8.93826314619744","7.46102513746578","8.57752313977913","6.5702587227416","4.58298580612855","5.98973797352832","5.81774334989034","8.63743830623281","8.57830449695002","6.41632563523199","3.77948839320358","7.96806055134621","9.307619585722","6.00828033899185","7.24560606537733","5.28047222880985","4.47598560576748","8.01991115896636"
