"irrigationFlow","IrrFlow_km3_pu","IrrFlow_percent_pu","irrigationFlow_stdev","IrrFlow_mm_pu_stdev","IrrFlow_percent_pu_stdev"
"Ganges",264.882580548908,43.8921511356383,16.5364501363613,10.7128669775506,13.4259232249627,4.87857703851102
"Mekong",38.7509047194472,0.0435366558337582,0.111667009858688,0.720145883060284,0.0941490133433109,0.243356485798469
"Irawaddy",14.8963923051213,2.58946371660372e-09,1.76321856980407e-08,0.365445554816228,7.37574292049673e-09,5.05133138236027e-08
"Luni_ext",32.4139080190308,11.900511361808,36.5988583022712,1.43326345411719,2.73666440555393,7.68745443692959
"Indus",297.984339212198,8.66653069150951,2.89575768692296,17.0639213506703,5.24906676818987,1.72004919808113
"Amu_Darya",27.1826752453519,1.21805645587533,4.46175328653535,1.35492589206982,0.35862352883672,1.23295138130588
"Brahmaputra",65.6492526744914,0.155307650277036,0.236700601003993,1.2983923687415,0.0881620532046975,0.135319007989092
"Syr_Darya",16.156709634541,0.00249853452618245,0.0154741004034819,1.96774557798719,0.00100375643836789,0.00589034946513095
"Salween",4.00522886337558,7.58494460487993e-24,1.91588940233951e-22,0.0740127439300772,3.13776094798076e-23,7.95683448792554e-22
"Tarim",22.7324493421766,0.0755182419971898,0.32458725051908,1.36740876639522,0.0904805735148379,0.385697416479042
"Ili",20.1701632812899,2.98562618071864,14.803056217859,0.99737728440717,0.398910924356847,1.85937259142656
"Inner_Tibetan_Plateau",0.0538925327571331,1.6033330650773e-05,0.0293609832685452,0.00156031469574981,9.72098073102306e-05,0.177999332549106
"Yangtze",256.478398440934,4.59382756430608,1.77536992413605,10.2629763574945,3.06288462634358,1.15795032228932
"Inner_Tibetan_Plateau_extended",6.64708323679801,0.400603957006541,6.1798861748519,0.35364490908482,0.233939714752794,3.87274198661176
"Yellow",53.8767467591788,3.16053529493494,5.75964594252234,5.24067002377672,1.76875492944635,3.04613642239415
"all_basins",1123.21998490906,77.0984107523881,6.85057354107254,26.5024457045829,18.9530032497661,1.61225232944555
