Basin,Month_of_Max,Max_Value
1,Ganges,May,9.34070549267128
2,Mekong,Jul,0.0116300363991202
3,Irawaddy,Feb,8.89946915390182e-10
4,Luni_ext,May,2.68641677827161
5,Indus,Jun,1.80345011991336
6,Amu_Darya,Aug,0.372110473853377
7,Brahmaputra,Mar,0.0786649346687402
8,Syr_Darya,Jul,0.000483598437767224
9,Salween,Jun,5.57920803104532e-24
10,Tarim,May,0.0340910884185468
11,Ili,Jul,0.703610258672213
12,Inner_Tibetan_Plateau,May,6.42795778852776e-06
13,Yangtze,Jul,1.42463529792271
14,Inner_Tibetan_Plateau_extended,May,0.103565103152449
15,Yellow,Jul,1.38577049608059
16,all_basins,May,13.8503597885067
