"irrigationFlow","IrrFlow_km3_pu","IrrFlow_percent_pu","irrigationFlow_stdev","IrrFlow_mm_pu_stdev","IrrFlow_percent_pu_stdev"
"Ganges",343.040294879039,25.4842881187816,7.55144115767881,28.4015009923364,10.4043445476555,3.42325670167082
"Mekong",71.6743144734895,0.0150858009634338,0.0206953740806909,3.31247830466861,0.0354981305477547,0.0487586590047659
"Irawaddy",30.6181408249601,1.22702031532783e-09,3.94312431823558e-09,0.699269256898868,1.23136575916609e-09,3.84696870991832e-09
"Luni_ext",24.0695183367302,5.9326826637022,26.5753517171491,5.66472934692914,2.01676734943302,11.1342704586068
"Indus",213.012691439432,5.4525964065613,2.4838762181522,16.5829112162699,3.93918906998293,1.71502279523365
"Amu_Darya",1.01099176631212,0.0615676021206938,6.15237016746942,0.232674472453398,0.0276511881504581,2.3593104138081
"Brahmaputra",73.4785804541913,0.0432163215750954,0.0557868121860352,5.27269924848569,0.0443353436290294,0.0547553759663753
"Syr_Darya",0.77268162738501,0.00176959806651521,0.203484194460645,0.729285606441258,0.00203748811553688,0.0894498609063218
"Salween",7.62423719489746,8.6107205038628e-22,1.09880548038777e-20,0.204607745141565,1.32175687701037e-21,1.65809865107953e-20
"Tarim",1.00605562659145,4.91082123390485e-05,0.00461457082497302,0.286802665559457,0.000113302313251353,0.0105374923317806
"Ili",1.09726484918478,0.119559876361192,15.2377029349846,0.669759150325674,0.0483009240334993,9.22109789408258
"Inner_Tibetan_Plateau",0.00192550236819286,0,NA,0.0029582080626293,0,NA
"Yangtze",223.415999954365,2.05405205255629,0.90744445496851,12.4587712646647,2.15763868247419,0.947408307858395
"Inner_Tibetan_Plateau_extended",0.63826911642969,0.075059188334117,13.3456496979366,0.216621838379544,0.0672160622268932,11.540333095042
"Yellow",12.8695112033355,0.08023017845324,0.745019110170004,5.34254258161752,0.177620076750203,1.69297172973919
"all_basins",1004.50401105918,39.3208425421014,3.89122700934719,40.3441647468005,16.3226903992086,1.63154366074748
