"irrigationFlow","IrrFlow_km3_ps","IrrFlow_percent_ps","irrigationFlow_stdev","IrrFlow_mm_ps_stdev","IrrFlow_percent_ps_stdev"
"Ganges",264.88258056335,19.5384871758501,7.36954872436124,10.7128669908357,4.26204565036852,1.53706059382532
"Mekong",38.7509047234738,0.123216883682669,0.317333824350314,0.720145891552142,0.0349545148987592,0.087523740022977
"Irawaddy",14.8963923073028,0.00701722975996796,0.0472754937016283,0.365445555622131,0.00272161825336297,0.0187402140284458
"Luni_ext",32.4139080159748,3.18843819674136,9.82695428753892,1.4332634442207,0.438560561728144,1.19545618335039
"Indus",297.984339247075,80.3457230976322,26.9314709827685,17.0639213710177,11.0676018847844,3.04459077124613
"Amu_Darya",27.1826752434769,10.1798783723118,37.4693066824727,1.35492589226307,1.17445344576196,4.08956418912599
"Brahmaputra",65.6492526810234,1.26727158383329,1.9318277410899,1.29839239058313,0.438440758102907,0.67263127478198
"Syr_Darya",16.1567096343527,4.84346816501569,29.8632629548104,1.96774558280193,1.03207659550428,4.4506584250068
"Salween",4.00522886316192,0.0959428248279699,2.39672596377558,0.0740127455890772,0.0164569491519417,0.416221230580227
"Tarim",22.7324493427655,8.32457645875753,36.5470254494718,1.36740876609619,1.05263370424761,3.44246555575862
"Ili",20.1701632762626,5.35327459532454,26.5189402362739,0.997377278193396,0.988811475781595,4.58068395016163
"Inner_Tibetan_Plateau",0.0538925327924327,0.0243147721745062,45.1797893834119,0.00156031472984234,0.00407865546754052,7.85435967093375
"Yangtze",256.478398440155,6.52372023020879,2.54088196813595,10.2629763497011,1.9662339878704,0.736324020621098
"Inner_Tibetan_Plateau_extended",6.64708323708806,2.03446155800582,30.5309444511048,0.353644912764057,0.414181622238553,5.56897871743589
"Yellow",53.8767467581399,9.07215586553844,16.9122297700692,5.24067003249113,1.47269133550079,2.74310931840794
"all_basins",1121.88072486639,150.921947009665,13.4538742655442,26.5268096795586,14.1123521033619,1.22219564417291
