"Jan_irrigationFlow","Jan_IrrFlow_km3_pu","Jan_IrrFlow_percent_pu","Feb_irrigationFlow","Feb_IrrFlow_km3_pu","Feb_IrrFlow_percent_pu","Mar_irrigationFlow","Mar_IrrFlow_km3_pu","Mar_IrrFlow_percent_pu","Apr_irrigationFlow","Apr_IrrFlow_km3_pu","Apr_IrrFlow_percent_pu","May_irrigationFlow","May_IrrFlow_km3_pu","May_IrrFlow_percent_pu","Jun_irrigationFlow","Jun_IrrFlow_km3_pu","Jun_IrrFlow_percent_pu","Jul_irrigationFlow","Jul_IrrFlow_km3_pu","Jul_IrrFlow_percent_pu","Aug_irrigationFlow","Aug_IrrFlow_km3_pu","Aug_IrrFlow_percent_pu","Sep_irrigationFlow","Sep_IrrFlow_km3_pu","Sep_IrrFlow_percent_pu","Oct_irrigationFlow","Oct_IrrFlow_km3_pu","Oct_IrrFlow_percent_pu","Nov_irrigationFlow","Nov_IrrFlow_km3_pu","Nov_IrrFlow_percent_pu","Dec_irrigationFlow","Dec_IrrFlow_km3_pu","Dec_IrrFlow_percent_pu","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_pu_stdev","Jan_IrrFlow_percent_pu_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_pu_stdev","Feb_IrrFlow_percent_pu_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_pu_stdev","Mar_IrrFlow_percent_pu_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_pu_stdev","Apr_IrrFlow_percent_pu_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_pu_stdev","May_IrrFlow_percent_pu_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_pu_stdev","Jun_IrrFlow_percent_pu_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_pu_stdev","Jul_IrrFlow_percent_pu_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_pu_stdev","Aug_IrrFlow_percent_pu_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_pu_stdev","Sep_IrrFlow_percent_pu_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_pu_stdev","Oct_IrrFlow_percent_pu_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_pu_stdev","Nov_IrrFlow_percent_pu_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_pu_stdev","Dec_IrrFlow_percent_pu_stdev"
"Ganges",27.5493338048856,1.68651431738361,5.79641469853055,28.079885066805,4.19773287868651,15.3657219053797,20.5385005612499,3.36536193910748,17.1935191148948,24.2621673729053,4.36560612871119,17.8141012469896,28.9181774228202,7.77228631653255,27.1306011877586,33.9494098910704,8.61150403993765,24.9161698906222,12.576123505581,2.25142150662722,17.5566109872202,19.7821869036714,0.961184088609382,4.74811888228245,29.717510747534,1.13440340574707,3.7248044858699,19.7440791272443,0.804815284008877,4.11962252352876,24.8507916604253,0.911967832542207,3.4664928167543,NA,NA,NA,2.41626058795685,1.67766094904256,5.48430853128074,3.3477239197074,3.01835581721595,11.8037884206872,2.69401603816467,2.23496927906005,12.3999955327258,1.91515853000947,2.46113644649421,9.38773212856166,2.12604425804642,2.5445816832371,9.26804015328523,4.75586717228036,4.07930903304355,9.01928027015669,4.45677518077791,1.37187207278778,8.39114961920754,3.14403268429189,0.630678186557074,2.75681434433987,3.25062537643094,0.501847041667114,1.18351898724727,1.59375029818789,0.519131919451941,2.79265741073096,4.84556890051975,0.66629144866681,2.16086082817443,NA,NA,NA
"Mekong",5.72174103715518,0.00107278507262782,0.0186855081054415,4.11582728975313,0.00207573189519287,0.0509355314331575,1.71662755513762,9.74686882161995e-05,0.00560268943275241,0.821354055786533,2.3544624217434e-05,0.00340664015267715,2.56801166221986,4.83251705541677e-06,0.000195272806329561,2.98197748584178,0.000283617488389179,0.00816366359073975,3.68052211408206,0.00458806909644229,0.12376234042202,3.37420364638612,0.000530625249575111,0.0167226583925348,2.91776044419692,8.92330471529569e-05,0.00281396213574621,2.12746051111579,3.85038950066791e-06,0.000202602458702594,5.13246866515753,3.6389238100776e-06,7.16180714743031e-05,NA,NA,NA,0.220553894515436,0.00173349080698028,0.0299076433885771,0.145443570032636,0.00336792405805545,0.0831100823514193,0.0872207122783067,0.000152932051848629,0.00886284732659057,0.150500062763912,3.54812433714181e-05,0.00525827352544023,0.286612344457619,7.14862643545346e-06,0.000286586068756259,0.270381182743372,0.000686855593289404,0.0197296747236236,0.235901796928084,0.0112328579737097,0.303012510167158,0.217198034346106,0.00129833387698008,0.0409174334176184,0.145769794288164,0.000218082729909671,0.00687542927735427,0.147751848306315,9.31753652303145e-06,0.000491195775596303,0.217405042291659,8.23468849549483e-06,0.000162836718218811,NA,NA,NA
"Irawaddy",2.5259874122878,4.4548042589768e-10,1.73751832400737e-08,2.4157456963307,5.39358929609189e-10,2.22653836319882e-08,1.04460005203975,3.58887767848757e-10,3.41217532237942e-08,0.140457037872502,1.69223208439261e-10,1.05639349687208e-07,0.066291074222196,7.38481021427255e-11,8.11867216347964e-08,0.303499796386637,1.77479321866725e-11,5.39872055830177e-09,1.25498464850672,1.89291576747722e-10,1.50264576914284e-08,1.52998807672888,2.48942187758855e-10,1.63183599964901e-08,1.52841114470308,1.94136944925064e-10,1.24847725274027e-08,0.563791955361381,6.64061748091783e-11,1.20917308336087e-08,2.07735010858382,2.07255335681673e-10,1.00416211189031e-08,NA,NA,NA,0.158079747830647,3.56748669533117e-10,1.35692341663946e-08,0.0909172236294625,4.14282309315196e-10,1.70380857837274e-08,0.0589481276168232,2.66077487032019e-10,2.4379358566775e-08,0.0362131000123344,2.10004904234045e-10,1.13746510471119e-07,0.0302650253650579,8.46992732522676e-11,8.01837413076559e-08,0.0212516136455673,3.2262305089202e-11,9.7248900199963e-09,0.0570319813697133,1.27939014005962e-10,9.9229482503526e-09,0.0658558557377736,1.99209896103873e-10,1.31515158887947e-08,0.103614333164528,1.49133049837971e-10,9.31071194666711e-09,0.0641966163196428,5.00056824889572e-11,1.00135296072582e-08,0.0630933211626081,1.45015540455151e-10,7.00658409587918e-09,NA,NA,NA
"Luni_ext",1.59214524202511,0.439801778900779,25.4204115035864,2.91371243331928,0.900094278629673,31.2654406871149,3.37712187211544,0.794011470385217,23.567486842522,4.83398921478724,1.13705700914513,23.4215430004056,4.8009128946091,2.02600561121312,42.0180056861759,2.42205305576577,1.06057571910678,43.7129343537003,1.48321913800216,0.401860397855725,24.4632104551672,2.30575832963196,0.345803040538273,14.5542342366621,3.13306527109627,0.432257282107964,13.2226566702494,3.03552551190458,0.51445393218676,16.5283900128753,1.83466667000762,0.298548533731765,15.8338495439698,NA,NA,NA,0.644799437906563,0.334182038880547,12.4175535046282,0.272908838748041,0.331814583347281,12.5381385435878,0.396120278715675,0.286125135021769,8.44515430604572,0.517560487464606,0.314178885527415,5.66716470392672,0.415690047884868,0.472548298806893,7.83373794277333,0.256883888579948,0.166564383603031,3.75786235007677,0.488505319538385,0.300134438377475,10.5877215923247,0.237231758581494,0.195034697533829,7.083273168924,0.424296650796982,0.256732027557084,5.85418195397476,0.308920373845754,0.353384161838433,10.7395671296508,0.183041514217146,0.186567292770138,9.37287622422908,NA,NA,NA
"Indus",12.8556655040317,0.169152785651735,1.23039125508526,20.1912598149286,0.294790112869295,1.46374398151042,20.1703478911001,0.202300748359653,1.0097611595564,30.023408538081,0.240295899945623,0.80013717330876,18.335614811003,0.160031672433999,0.851241955815733,43.1075057469887,0.686459217167508,1.55997999121406,30.1557991761963,0.319739274268872,1.01765581350205,44.448251581202,0.204376017789835,0.453423821961852,44.4381294323814,0.213199061013318,0.480653111017667,17.0477731709013,0.0934280863124819,0.550434155001402,28.8637636937317,0.184630696957115,0.633470970553565,NA,NA,NA,5.07204981754368,0.122334165001748,0.501036090008783,1.82159740770457,0.037812575105447,0.169931927358729,2.13800014916735,0.0638055550062548,0.311245714938856,5.69813068435677,0.0600005275642071,0.133860484085065,1.98169936319862,0.0853672294960317,0.391330793668482,5.75642768424386,0.408860336882459,0.832988773701717,6.07898123190589,0.173762683194669,0.452530779024942,4.67044721041081,0.0920718011294629,0.16925239695018,5.85090671387867,0.0531877073543078,0.100473289402909,1.62476645983097,0.0175238693493712,0.100786392597197,1.43204251017205,0.0609626982748212,0.1995612800263,NA,NA,NA
"Amu_Darya",0.0790183263562749,0.00188247253259749,2.29634631395963,0.0835537063151185,0.00389141875704593,4.3967606076423,0.157911310965792,0.000654679550311797,0.353447734833692,0.706940196227333,0.000876332510117313,0.136353691272849,3.18898284579853,0.00488607156665873,0.145740070915047,2.94839136470259,0.0180624906033976,0.614863375590476,7.00627727928202,0.0847005995545751,1.20265360926898,7.61952033699638,0.175994555908716,2.31829095637867,4.61102947109625,0.128019180944615,2.74938639937337,2.18862432367032,0.0942971213038165,4.34134148480948,0.37670936198546,0.0255360498597846,9.86022295015971,NA,NA,NA,0.0292810565709851,0.000950439867055665,0.505631322574264,0.0771181433571275,0.00561489126384968,3.76330614145057,0.13073236689063,0.000697533307006641,0.179930726740336,0.236295785165376,0.000361728850964783,0.0769726928401732,0.577333997016736,0.00291457940589609,0.0778066504308758,0.261818454259988,0.00790350583334826,0.282667959989808,0.411926301844255,0.0289460102568299,0.375419760491751,0.467053433384169,0.0419901610984449,0.569359750368998,0.322601923528101,0.0415634701056773,0.766437742826219,0.158762422387946,0.0235390026105421,1.17689325165153,0.272147081406854,0.014003735542896,6.55991095951964,NA,NA,NA
"Brahmaputra",6.48618984698683,0.00308479786381826,0.0471881276907559,7.13073524147887,0.0196252852411709,0.278633633730309,7.45832772866453,0.0741104380221491,0.99083365683951,2.94377116991616,0.0355919255317153,1.17549002374453,4.51598067162095,0.00933876590763259,0.207414579152283,5.0455013656578,0.0077888401312788,0.145425630943422,6.53630399116405,0.0062777533293724,0.100751874455728,7.00785817855691,0.00113094108555749,0.0176892594753095,7.06131106223831,0.000520183510049856,0.00738133169772846,7.03304091510759,0.00047986832525894,0.00707191568132636,3.59241086679579,0.000357996203799904,0.0103644363527209,NA,NA,NA,0.187627650550605,0.00253298780936331,0.0388339589344379,0.275106851125055,0.0106082647595205,0.153769513265339,0.233373555855329,0.0261757872574292,0.343097561526062,0.463182281299498,0.0145809878986908,0.375662048886376,0.860475149015413,0.00509431930869156,0.114141555053106,0.609575137419049,0.00756084980043925,0.12494736120896,0.679220586695338,0.00512248244810417,0.0879345568524737,0.831190268908033,0.00112366658243818,0.0200142020712653,0.855262777869999,0.000343391335016492,0.00467679975657501,0.669856273477719,0.000305772544735042,0.00486881676065458,0.373475938122316,0.000273524195591343,0.00814049669076484,NA,NA,NA
"Syr_Darya",0.0643411753707201,0.000173718218152262,0.544449086191382,0.036892674897184,0.000166376599099668,0.338170919000795,0.032715581273024,0.000313262022260613,1.54627685784698,0.0762107756087431,2.19808944006798e-05,0.0289153330366111,0.892833391620434,0.000182761439470983,0.0212290843766068,1.36548096947632,0.000317254197505549,0.0238043742660853,4.53129053880956,0.000719353821539787,0.0157630160438202,5.65690057309147,0.00081538565716311,0.0144012865435537,3.56529851106507,0.000547668122778057,0.0146333939114485,1.17615749665181,0.000120196666461913,0.0101643146763256,0.0552455324271855,2.29044458816341e-05,0.0344145185288455,NA,NA,NA,0.055142490661849,0.000116619900704621,0.58135003742187,0.027453050908909,0.000306515056641266,0.487303340331544,0.0252624691027998,0.000324423176824763,2.54970821961373,0.0840942956024939,2.02577902801613e-05,0.0174754449455596,0.545719574019682,0.000130555812202069,0.00980149305342715,0.143961186190164,9.79948878603574e-05,0.00972179833040924,0.357415626458862,0.000257544503984252,0.00498858616570018,0.530465554341818,0.000158765012080861,0.00247762332784384,0.494721522715986,0.000311517147173032,0.00736749688407852,0.20459275972804,4.39267033483749e-05,0.00312307574898034,0.0929163547706178,4.15585710549382e-05,0.0600484786789042,NA,NA,NA
"Salween",0.63462949283359,9.59825256664066e-22,1.50370039802199e-19,0.609949147465738,8.85328814247748e-22,1.463256103488e-19,0.272645574841793,4.46998353453924e-22,1.52710548159124e-19,0.0301523197505182,3.06503128785345e-23,8.58937695083155e-20,0.051064052542861,8.74355918287661e-23,1.92612450803545e-19,0.188643016180914,7.98985653731706e-21,4.35782926418247e-18,0.307603601949296,1.12483308199894e-21,3.68590293978139e-19,0.390299039157508,6.76052770968418e-22,1.80566018892923e-19,0.398810390802287,5.45931514176804e-22,1.33617438187279e-19,0.152015990718445,1.97080912455985e-22,1.29964872592744e-19,0.500792576386101,3.347569166108e-22,6.7746178136091e-20,NA,NA,NA,0.0136836583060639,1.38825494336791e-21,2.14877440561613e-19,0.0229200422371767,1.27236607645135e-21,2.1444675780991e-19,0.0198294066752221,7.65164178802924e-22,2.47082587582148e-19,0.00890467415295999,4.84019166053481e-23,1.26610811907933e-19,0.00589797634827114,2.08178853550643e-22,4.60588022130246e-19,0.0100702139299344,1.33195419747804e-20,7.28530766478597e-18,0.0183374077905698,1.22009906367013e-21,4.06317972664135e-19,0.02257606759239,7.72409323749714e-22,2.12644150322599e-19,0.0191675066158908,7.08935910612931e-22,1.67521859147498e-19,0.0130165583367114,2.43532705714233e-22,1.6297941629791e-19,0.0115874188245907,4.34875698225347e-22,8.82533603195363e-20,NA,NA,NA
"Tarim",0.10548677798426,3.19780729010739e-06,0.00310504139164848,0.193560260415841,9.80849275444214e-05,0.0461976548654051,0.234388591197359,0.000401494624823569,0.172225318398207,0.0922797513819702,0.000100827877078394,0.110735598303684,3.84171662263601,0.00166388650409146,0.0413669821018854,4.19447533987494,0.000828642754897119,0.0204900907904886,6.28652956963985,0.00020988997797954,0.00335074751029896,4.87373551474479,4.40668695328231e-05,0.000910748006061064,1.61808503539646,1.61164091023736e-05,0.00100264681170849,0.591022994844352,2.58920764150711e-06,0.000415362826105241,0.09494981967183,6.13575815929484e-07,0.000703960042054636,NA,NA,NA,0.0102975007357582,6.71218857606663e-06,0.0064312795322407,0.0300817294279015,0.000108180955000645,0.0487138695322853,0.0305275168911727,0.000301492468743446,0.135813487006219,0.0433540743687907,8.13734783516997e-05,0.0840186490091567,0.457530582384111,0.00128587265036169,0.0309653433881402,0.285601933713774,0.000639566470195907,0.0166903507736347,0.174405780882798,0.000176528594874026,0.0028366169115118,0.334276690905692,3.06078371458505e-05,0.000653519129559569,0.0838302432232908,1.27238739478521e-05,0.000794533160022849,0.176164517308699,1.90320574361539e-06,0.0002665431029115,0.033269029348775,6.69529497919742e-07,0.000780100984183605,NA,NA,NA
