"Jan_irrigationFlow","Jan_IrrFlow_km3_ps","Jan_IrrFlow_percent_ps","Feb_irrigationFlow","Feb_IrrFlow_km3_ps","Feb_IrrFlow_percent_ps","Mar_irrigationFlow","Mar_IrrFlow_km3_ps","Mar_IrrFlow_percent_ps","Apr_irrigationFlow","Apr_IrrFlow_km3_ps","Apr_IrrFlow_percent_ps","May_irrigationFlow","May_IrrFlow_km3_ps","May_IrrFlow_percent_ps","Jun_irrigationFlow","Jun_IrrFlow_km3_ps","Jun_IrrFlow_percent_ps","Jul_irrigationFlow","Jul_IrrFlow_km3_ps","Jul_IrrFlow_percent_ps","Aug_irrigationFlow","Aug_IrrFlow_km3_ps","Aug_IrrFlow_percent_ps","Sep_irrigationFlow","Sep_IrrFlow_km3_ps","Sep_IrrFlow_percent_ps","Oct_irrigationFlow","Oct_IrrFlow_km3_ps","Oct_IrrFlow_percent_ps","Nov_irrigationFlow","Nov_IrrFlow_km3_ps","Nov_IrrFlow_percent_ps","Dec_irrigationFlow","Dec_IrrFlow_km3_ps","Dec_IrrFlow_percent_ps","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_ps_stdev","Jan_IrrFlow_percent_ps_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_ps_stdev","Feb_IrrFlow_percent_ps_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_ps_stdev","Mar_IrrFlow_percent_ps_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_ps_stdev","Apr_IrrFlow_percent_ps_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_ps_stdev","May_IrrFlow_percent_ps_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_ps_stdev","Jun_IrrFlow_percent_ps_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_ps_stdev","Jul_IrrFlow_percent_ps_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_ps_stdev","Aug_IrrFlow_percent_ps_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_ps_stdev","Sep_IrrFlow_percent_ps_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_ps_stdev","Oct_IrrFlow_percent_ps_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_ps_stdev","Nov_IrrFlow_percent_ps_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_ps_stdev","Dec_IrrFlow_percent_ps_stdev"
"Ganges",26.6193434337927,0.878652196138618,3.2913063755958,27.5684794704131,0.755584974966254,2.72520342851002,16.1269674902577,0.505701079602026,3.12769262390338,21.2783855793032,1.89135192190981,8.83095698452476,24.7742455284452,3.89120709072462,15.5664105994259,29.5288881754488,6.9321142475748,23.294647991668,10.678473236905,0.913354176590972,7.86658597918102,18.1642602643341,0.662106369908327,3.46030184057248,28.8651103100548,0.87249950082917,2.87118481789763,19.6409928759427,0.542892555574625,2.73932803012623,24.2899498602934,1.01129394999308,3.88102888893039,NA,NA,NA,2.37605254069058,0.317384432145066,1.11954923448945,3.74690657040335,0.257412709223301,0.752135407757822,2.09549505683211,0.138180922032339,0.748789482574809,1.69597489528926,0.549110035085152,2.23051827409644,1.57735538858468,1.20441587895412,4.28590203905735,2.27741841045589,1.65394777918577,4.57219435608424,2.75110628227668,0.861686499800742,4.16702699174424,2.1388513802933,0.514458102534936,2.1566919282562,3.98643388971691,0.599637416988232,1.60091198464699,2.04269053123302,0.259083905008093,1.26078872782128,4.20909653850249,0.705681833528305,2.04266162806059,NA,NA,NA
"Mekong",5.1275172673466,0.00896214182212327,0.173823079482189,3.74059089961869,0.00825492860574699,0.219974699046345,1.65253167504008,0.00380896478326376,0.228731049495855,0.749250773503928,0.00256426866286433,0.328293061675028,2.24031156607335,0.00896679741922824,0.366934008601793,2.84064513814572,0.0322998924095705,1.13668936745364,3.395069183196,0.0256631202527685,0.762277169519103,3.14045493623963,0.0114010326207703,0.364553011766925,2.66850870349698,0.00407327211901194,0.152540275747978,2.01229591801113,0.00245374204079289,0.121775314359147,4.7716423491671,0.00449013758116173,0.09407773654027,NA,NA,NA,0.205304006794477,0.00326224573345698,0.0587572875755013,0.195383023738258,0.00253190756201679,0.0633511116541505,0.215408773196857,0.00124823630694281,0.0645385733555613,0.15136963216438,0.00147528672547929,0.151157591331216,0.457394081120145,0.00965657825598365,0.316471440613116,0.223671723522166,0.0190132833981951,0.667789272701544,0.16669798606815,0.00958813533597421,0.301391623953982,0.129631497269937,0.00318417894828522,0.108135969397014,0.0701511652077313,0.0013940631355128,0.0516799049620539,0.195537977537181,0.000664972102007467,0.0308586597860484,0.201082366566659,0.0013242260877755,0.0275631216560435,NA,NA,NA
"Irawaddy",2.42131860648309,0.000591533799607875,0.0246598040952636,2.2544037559244,0.000668575495253027,0.0298986931181095,0.944759893856226,0.000548031035550512,0.0579426529909846,0.129243974991449,0.0010113190200807,0.738191690624271,0.0780651513451968,0.001160478739957,1.29743209348828,0.301941992276561,7.6348206742382e-05,0.0244041811925926,1.14676151834686,0.00114887092253163,0.0999943696641046,1.4681071541556,0.000503102760058618,0.0341607193564914,1.37771625660866,0.000339963092770934,0.0246330066141174,0.548029980719526,9.12428884145055e-05,0.0165557479617247,2.00894306839715,0.000435064200851336,0.0217363532470279,NA,NA,NA,0.133449343572678,0.000248985341108016,0.0108143696361879,0.136846468373077,0.000280820640030804,0.0128638039628571,0.0511218627284861,0.000245372497692683,0.0253299185575294,0.0352503180857164,0.000690402517740091,0.373135833394685,0.0591934234982046,0.00124847424711003,0.569292223046397,0.0185626699387845,0.00014800300750802,0.0463196964884771,0.0440479363858282,0.000754414015970965,0.065454239428976,0.0462962061464893,0.000223853994454484,0.0148243970942648,0.06835401656359,0.00014883300459899,0.0106078677094611,0.0671529526026978,3.93233141119773e-05,0.00664854205052878,0.0704825057885441,0.000176315848439533,0.00887802979464303,NA,NA,NA
"Luni_ext",1.50030302470212,0.122564072406262,8.3254769279132,3.04564611432845,0.241164048279883,7.91431659141822,3.09899030675877,0.1981948951692,6.34674137498881,4.56672348335412,0.339355552093686,7.42436500083794,4.33043524245786,0.338524429193097,7.81429484903694,2.16028807177548,0.327164697172898,15.1573939208537,1.47393754084133,0.354266522712295,23.6713418565565,2.37579068139089,0.347603693021898,14.384800436242,2.96453460358132,0.303711604391991,10.2008436958992,2.95283725634752,0.190545801847683,6.37793331697625,1.69721708721697,0.188307279496932,11.1786238357469,NA,NA,NA,0.365600673156772,0.0384632073756679,2.02950992538811,0.392713431589204,0.0624384682247154,1.67546867484763,0.396318095083855,0.0601823546027776,1.56011566471622,0.381147577442771,0.0595561433081153,1.12081769935913,0.386078431115549,0.0575065040049905,1.13669140287617,0.106012885990448,0.0583722551931898,2.70366781743457,0.35494675991412,0.111380595063136,3.98677338098816,0.370764246939,0.120589830928832,3.28085467264951,0.4829163151045,0.10797366134319,2.77647974014562,0.531556077306789,0.0861104058784116,2.46549836064005,0.14478051803489,0.045692467111146,2.85266663842845,NA,NA,NA
"Indus",14.9149730079393,3.17314982676533,20.998553441898,18.8940187385854,3.65824356801389,19.2292737617289,19.0544966446405,3.00966960903067,15.0802346875003,28.9163586033431,5.11169401983963,17.4039967977857,16.6083141661342,4.58721626881129,27.2321779188444,39.0703432122232,16.2956902640824,41.5573537642658,29.9914788582877,12.5109540796995,41.0361905646697,42.7531572326813,11.8787297328545,27.3522201252452,41.4624006360856,9.74098298133188,23.2983800001924,16.2690255627003,3.49704903913265,21.482562880237,26.2905310187254,6.27798162377514,23.8816751027653,NA,NA,NA,3.61648721589763,1.22513016810132,4.79174192180467,3.24825205543506,1.21765849455479,4.64259499009824,4.4621193182424,1.61916315439005,5.24928963986096,4.86257281254675,1.7339063425728,4.41082607273487,2.15916216252496,1.26927012568781,5.10909544012451,3.45915793056989,2.56727025935459,4.08594575361648,6.44999509735751,4.05293464363554,5.41698782164108,5.23552357301562,4.01576446129276,7.16274763305281,5.14913280014026,3.30193726666213,6.23857168794146,1.525098266049,1.05675679632968,5.98653166801586,1.0083193944263,1.27159130888146,4.76516829759415,NA,NA,NA
"Amu_Darya",0.0971787385627287,0.0235514599168686,23.0784216004822,0.119545194317203,0.0217243397807821,18.2677603944495,0.175764603946962,0.0683378257452144,33.724723678405,0.753447557725203,0.302304286660101,38.1610882786834,3.26661920637423,1.23253516500877,37.0913088850055,2.72602553447829,1.14880966467243,41.8849769260457,6.09133133276926,2.5256872791416,41.3605680981422,6.73098636658187,2.44163073500016,36.2810460095102,4.13127788627252,1.37879249804959,33.4366120688022,1.90777514462225,0.62581690652164,32.8923155952408,0.3435088958641,0.102555720228724,27.0960850427917,NA,NA,NA,0.0458900641443942,0.015948427036338,5.41893795468743,0.0631408518734883,0.0154933637334405,9.86575991384371,0.196348161816897,0.107677550256829,16.1833572057007,0.320717684876782,0.184744384878152,8.75436150432762,0.583549822939725,0.376429019036384,6.36779323010331,0.245279029996229,0.210747968588708,5.07536158668344,0.41332379933305,0.379420678382003,4.68933882031109,0.287340907981242,0.320465413074978,4.63096771152601,0.292130072316693,0.206015805208801,4.88746116565654,0.235832516449117,0.114579957846426,4.97309279848906,0.177734811221347,0.0726533487166867,8.19700307523235,NA,NA,NA
"Brahmaputra",5.66825789783678,0.0817827317834523,1.45830970225789,6.79100588787801,0.13804156895755,2.03687205855642,6.93039474153215,0.167840564486158,2.39850804253587,2.69487037176162,0.0965098785367149,3.45584336755225,4.13030870334108,0.310875078364841,7.21566407216908,4.59193923195455,0.144386971001881,3.17470306729082,6.09936408459701,0.0873795401667904,1.45238899240338,6.52724141229877,0.0398565776807114,0.613986000874006,6.36065316130189,0.0215611968157505,0.340508375631635,6.58254780726824,0.0158203603990767,0.243112380312104,3.54759983200129,0.0139044651448028,0.402234922705934,NA,NA,NA,0.309868200513196,0.0638956619701246,1.17783133848336,0.428771606458453,0.0631222625427137,0.933918825625702,0.490333631324761,0.0632795562589309,0.811250873635557,0.418472237829007,0.0511236504499861,1.42011434859641,0.747066670486916,0.150369483526527,2.28198253760852,0.278637963482732,0.0518767117605436,1.23157422527517,0.322457413906219,0.0366118514589588,0.664269378173975,0.325949893276723,0.0131545943114138,0.214779908405772,0.335083609667965,0.00763912839765915,0.122186125196233,0.45579126268461,0.00665812243631234,0.11256164579854,0.321675677700204,0.00729427522759485,0.237859121793044,NA,NA,NA
"Syr_Darya",0.0646263400271319,0.0137255260400171,20.9466102508199,0.0311549781724354,0.00633738160145443,19.8385430652904,0.0163281451882814,0.00394293800213977,26.7836116219711,0.0957452926970423,0.0296405392970405,NA,0.948150256378675,0.328608256620188,34.0837315677077,1.3180922581659,0.447437360647664,33.1899126776583,4.18285006640796,1.34771378580383,31.9451405028531,5.08748379494734,1.49502438528059,29.2735885379456,3.22940676174331,0.867574572039558,26.7987743966872,1.12531298916016,0.291665513376697,25.7321086465633,0.0350926401580485,0.0087115281861435,23.1691764257915,NA,NA,NA,0.0354228251698063,0.00809832053392801,5.18285969889119,0.0167986656795428,0.00396321196052936,4.88621557574485,0.0128054569519856,0.0030543963566963,12.1609371300148,0.103722178162151,0.0341578724265763,NA,0.535319073795118,0.197059787945835,5.28199122739942,0.355108369750063,0.164822309245944,4.49896644023515,0.792219098467141,0.368504828023279,4.27506985710467,0.629351742879025,0.355659620686831,5.09204385052901,0.446921929446094,0.21720330392423,5.23019194214148,0.313505154631603,0.100580931381628,5.32894554824889,0.0416842377294983,0.0109758085455389,5.53265779800741,NA,NA,NA
"Salween",0.607106697804741,0.00582925527390779,0.959953130828637,0.589643696190284,0.0055966612683693,0.94873062916099,0.25754910191842,0.00243684122669186,0.933658981885172,0.0264497218635991,0.000433489339429637,1.54009794230265,0.0506180319688361,0.0117035162572643,23.2796520848119,0.197668971176806,0.0282213827381088,14.3401385345725,0.299556316607212,0.0171887836258981,5.75981940102384,0.401943857435678,0.00914777799884279,2.25957591347671,0.386391460467571,0.00424679578374318,1.09383725096189,0.157880179152183,0.0011336931442417,0.718344049723925,0.488731715666172,0.00502531508825063,1.02843365768712,NA,NA,NA,0.0131218622324266,0.00171872054381106,0.279599835614524,0.0239522966624456,0.00159516902293831,0.264874985738445,0.0190799036617622,0.000926699306661248,0.309868568619337,0.00888509547600382,0.00032384186406498,1.12804438374638,0.00534819327435544,0.00255638463910717,5.31003873348758,0.00931302718889215,0.00634298122611616,3.43839345591637,0.0143537077977825,0.00482656406960655,1.66358203027495,0.0290606029936912,0.00286712174708057,0.630906358109689,0.0276587674349334,0.0013964948371996,0.327555631527643,0.0113506726204032,0.000351911374097643,0.222438267859453,0.00776480853347088,0.00144000525762306,0.2940257420603,NA,NA,NA
"Tarim",0.100418511318226,0.0340709076858508,34.2000455109012,0.158147145892076,0.0550233119459281,34.8206167364837,0.21176556360959,0.0731346022585211,35.043208463717,0.0942981161923243,0.0418009108205186,42.5717014840415,3.76746498300411,1.50269730118291,39.4656657069477,4.13129218562057,1.53429288114055,36.8285878491141,6.07475671821082,2.39220253009105,39.3183053817549,4.80878356462193,1.5892845630574,33.0072235627068,1.60379423360242,0.480656955771233,29.9757623333539,0.566950427516392,0.189558697986724,32.6830772198072,0.0842358989741931,0.0288889620695547,33.5070608067808,NA,NA,NA,0.0282771597761512,0.00995241781978234,4.83324897056737,0.0566755639394947,0.0217305702050858,4.87330324708778,0.104054974133683,0.0355144621589213,4.67895283556578,0.0463002182264054,0.0281665856812692,7.8027705195225,0.292148978716506,0.380112691641117,7.60899986093893,0.441748679314622,0.335890928170325,4.94063095694971,0.347477039954703,0.293759905633369,3.64578144002746,0.400748547421364,0.271927389990713,4.80806445444851,0.135221374961053,0.0826040052760751,4.48014349790489,0.190419027551257,0.0807082162697798,5.44365912759508,0.045438327981797,0.0170809450403229,5.48217955839911,NA,NA,NA
