"irrigationFlow","IrrFlow_km3_ps","IrrFlow_percent_ps","irrigationFlow_stdev","IrrFlow_mm_ps_stdev","IrrFlow_percent_ps_stdev"
"Ganges",324.371188155361,16.0851801696422,4.88299438905047,28.4495200315257,6.81629224784446,1.77369234325596
"Mekong",74.5869812886636,0.186093766273431,0.248326833255424,2.87507760437225,0.121283048824481,0.159106614219901
"Irawaddy",29.7414645748384,0.00730411533576376,0.0247931229655112,1.86126162098826,0.00190254028561795,0.00731792239646764
"Luni_ext",19.3711004461403,1.22140183630517,6.41966016189713,7.84505982110035,0.602542755864729,1.94932064086304
"Indus",151.36509414378,33.3507705343533,21.4757449022286,59.7192963260028,16.3538296129669,3.3431131486673
"Amu_Darya",0.961389636334808,0.321895108964504,31.2000906460082,0.356252858287523,0.239402218275294,10.4365752380555
"Brahmaputra",76.3696545933897,2.53211537248606,3.31351831624889,2.20916417718392,0.857877421725731,1.13224791962266
"Syr_Darya",0.757565458826976,0.238799176618279,28.7784910339135,0.649258366479699,0.215236964857073,4.62044005752764
"Salween",7.72132546627127,0.0846519773913419,1.09545720980668,0.166484501224013,0.0505226534210205,0.653542976034088
"Tarim",1.24202173530818,0.488731009481744,39.2402058239523,0.121244771230098,0.0840447948375593,4.51731723953916
"Ili",1.17582033448142,0.291078970409873,24.7183956948254,0.202372531583796,0.0642728366670963,3.33764157406911
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",236.310821293553,1.83311912424851,0.768060271244751,23.257216407506,0.738338944439188,0.298594864872391
"Inner_Tibetan_Plateau_extended",0.537387403523717,0.160179349113699,30.7794367046167,0.234242204144997,0.0572156564692687,4.12786640495524
"Yellow",8.39454235759746,1.04165654786218,12.4813504540039,2.90327044418622,0.42233720686814,2.45260322205012
"all_basins",933.03255919693,57.8557793273011,6.07547889714514,103.626973099971,21.6345208264254,1.67167033501607
