"Jan_irrigationFlow","Jan_IrrFlow_km3_pr","Jan_IrrFlow_percent_pr","Feb_irrigationFlow","Feb_IrrFlow_km3_pr","Feb_IrrFlow_percent_pr","Mar_irrigationFlow","Mar_IrrFlow_km3_pr","Mar_IrrFlow_percent_pr","Apr_irrigationFlow","Apr_IrrFlow_km3_pr","Apr_IrrFlow_percent_pr","May_irrigationFlow","May_IrrFlow_km3_pr","May_IrrFlow_percent_pr","Jun_irrigationFlow","Jun_IrrFlow_km3_pr","Jun_IrrFlow_percent_pr","Jul_irrigationFlow","Jul_IrrFlow_km3_pr","Jul_IrrFlow_percent_pr","Aug_irrigationFlow","Aug_IrrFlow_km3_pr","Aug_IrrFlow_percent_pr","Sep_irrigationFlow","Sep_IrrFlow_km3_pr","Sep_IrrFlow_percent_pr","Oct_irrigationFlow","Oct_IrrFlow_km3_pr","Oct_IrrFlow_percent_pr","Nov_irrigationFlow","Nov_IrrFlow_km3_pr","Nov_IrrFlow_percent_pr","Dec_irrigationFlow","Dec_IrrFlow_km3_pr","Dec_IrrFlow_percent_pr","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_pr_stdev","Jan_IrrFlow_percent_pr_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_pr_stdev","Feb_IrrFlow_percent_pr_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_pr_stdev","Mar_IrrFlow_percent_pr_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_pr_stdev","Apr_IrrFlow_percent_pr_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_pr_stdev","May_IrrFlow_percent_pr_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_pr_stdev","Jun_IrrFlow_percent_pr_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_pr_stdev","Jul_IrrFlow_percent_pr_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_pr_stdev","Aug_IrrFlow_percent_pr_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_pr_stdev","Sep_IrrFlow_percent_pr_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_pr_stdev","Oct_IrrFlow_percent_pr_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_pr_stdev","Nov_IrrFlow_percent_pr_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_pr_stdev","Dec_IrrFlow_percent_pr_stdev"
"Ganges",26.6193434337927,22.4632067407199,84.5769241894415,27.5684794704131,20.3141950487183,74.1021268373282,16.1269674902577,11.0562038087263,68.8700554275562,21.2783855793032,12.413348014871,58.2613993947956,24.7742455284452,11.2187609858081,45.3260494780481,29.5288881754488,12.5000870664558,42.3667734963848,10.678473236905,7.60374390066694,72.806325025311,18.1642602643341,15.8168431693159,87.6326104159884,28.8651103100548,25.8658810425909,90.059577193166,19.6409928759427,17.9170939765495,91.2290619332467,24.2899498602934,21.9152909070154,90.6175957495505,NA,NA,NA,2.37605254069058,2.20244665455714,6.3288284915034,3.74690657040335,3.68089978266931,11.2808956046283,2.09549505683211,2.6388424201593,15.2411807695863,1.69597489528926,3.0130851981319,12.7956618794073,1.57735538858468,1.83698827515203,7.00510356183894,2.27741841045589,2.40443183910883,7.60833119004009,2.75110628227668,1.35952817013269,11.5917551022399,2.1388513802933,1.02173195903125,5.81141893615368,3.98643388971691,2.62677428161639,4.04994203899965,2.04269053123302,1.96830815713061,3.20341149599739,4.20909653850249,3.28486079161679,3.41173373362603,NA,NA,NA
"Mekong",5.1275172673466,5.11633221470404,99.783092837255,3.74059089961869,3.72778129686983,99.6657010486765,1.65253167504008,1.64827418047926,99.7449965498772,0.749250773503928,0.745261380081966,99.5472015245302,2.24031156607335,2.21981938093449,99.233254960711,2.84064513814572,2.8008687656293,98.6033591569959,3.395069183196,3.35726283215685,98.8613218032891,3.14045493623963,3.12648552032171,99.5535047303781,2.66850870349698,2.66358702964376,99.8156174245742,2.01229591801113,2.00930205741699,99.8515957838321,4.7716423491671,4.76663486049913,99.8951330894852,NA,NA,NA,0.205304006794477,0.20347109887399,0.194556129469483,0.195383023738258,0.189095613592179,0.429752140652636,0.215408773196857,0.214488034841461,0.129911984309659,0.15136963216438,0.146142937070205,0.561462906455107,0.457394081120145,0.435182798094154,1.39478910520273,0.223671723522166,0.221408756408037,1.04675218033679,0.16669798606815,0.18371055112314,0.954123623026804,0.129631497269937,0.130372969456754,0.167258952646993,0.0701511652077313,0.0699937436206116,0.0572766015942502,0.195537977537181,0.195169893499162,0.0326549557522502,0.201082366566659,0.200797178847864,0.0363886507277293,NA,NA,NA
"Irawaddy",2.42131860648309,2.42072682563509,99.9753299146437,2.2544037559244,2.25373482868617,99.9700855962955,0.944759893856226,0.94421170110553,99.9420401969001,0.129243974991449,0.12823079522041,99.2605943077123,0.0780651513451968,0.076894409461221,98.6923993775225,0.301941992276561,0.301861764635932,99.9743616088579,1.14676151834686,1.14548683097202,99.8890453226844,1.4681071541556,1.4674673154079,99.956533457142,1.37771625660866,1.37725605856472,99.9666444992112,0.548029980719526,0.547910596208958,99.9783699164102,2.00894306839715,2.00849682573255,99.977707603723,NA,NA,NA,0.133449343572678,0.133518605593835,0.0108158551064951,0.136846468373077,0.136897268453359,0.0128694591044583,0.0511218627284861,0.0510798603330972,0.025331714776128,0.0352503180857164,0.0347683865733227,0.375580610649072,0.0591934234982046,0.0580393558632395,0.57319913870055,0.0185626699387845,0.0185078948021428,0.0478884797774668,0.0440479363858282,0.0439494900623877,0.066770596808596,0.0462962061464893,0.0462176485633007,0.0150293679193156,0.06835401656359,0.0683200564688043,0.0108838952102644,0.0671529526026978,0.067130289467052,0.00675829560317652,0.0704825057885441,0.0705147778235872,0.00876475174809815,NA,NA,NA
"Luni_ext",1.50030302470212,0.688376729444724,46.4189643000742,3.04564611432845,1.3057521404912,42.9651162042236,3.09899030675877,1.54931420391758,50.238188349573,4.56672348335412,2.23490089184138,49.0892243251613,4.33043524245786,1.29338574294765,30.0430218202531,2.16028807177548,0.764857526585003,35.405417456072,1.47393754084133,0.678771426463434,47.5346793064003,2.37579068139089,1.50372021184423,64.4607510153056,2.96453460358132,1.99640793334407,68.4562149810476,2.95283725634752,2.07288765351971,70.6457337291124,1.69721708721697,1.11340667496492,65.6532337868899,NA,NA,NA,0.365600673156772,0.297980875985308,16.4466564745319,0.392713431589204,0.482077642597162,14.7972942884283,0.396318095083855,0.483085737189757,14.9748940026906,0.381147577442771,0.57820673665515,12.4567368782059,0.386078431115549,0.416463412978478,9.97987007890714,0.106012885990448,0.12577558542541,5.49756162481926,0.35494675991412,0.117762866022251,9.39773238176711,0.370764246939,0.172442387017589,9.90743620981622,0.4829163151045,0.334046688964799,11.8624339293762,0.531556077306789,0.509225498718474,13.757331971807,0.14478051803489,0.222755395106166,11.8130293915794,NA,NA,NA
"Indus",14.9149730079393,10.475218158266,70.867485442235,18.8940187385854,13.4320338654883,71.0401232146843,19.0544966446405,14.7701787455176,78.4957302204031,28.9163586033431,22.4792941039623,78.06545662216,16.6083141661342,11.2310811480812,68.1130859156987,39.0703432122232,19.3164201544695,49.615029646939,29.9914788582877,14.1959230226895,48.1612899689909,42.7531572326813,25.4845931929176,60.2524276881127,41.4624006360856,26.1608508449685,63.3851702340105,16.2690255627003,10.9923937425347,67.5647803493765,26.2905310187254,18.2865301902817,69.5279459417759,NA,NA,NA,3.61648721589763,2.41503044296855,7.21477520384769,3.24825205543506,2.7747761490063,7.3437455048412,4.4621193182424,2.9800545599855,8.19246789074667,4.86257281254675,3.7553344232859,6.74175552808535,2.15916216252496,1.37057411999198,7.02892677910228,3.45915793056989,1.99876783158915,4.82974136134112,6.44999509735751,2.12697570707374,5.82809922778416,5.23552357301562,2.80853009089166,8.10622292216796,5.14913280014026,3.49967729909173,6.82973342249871,1.525098266049,1.56686702672636,6.91310295619616,1.0083193944263,1.6291056645711,5.20111532351056,NA,NA,NA
"Amu_Darya",0.0971787385627287,0.0595979894233441,63.0058999578509,0.119545194317203,0.080085095455753,68.9094638145666,0.175764603946962,0.10033232880264,63.199386115222,0.753447557725203,0.440495084461537,60.6437917324808,3.26661920637423,1.96737522366498,61.0070262291635,2.72602553447829,1.42477454927216,52.6027555416599,6.09133133276926,2.74267841247432,45.1008599881568,6.73098636658187,2.83311942632121,42.0827117171954,4.13127788627252,1.87283247752776,45.2345978214633,1.90777514462225,0.914989788867174,47.6892132547295,0.3435088958641,0.181660161547894,53.8294812779339,NA,NA,NA,0.0458900641443942,0.0233908491120084,8.01354642151689,0.0631408518734883,0.0431527603853724,14.6187098364514,0.196348161816897,0.0963389155221789,17.0386680100221,0.320717684876782,0.148219311812044,9.07907380559866,0.583549822939725,0.274908467279243,6.87996300652637,0.245279029996229,0.136598237755825,6.346512972632,0.41332379933305,0.368316661159792,5.8968933402956,0.287340907981242,0.396212518159339,5.51859847143211,0.292130072316693,0.272992298344382,4.90331558891204,0.235832516449117,0.177640317893984,4.96909261258981,0.177734811221347,0.0900509796012576,7.05507299151831,NA,NA,NA
"Brahmaputra",5.66825789783678,5.58302820428189,98.4808310512276,6.79100588787801,6.6323350101693,97.658502111322,6.93039474153215,6.67762257462278,96.3865724460888,2.69487037176162,2.55466459405069,94.9373447511995,4.13030870334108,3.79034655689631,92.1123256263483,4.59193923195455,4.40599882461146,95.9153374940338,6.09936408459701,5.95409767855606,97.5937434580107,6.52724141229877,6.44112425327702,98.6755937267367,6.36065316130189,6.31180617133743,99.2313415773587,6.58254780726824,6.55907319494845,99.639452328326,3.54759983200129,3.53206173668788,99.5503557983326,NA,NA,NA,0.309868200513196,0.327496843509459,1.20309591903964,0.428771606458453,0.431690552231826,1.07785306964322,0.490333631324761,0.443367315928641,1.26309225107682,0.418472237829007,0.374583635523033,1.81128364857599,0.747066670486916,0.59942955719934,2.46329704701572,0.278637963482732,0.299602772420168,1.39250260434766,0.322457413906219,0.345495864436581,0.829276322247237,0.325949893276723,0.328844413095061,0.276327321008344,0.335083609667965,0.333644957448845,0.166967300827365,0.45579126268461,0.457454131166071,0.142706822225694,0.321675677700204,0.324899455614916,0.26322593054795,NA,NA,NA
"Syr_Darya",0.0646263400271319,0.0494079782044872,76.9549278601853,0.0311549781724354,0.023906701923624,77.4594124216589,0.0163281451882814,0.011851384415669,70.4324045746191,0.0957452926970423,0.0645421266590231,NA,0.948150256378675,0.609932936801278,65.0352083627128,1.3180922581659,0.845067906821242,64.9952452204175,4.18285006640796,2.63047477164536,63.3018311136469,5.08748379494734,3.20582423032908,63.2614758265592,3.22940676174331,2.12544082500658,65.9986238462164,1.12531298916016,0.77091556148355,68.7549933260685,0.0350926401580485,0.024811460617827,72.6789200605553,NA,NA,NA,0.0354228251698063,0.0269165880266375,5.31987618379796,0.0167986656795428,0.0124625163293763,4.85870929619333,0.0128054569519856,0.00957067679274396,11.8539323806149,0.103722178162151,0.0689583036109072,NA,0.535319073795118,0.338124959097676,5.14550864674683,0.355108369750063,0.188638871110589,4.66271133133062,0.792219098467141,0.442647532670367,4.68982046306007,0.629351742879025,0.401742169371971,5.69387476859532,0.446921929446094,0.299408445807377,5.66340894016824,0.313505154631603,0.21641670440727,5.50496197281203,0.0416842377294983,0.0290781945682189,5.31934389882095,NA,NA,NA
"Salween",0.607106697804741,0.601261985150005,99.0375036368693,0.589643696190284,0.584027341116332,99.0479471455505,0.25754910191842,0.25508786391536,99.0570312683583,0.0264497218635991,0.0260073906572487,98.4280496666091,0.0506180319688361,0.0388349174583921,76.5618096715217,0.197668971176806,0.166414419474095,84.1254713194993,0.299556316607212,0.277161640135081,92.5005747157679,0.401943857435678,0.386480914492059,96.174181710851,0.386391460467571,0.378321796187804,97.9210924510855,0.157880179152183,0.155756702410621,98.6572318540951,0.488731715666172,0.483592110853547,98.9481621376766,NA,NA,NA,0.0131218622324266,0.0130426553260595,0.279800648989891,0.0239522966624456,0.0237105242959661,0.2652324744454,0.0190799036617622,0.0184589054516412,0.312708025368119,0.00888509547600382,0.00867312804192343,1.14628753729939,0.00534819327435544,0.00547131474288138,5.34531132965836,0.00931302718889215,0.0122446583157236,3.5548462879248,0.0143537077977825,0.0154738258642459,1.65331072427132,0.0290606029936912,0.0268824695945181,0.734219318250987,0.0276587674349334,0.0266211271012788,0.464484145211765,0.0113506726204032,0.0111512892668949,0.325537615465857,0.00776480853347088,0.00787723128377232,0.290501350812932,NA,NA,NA
"Tarim",0.100418511318226,0.0655393239881536,64.9625148235013,0.158147145892076,0.100195414287565,63.4470762539007,0.21176556360959,0.123780669845361,58.7792168298838,0.0942981161923243,0.047710974380479,53.2421369566101,3.76746498300411,2.14962855429407,57.5603905678026,4.13129218562057,2.34154311925316,57.1737507198258,6.07475671821082,2.6505336359242,43.8091090306162,4.80878356462193,2.38128251330085,49.8564540856671,1.60379423360242,0.934839219312694,58.3725682704892,0.566950427516392,0.36751664552777,65.6716476234648,0.0842358989741931,0.0545436532307097,65.5775470914555,NA,NA,NA,0.0282771597761512,0.020205618900486,5.05556280241611,0.0566755639394947,0.0367546448537565,5.73195014810835,0.104054974133683,0.0592993361224803,6.27107947095147,0.0463002182264054,0.0173995856494454,9.51243098677543,0.292148978716506,0.230072290766873,8.59800129980519,0.441748679314622,0.231739272840487,6.88901398160229,0.347477039954703,0.303676935437657,5.97744839993928,0.400748547421364,0.277978267634418,7.18306295334245,0.135221374961053,0.127513717847635,6.92653001610876,0.190419027551257,0.115200542304141,5.75845741123577,0.045438327981797,0.0289401694043997,5.70133443171946,NA,NA,NA
