"irrigationFlow","IrrFlow_km3_pu","IrrFlow_percent_pu","irrigationFlow_stdev","IrrFlow_mm_pu_stdev","IrrFlow_percent_pu_stdev"
"Ganges",324.371188155361,19.857346028282,5.79641470992082,28.4495200315257,19.7531047617631,5.48430854574256
"Mekong",74.5869812886636,0.0139845207156377,0.0186855095604175,2.87507760437225,0.0225972927480991,0.0299076460078832
"Irawaddy",29.7414645748384,5.24517242830018e-09,1.73751822214559e-08,1.86126162098826,4.20042751332648e-09,1.35692329408905e-08
"Luni_ext",19.3711004461403,5.35092164809925,25.4204115114428,7.84505982110035,4.06588146504624,12.4175533857271
"Indus",151.36509414378,1.99163763365884,1.23039124867512,59.7192963260028,1.44038614123175,0.501036092364382
"Amu_Darya",0.961389636334808,0.022903415914735,2.29634633525092,0.356252858287523,0.011563684918004,0.505631336559813
"Brahmaputra",76.3696545933897,0.0363210067479026,0.0471881273048606,2.20916417718392,0.0298238883735502,0.0388339586066292
"Syr_Darya",0.757565458826976,0.00204539190188088,0.544449062550228,0.649258366479699,0.00137310529986608,0.581349992101269
"Salween",7.72132546627127,1.16778733393352e-20,1.50370031452234e-19,0.166484501224013,1.68904339969652e-20,2.14877424095504e-19
"Tarim",1.24202173530818,3.76516003822897e-05,0.00310504128737282,0.121244771230098,7.90306042642216e-05,0.00643127932169617
"Ili",1.17582033448142,0.115619201415526,9.83978025643238,0.202372531583796,0.0314042359778197,1.94043793856345
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",236.310821293553,0.825979627566289,0.359196321663588,23.257216407506,0.821916113653272,0.378118530208156
"Inner_Tibetan_Plateau_extended",0.537387403523717,0.0482654745775372,8.64550150700022,0.234242204144997,0.0259533295006935,3.0243340377183
"Yellow",8.39454235759746,0.125701429809449,1.33859138348977,2.90327044418622,0.108879391152349,1.04585463078287
"all_basins",933.03255919693,28.3909787807493,2.85107196994119,103.626973099971,25.0198217440521,2.25899699418421
