"irrigationFlow","IrrFlow_km3_pr","IrrFlow_percent_pr","irrigationFlow_stdev","IrrFlow_mm_pr_stdev","IrrFlow_percent_pr_stdev"
"Ganges",324.371188155361,287.364390423215,89.0032147792008,28.4495200315257,16.0366378591,7.26771309808769
"Mekong",74.5869812886636,74.3857232294221,99.7314137588015,2.87507760437225,2.84381320569289,0.180431664644191
"Irawaddy",29.7414645748384,29.7341559455825,99.9751915429045,1.86126162098826,1.86210928100265,0.00732175912948653
"Luni_ext",19.3711004461403,12.6211100445317,67.2273886094877,7.84505982110035,5.04414755598004,13.4213115695157
"Indus",151.36509414378,111.716350960841,74.5260625918755,59.7192963260028,40.7816649222078,3.43733841696643
"Amu_Darya",0.961389636334808,0.579011182954151,62.7934551614622,0.356252858287523,0.129130318780069,11.424792302234
"Brahmaputra",76.3696545933897,73.7725481953171,96.6019451189306,2.20916417718392,2.23313307804449,1.14851696381738
"Syr_Darya",0.757565458826976,0.490263147085251,67.5015213428871,0.649258366479699,0.409521975571814,4.67464660849557
"Salween",7.72132546627127,7.63651057650248,98.9024356271979,0.166484501224013,0.168677690909074,0.653287864368771
"Tarim",1.24202173530818,0.746273566680131,60.1930200959798,0.121244771230098,0.0808104276087838,4.5862014128808
"Ili",1.17582033448142,0.737684152202501,62.7750971972646,0.202372531583796,0.128425006428179,2.30225304108011
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",236.310821293553,233.59390797895,98.847193865148,23.257216407506,23.1466565439389,0.64697394509903
"Inner_Tibetan_Plateau_extended",0.537387403523717,0.324919537180964,59.8000762008083,0.234242204144997,0.156622096210224,2.58354486955921
"Yellow",8.39454235759746,7.22279362878838,86.126220373922,2.90327044418622,2.44036480565951,2.27208964046885
"all_basins",933.03255919693,841.037511270496,90.4759202981795,103.626973099971,60.0761496920089,3.87186132211708
