"irrigationFlow","IrrFlow_km3_pr","IrrFlow_percent_pr","irrigationFlow_stdev","IrrFlow_mm_pr_stdev","IrrFlow_percent_pr_stdev"
"Ganges",264.882580548908,194.966951531797,73.6606173379451,10.7128669775506,12.4148271665398,4.59050926975148
"Mekong",38.7509047194472,38.5805912126815,99.5618290336647,0.720145883060284,0.697351758630173,0.302399897609694
"Irawaddy",14.8963923051213,14.8889357074099,99.9497730594301,0.365445554816228,0.366339049342724,0.01893236060008
"Luni_ext",32.4139080190308,16.6874909271699,51.6135610211388,1.43326345411719,2.49420385636071,8.16850822604735
"Indus",297.984339212198,189.597186133865,63.6969574805977,17.0639213506703,11.464839305809,3.3028724343323
"Amu_Darya",27.1826752453519,13.0208408733604,47.9783267072818,1.35492589206982,1.260333708028,4.83857326816955
"Brahmaputra",65.6492526744914,64.0159088205962,97.5106579019694,1.2983923687415,1.40079340100466,0.747701135101541
"Syr_Darya",16.156709634541,10.3800402606944,64.4904834091616,1.96774557798719,1.20724579797603,4.89117484912947
"Salween",4.00522886337558,3.88962193011798,97.1124875715673,0.0740127439300772,0.0760662648271337,0.415195125761197
"Tarim",22.7324493421766,11.8349255991167,52.2780873495002,1.36740876639522,0.88474711089498,5.32960800382438
"Ili",20.1701632812899,9.05986325933044,44.9948239283233,0.99737728440717,0.848038636507242,4.41327568607213
"Inner_Tibetan_Plateau",0.0538925327571331,0.0282292512425699,52.3369575297878,0.00156031469574981,0.00432742596580496,7.60297414589289
"Yangtze",256.478398440934,245.140069173897,95.5982323650217,10.2629763574945,9.74013438697249,1.82480823283385
"Inner_Tibetan_Plateau_extended",6.64708323679801,3.91435292695677,58.8592490553746,0.35364490908482,0.477061884018853,6.14055101972321
"Yellow",53.8767467591788,41.6144756011663,77.2738597197627,5.24067002377672,4.52326676354477,4.21787926453979
"all_basins",1123.21998490906,858.497530025528,76.4512823099432,26.5024457045829,22.4688018326811,1.94038352318259
