"","2000","2001","2002","2003","2004","2005"
"Ganges",316.585283164622,244.775283617017,335.377174410944,314.629087856392,332.715282072899,291.908227812035
"Mekong",72.3363286397643,71.5873660589969,74.966393370169,72.5636842133474,65.2912473526491,72.1097972107078
"Irawaddy",31.9153362142504,30.5578850644793,30.4462988832752,30.219491470318,29.8652534653087,30.6407409035284
"Luni_ext",16.0812984569895,7.88512386227926,17.4715134997757,15.3419139481934,30.0382001480406,13.9599250152569
"Indus",172.689903024191,161.490358539435,143.659242478061,161.387672883637,166.924732848973,173.067962456476
"Amu_Darya",0.507741516700212,0.796922294640613,0.78302155526367,0.496074673213345,0.645655418593256,0.642300759771982
"Brahmaputra",73.2203943859054,78.7288626838282,77.8927769796216,70.9858298950593,66.4523509514283,68.9361013965472
"Syr_Darya",0.0600974000574074,0.7994135249725,0.585467552930691,1.30675197969674,0.258403966563754,0.0871960786968996
"Salween",7.56998274711764,7.44934675463377,7.84216667345286,7.42878132003396,7.63129131491354,7.25876732411391
"Tarim",0.979565477434952,0.537649735879826,0.606981126114642,0.348925883459956,0.513249566323932,1.04168755694263
"Ili",0.16496212879055,0.920524390143337,1.04364521968622,1.30732091464021,0.904476847896557,0.125664421651816
"Inner_Tibetan_Plateau",0.00525480244550607,5.8916551198567e-05,0,0,0,0.00525480864523847
"Yangtze",229.184167555655,221.066406155649,210.956474885066,223.631950178561,200.028769401896,225.142747647839
"Inner_Tibetan_Plateau_extended",0.733815402587203,0.563890481046278,0.150935313636738,0.266380700620028,0.38187247192278,0.597372026692692
"Yellow",12.4719953865156,15.1481477340468,8.66510548032606,14.4716873386752,2.81826832821651,14.4658484839408
"all_basins",934.625590044498,842.486870646146,910.58309023602,914.636114042652,904.550996907807,900.141188720554
