"irrigationFlow","IrrFlow_km3_pgi","IrrFlow_percent_pgi","irrigationFlow_stdev","IrrFlow_mm_pgi_stdev","IrrFlow_percent_pgi_stdev"
"Ganges",343.040294879039,0.682155898197739,0.202103391498868,28.4015009923364,0.303184495359948,0.0973947943891112
"Mekong",71.6743144734895,0.000891729534412148,0.00123164869702986,3.31247830466861,0.000718729071712301,0.000989413457647272
"Irawaddy",30.6181408249601,1.97012797340754e-06,6.42758881118466e-06,0.699269256898868,2.54152151540133e-07,7.60351352512463e-07
"Luni_ext",24.0695183367302,0.168743292671944,0.747716821766255,5.66472934692914,0.0768205186116772,0.378431295360401
"Indus",213.012691439432,5.53689886158592,2.57717102334169,16.5829112162699,1.3346702633224,0.52162669939703
"Amu_Darya",1.01099176631212,0.04234324327227,4.04614882783975,0.232674472453398,0.0204045924952248,1.5185992544946
"Brahmaputra",73.4785804541913,0.0152508386160886,0.0202135122791724,5.27269924848569,0.00902068329625247,0.0110185832649202
"Syr_Darya",0.77268162738501,0.016304975612739,1.96413125004046,0.729285606441258,0.0159803834187996,0.395808247338674
"Salween",7.62423719489746,0.00010683125239131,0.00140326223512342,0.204607745141565,2.09859711109657e-05,0.000288342658371515
"Tarim",1.00605562659145,0.00674177297632388,0.699994285745205,0.286802665559457,0.00410132866881883,0.411319488399444
"Ili",1.09726484918478,0.0293472873121279,2.42801464970947,0.669759150325674,0.0219815567878479,0.797779238552123
"Inner_Tibetan_Plateau",0.00192550236819286,0,NA,0.0029582080626293,0,NA
"Yangtze",223.415999954365,0.154263866902364,0.0676541302979804,12.4587712646647,0.113657329130187,0.0486499605656791
"Inner_Tibetan_Plateau_extended",0.63826911642969,0.00306224633762123,0.549681579836941,0.216621838379544,0.000599876758877107,0.271488265082138
"Yellow",12.8695112033355,0.00645376306275867,0.0502305895567838,5.34254258161752,0.00266748894238521,0.00542910495188048
"all_basins",1004.50401105918,6.66439099734859,0.660607485476776,40.3441647468005,1.63957607064597,0.154963290995378
