"Jan_irrigationFlow","Jan_IrrFlow_km3_pgi","Jan_IrrFlow_percent_pgi","Feb_irrigationFlow","Feb_IrrFlow_km3_pgi","Feb_IrrFlow_percent_pgi","Mar_irrigationFlow","Mar_IrrFlow_km3_pgi","Mar_IrrFlow_percent_pgi","Apr_irrigationFlow","Apr_IrrFlow_km3_pgi","Apr_IrrFlow_percent_pgi","May_irrigationFlow","May_IrrFlow_km3_pgi","May_IrrFlow_percent_pgi","Jun_irrigationFlow","Jun_IrrFlow_km3_pgi","Jun_IrrFlow_percent_pgi","Jul_irrigationFlow","Jul_IrrFlow_km3_pgi","Jul_IrrFlow_percent_pgi","Aug_irrigationFlow","Aug_IrrFlow_km3_pgi","Aug_IrrFlow_percent_pgi","Sep_irrigationFlow","Sep_IrrFlow_km3_pgi","Sep_IrrFlow_percent_pgi","Oct_irrigationFlow","Oct_IrrFlow_km3_pgi","Oct_IrrFlow_percent_pgi","Nov_irrigationFlow","Nov_IrrFlow_km3_pgi","Nov_IrrFlow_percent_pgi","Dec_irrigationFlow","Dec_IrrFlow_km3_pgi","Dec_IrrFlow_percent_pgi","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_pgi_stdev","Jan_IrrFlow_percent_pgi_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_pgi_stdev","Feb_IrrFlow_percent_pgi_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_pgi_stdev","Mar_IrrFlow_percent_pgi_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_pgi_stdev","Apr_IrrFlow_percent_pgi_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_pgi_stdev","May_IrrFlow_percent_pgi_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_pgi_stdev","Jun_IrrFlow_percent_pgi_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_pgi_stdev","Jul_IrrFlow_percent_pgi_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_pgi_stdev","Aug_IrrFlow_percent_pgi_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_pgi_stdev","Sep_IrrFlow_percent_pgi_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_pgi_stdev","Oct_IrrFlow_percent_pgi_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_pgi_stdev","Nov_IrrFlow_percent_pgi_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_pgi_stdev","Dec_IrrFlow_percent_pgi_stdev"
"Ganges",25.7606549359284,0.115985086567625,0.44059970805966,26.6791736810449,0.0687215414065463,0.259122424649295,16.1269674902577,0.0264731642580244,0.162442666761036,20.5919860444869,0.0437135026539802,0.210330365690623,23.9750763178502,0.152938603104472,0.634184808296178,29.5288881754488,1.37136642209995,4.60239254379688,10.3340063582951,0.283189792214997,2.44946464685952,17.5783163848394,0.394685651305595,2.12863430104174,28.8651103100548,0.537629611672418,1.75334684924886,19.0074124605897,0.194627105718158,1.02394125503142,23.5064030906065,0.133317449639829,0.547738960314587,NA,NA,NA,2.29940568453927,0.124111138918912,0.455239462463756,3.62603861651938,0.0671002823293747,0.257916136587586,2.09549505683211,0.0253905242795936,0.147938248400835,1.64126602769928,0.0323933900468554,0.151992041387347,1.52647295669485,0.0750446246270684,0.303365463531855,2.27741841045589,0.434323238731813,1.23725920669145,2.66236091833228,0.314353248954159,1.54131151866629,2.06985617447739,0.283987879870766,1.2018167563523,3.98643388971691,0.374700771494612,0.998211614423864,1.97679728829002,0.101444930721459,0.522799801133951,4.07331923080886,0.106162915959738,0.396565607882196,NA,NA,NA
"Mekong",5.4937685007285,2.81949154632738e-05,0.0005130377951267,3.74059089961869,8.39742723721849e-06,0.00022289097129528,1.59922420165169,3.43436851248004e-06,0.000213858502289842,0.802768685897066,2.35496880352529e-06,0.000297132225648505,2.24031156607335,1.19955177983413e-05,0.000475729486266693,2.74901142401198,0.000205916928752174,0.0075480326142833,3.63757412485286,0.000273291413311126,0.00753251196709943,3.14045493623963,0.00041330172980658,0.0131850501940247,2.58242777757773,0.00032066445059935,0.0124114243370368,2.15603134072621,0.000321587742018639,0.0148064172108787,4.7716423491671,0.000196580846106394,0.00411181144619825,NA,NA,NA,0.219968578708368,2.25576565689029e-05,0.000408029494883094,0.195383023738258,5.31044427566089e-06,0.000137752731913433,0.208460103093733,2.00780882099279e-06,0.000121569096268883,0.16218174874755,3.76142158219195e-06,0.000516289500615551,0.457394081120145,1.92439419657194e-05,0.000604201002748224,0.216456506634354,0.000199960268965064,0.00753818605281305,0.178604985073018,0.000106756178479909,0.00291550601509938,0.129631497269937,0.000122463965682904,0.00399062139735831,0.0678882243945787,0.000102023577940682,0.00393299321752871,0.209504975932694,0.000121423880706495,0.0051500369284264,0.201082366566659,0.000136578762398808,0.00281067716133972,NA,NA,NA
"Irawaddy",2.34321155466106,1.0354179631341e-07,4.43549096387477e-06,2.18168105412039,1.48569166939911e-07,6.82885192173753e-06,0.944759893856226,7.20181505889705e-08,7.62697452656548e-06,0.125074814507853,6.07481276433611e-07,0.000403739255173071,0.0755469206566421,3.97038906102784e-06,0.00385765678632082,0.301941992276561,2.12832822802989e-06,0.000674686086047394,1.10976921130341,5.63367919007844e-05,0.00506910114515794,1.42074885886025,6.25483250667631e-05,0.00439886865734823,1.37771625660866,5.7127016182169e-05,0.0041550187736033,0.530351594244703,1.23342156206614e-05,0.00231896215104147,1.94413845328757,3.63549971831473e-06,0.000186310271901901,NA,NA,NA,0.129144526038076,3.06058878087773e-08,1.33638791099521e-06,0.132432066167494,1.37838504228811e-07,6.18565472531549e-06,0.0511218627284861,1.31804388273488e-07,1.40091519166012e-05,0.0341132110506933,3.1544778651758e-06,0.00202732901715227,0.057283958224069,6.43604687743006e-06,0.00386128786269648,0.0185626699387845,3.59934892633105e-06,0.00111360848375507,0.0426270352120918,1.74626734465436e-05,0.00153863290116489,0.0448027801417639,1.17801996245352e-05,0.000788835718829974,0.06835401656359,1.10939407522714e-05,0.000827442224005878,0.0649867283251914,3.36070791344586e-06,0.000530464740630558,0.0682088765695588,4.50931345513052e-06,0.000230029616192568,NA,NA,NA
"Luni_ext",1.50030302470212,0.0135934725144495,0.931564970737289,2.94739946547914,0.0227324549184574,0.771101552026327,2.99902287750849,0.014625959445452,0.481457521318812,4.56672348335412,0.0163484717893207,0.35515075585398,4.19074378302373,0.00733827456353938,0.17392846644385,2.09060135978272,0.0109655841253372,0.527423818659529,1.47393754084133,0.0458728094950357,3.05893836420225,2.29915227231376,0.0946043561588057,4.10513614046266,2.8689044550787,0.122506277188862,4.25949896429431,2.95283725634752,0.0687343344666892,2.33859677556765,1.64246814891965,0.0457228760325299,2.78053717094416,NA,NA,NA,0.365600673156772,0.00600838194733829,0.423380434307099,0.380045256376649,0.0107169609900193,0.366126425157541,0.38353364040373,0.00717840346261482,0.20952315933757,0.381147577442771,0.00785260847390928,0.165474594878761,0.373624288176337,0.00305239501899073,0.0689826421961032,0.102593115474627,0.00641045564400199,0.312615049930612,0.35494675991412,0.0182874826377933,0.915787806132902,0.358804109940968,0.0264110826168758,0.984802380655192,0.467338369455968,0.0353391775008252,0.952288128780206,0.531556077306789,0.0260603108087587,0.790470911351527,0.140110178743442,0.0147708718026789,0.853844957514692,NA,NA,NA
"Indus",14.4338448463929,0.366954563642266,2.53863031084838,18.8940187385854,0.383238625658712,2.03104048458422,18.4398354625554,0.193800866609625,1.02077242734584,27.983572841945,0.153862510041371,0.545438464574942,16.6083141661342,0.102643322445976,0.598093528248435,37.810009560216,1.12647369265617,2.98196253212152,29.0240117983429,1.93303791862094,6.56231775227911,42.7531572326813,3.93100885619493,9.05393779394282,40.1249038413731,4.08806097070568,10.1188378600465,15.7442182864842,1.24388481373662,7.91695369512987,26.2905310187254,1.0822437850025,4.13286933914744,NA,NA,NA,3.49982633796545,0.1653787035621,0.910556697954433,3.24825205543506,0.158434154514264,0.84179294953188,4.31817998539587,0.113357116852942,0.46737109626949,4.70571562504525,0.0812228900369574,0.261624409092163,2.15916216252496,0.0587131490816814,0.302402876017998,3.34757219087409,0.439787451341782,1.1073520160339,6.24193073937824,0.726420727990788,1.80429117551752,5.23552357301562,1.28937449991268,2.38632710991423,4.98303174207122,1.17350411041237,2.35507535066409,1.47590154778936,0.361329191203117,2.1638657124471,1.0083193944263,0.331520264028831,1.31803646522565,NA,NA,NA
"Amu_Darya",0.0971787385627287,0.00398016024686955,4.05545173562818,0.115688897726326,0.00341278670765869,2.72620682897188,0.188319218514602,0.00218237539462949,0.855945639911592,0.753447557725203,0.0048555034540025,0.560143417663723,3.16124439326538,0.0312235804629059,0.930854424122418,2.92074164408388,0.0754003738076246,2.53519549418131,6.09133133276926,0.473406862934947,7.74260448634598,6.51385777411149,0.844167044801456,12.9513729862361,4.42636916386341,0.526138617039478,11.8899743327207,1.90777514462225,0.147482974286617,7.81667803511617,0.332427963739452,0.0122788901391185,3.41133568373797,NA,NA,NA,0.0458900641443942,0.00258121075683626,2.07912477263869,0.06110405020015,0.0030341828522704,1.65820079065136,0.210373030518104,0.00363509852549633,0.825896782152663,0.320717684876782,0.00501330837835576,0.31794618337985,0.564725635102959,0.0223183600756253,0.497917912860446,0.262798960710246,0.0425485296100633,1.34160675578592,0.41332379933305,0.191974804094385,3.13548232797367,0.27807184643346,0.282987727519843,4.31751206200754,0.3129965060536,0.156684845752239,3.41678265023254,0.235832516449117,0.0440786974415066,2.45121839942491,0.172001430214207,0.00913758694681429,1.44350526903717,NA,NA,NA
"Brahmaputra",5.4854108688743,0.000585628250010045,0.010698527383711,6.79100588787801,0.00117990147560155,0.017195536789799,6.70683362083757,0.00255572454901643,0.037620121982256,2.60793906944673,0.00144135760447071,0.0532530432823212,4.13030870334108,0.00785078893032758,0.178754505096139,4.44381215995601,0.0175665200611615,0.396598515783446,5.90261040444872,0.0267312058586589,0.453778466222871,6.52724141229877,0.0239923985046116,0.367932661739574,6.1554708012599,0.0137109149852459,0.221857054022949,6.37020755542087,0.00359907525713288,0.0570967862136329,3.54759983200129,0.000687018924149213,0.0199068138546753,NA,NA,NA,0.299872452109545,0.000276007540901732,0.00505986677456192,0.428771606458453,0.000593800437011055,0.00817367261288687,0.474516417411059,0.0016329893563584,0.0231257607490908,0.40497313338291,0.00108862284833,0.037608567632218,0.747066670486916,0.00575262397518976,0.10476219364893,0.269649642080064,0.00565087310571921,0.132692937827521,0.312055561844728,0.00706248673572015,0.120952048325957,0.325949893276723,0.00549570293130835,0.0836061916352039,0.324274460968999,0.00429374239416624,0.0664008640895522,0.441088318727042,0.00133733360506709,0.0236191011363555,0.321675677700204,0.000457366030753236,0.0142730743181349,NA,NA,NA
"Syr_Darya",0.0625416193810954,0.000849207067901778,1.16697222844787,0.0301499788765504,0.000496973076279596,1.38655272628444,0.0163281451882814,0.000309390883972223,1.54225943416858,0.0926567348681054,0.00111527224663822,NA,0.917564764237427,0.00589551983465476,0.569471818264827,1.3180922581659,0.0139965475815921,0.978861292561284,4.04791941910448,0.125437170774741,2.96777664107003,4.92337141446517,0.257723590330432,5.09909968592279,3.22940676174331,0.170365350526196,5.16584024722884,1.08901257015499,0.0451873727983875,4.08907191414157,0.0339606195077889,0.00113846403133218,2.99587680937737,NA,NA,NA,0.0342801533901351,0.000890870081898902,0.698850972717137,0.0162567732382672,0.000539468107792812,0.92155765849122,0.0128054569519856,0.000519166176472927,1.44595954100834,0.100376301447243,0.00160841248439396,NA,0.518050716575921,0.00602928145859378,0.37240568869601,0.355108369750063,0.010658701707131,0.516508509187959,0.766663643677878,0.0666841174537519,1.1954025207062,0.609050073753895,0.12364720162974,1.93260993249058,0.446921929446094,0.0752465762442168,1.86040287719705,0.303392085127358,0.0222512181519507,1.44698081833715,0.0403395848995145,0.00142718054775414,1.15235844855977,NA,NA,NA
"Salween",0.607106697804741,8.53722217632061e-06,0.00140441534335024,0.570622931797049,9.41230570483006e-06,0.00164485267558102,0.249241066372665,8.44779299265963e-06,0.00332395305011505,0.0264497218635991,3.05343161723048e-06,0.0111890829803488,0.0489851922279059,3.36989993594475e-05,0.0692129190909028,0.191292552751748,0.00144464759548386,0.754642968149952,0.299556316607212,0.0027860004690038,0.931205882580488,0.388977926550656,0.00351758213357486,0.898831650039443,0.373927219807327,0.0020581179569864,0.548533995874447,0.157880179152183,0.000523692577865825,0.329746772213033,0.472966176451134,5.31269306895549e-05,0.0112292893025409,NA,NA,NA,0.0131218622324266,3.57219658453921e-06,0.000581055792675014,0.023179641931399,4.09212134695327e-06,0.000707683355002428,0.0184644228984796,5.35249517989712e-06,0.00199812591887663,0.00888509547600382,2.54492461434293e-06,0.0105088619953315,0.00517567091066656,1.6768995418195e-05,0.0357686702165952,0.0090126069569924,0.000618552079258483,0.316052466728239,0.0143537077977825,0.00069580691112286,0.230471687443267,0.0281231641874431,0.000912421016356196,0.19929879252015,0.0267665491305807,0.000709954002686804,0.181269698730153,0.0113506726204032,0.000291282917810839,0.170145394370634,0.00751433083884279,2.79925696957672e-05,0.00588941882337213,NA,NA,NA
"Tarim",0.0971792045015094,0.000659988207320586,0.70556616685605,0.169443370598653,0.00106715945146181,0.623317276624442,0.21176556360959,0.00147790541084655,0.624140867190915,0.0912562414764429,0.00101922670551709,0.798117668567651,4.03656962464726,0.0638987492334448,1.5361097548472,4.13129218562057,0.188513814271485,4.38958055738842,5.87879682407499,0.846674218674091,14.2677819063888,5.15226810495206,0.8004881796155,15.2453930452766,1.60379423360242,0.170063730889203,10.5308621317994,0.548661704048122,0.00820539285164726,1.40950848010828,0.0902527489009211,0.000738892266405707,0.777938463886622,NA,NA,NA,0.0273649933317592,0.000447617515459532,0.47708196389728,0.0607238185066015,0.000829904633394601,0.385861437390187,0.104054974133683,0.00148045051519916,0.400263770042812,0.0448066627997471,0.00200647731131122,0.904836561996523,0.313016762910542,0.0437595177726761,0.956369174042582,0.441748679314622,0.120266349475143,2.39502706430374,0.33626810318197,0.301260350379304,4.67023248683042,0.429373443665747,0.312671129264586,5.09649720948054,0.135221374961053,0.0723135304389319,4.25017733102706,0.18427647827541,0.00570731735165801,0.720146149914176,0.0486839228376397,0.000628384461839447,0.492906273500248,NA,NA,NA
