"irrigationFlow","IrrFlow_km3_pr","IrrFlow_percent_pr","irrigationFlow_stdev","IrrFlow_mm_pr_stdev","IrrFlow_percent_pr_stdev"
"Ganges",343.040294879039,305.998389822318,89.069409718083,28.4015009923364,33.7943130527383,4.42393395565461
"Mekong",71.6743144734895,71.4758028076057,99.7261509006133,3.31247830466861,3.24873312458519,0.0992354050036605
"Irawaddy",30.6181408249601,30.6075010001933,99.965265699084,0.699269256898868,0.698780151434419,0.00680488039769826
"Luni_ext",24.0695183367302,16.7963291550892,67.3974297869557,5.66472934692914,7.29224769192071,13.9555293521141
"Indus",213.012691439432,163.203312038462,77.0097923274245,16.5829112162699,10.8568606830999,8.08312729918294
"Amu_Darya",1.01099176631212,0.645286036363846,64.5854241305856,0.232674472453398,0.128962166617248,7.64311258275596
"Brahmaputra",73.4785804541913,72.702719382065,98.9708502374959,5.27269924848569,4.89328753389905,0.578354136541159
"Syr_Darya",0.77268162738501,0.516221750486331,69.0108011567161,0.729285606441258,0.48342798127613,5.20343826870588
"Salween",7.62423719489746,7.53005602237761,98.7658356992416,0.204607745141565,0.199811859186622,0.35485746491449
"Tarim",1.00605562659145,0.671343224359323,65.3054469641889,0.286802665559457,0.27680999149001,10.3542644235041
"Ili",1.09726484918478,0.744432320468116,65.2728182503324,0.669759150325674,0.486138665797777,6.76441002769187
"Inner_Tibetan_Plateau",0.00192550236819286,0.00176142127365718,NA,0.0029582080626293,0.00270606002814506,NA
"Yangtze",223.415999954365,218.335085970778,97.7618885594337,12.4587712646647,10.8547578232492,1.34011682122373
"Inner_Tibetan_Plateau_extended",0.63826911642969,0.44904439941762,67.081014766079,0.216621838379544,0.220468752185711,15.6271874746031
"Yellow",12.8695112033355,11.3401754586202,88.1551777512178,5.34254258161752,4.79868249092888,3.64981246070271
"all_basins",1004.50401105918,901.17064176628,89.782517413915,40.3441647468005,31.1301084529303,3.45670445130052
