"irrigationFlow","IrrFlow_km3_pgi","IrrFlow_percent_pgi","irrigationFlow_stdev","IrrFlow_mm_pgi_stdev","IrrFlow_percent_pgi_stdev"
"Ganges",324.371188155361,0.728634658910093,0.216912126086518,28.4495200315257,0.518899869918632,0.141214539381793
"Mekong",74.5869812886636,0.000651387138071092,0.000868865825514221,2.87507760437225,0.00037520713953015,0.000487093008467924
"Irawaddy",29.7414645748384,2.12921928863269e-06,7.23224571395006e-06,1.86126162098826,7.24126244772088e-07,2.65920577619373e-06
"Luni_ext",19.3711004461403,0.133743189300344,0.704472809980343,7.84505982110035,0.0519592488883741,0.116487726308443
"Indus",151.36509414378,3.21066317225111,2.05745663518327,59.7192963260028,1.57128800535124,0.243894160527537
"Amu_Darya",0.961389636334808,0.0287986758446969,2.82043815949566,0.356252858287523,0.0190405933780171,0.780470923171488
"Brahmaputra",76.3696545933897,0.0158074407876269,0.0205822682510234,2.20916417718392,0.00733125106833352,0.00936759616560198
"Syr_Darya",0.757565458826976,0.0202956969437789,2.38163311493031,0.649258366479699,0.0197888830563686,0.574989698297465
"Salween",7.72132546627127,9.16887668567363e-05,0.00118586300573899,0.166484501224013,1.85154827069972e-05,0.00022910488259914
"Tarim",1.24202173530818,0.00605893246447058,0.48902519539025,0.121244771230098,0.00191391037793988,0.147291700293137
"Ili",1.17582033448142,0.0257532893571941,2.1839360057085,0.202372531583796,0.00564950941409148,0.213582847213173
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",236.310821293553,0.0317775749599428,0.0140273085913203,23.257216407506,0.0191364270202684,0.00910303881876372
"Inner_Tibetan_Plateau_extended",0.537387403523717,0.00344631994199473,0.666377575439807,0.234242204144997,0.00118679103910611,0.0893763935891586
"Yellow",8.39454235759746,0.00337800256185098,0.0420187211750056,2.90327044418622,0.00104227957554154,0.0111707175019276
"all_basins",933.03255919693,4.21005596486058,0.437391310951894,103.626973099971,2.01324578413405,0.168503739971222
