"","2000","2001","2002","2003","2004","2005"
"Ganges",0.364651296956826,0.156693945034071,0.143099268624569,0.12657653362062,0.0853584111865811,0.425093301096441
"Mekong",0.000578240328465891,0.000896559443653503,0.000387320414683933,0.000974760050015208,0.00176002890987926,0.000616285806387529
"Irawaddy",4.51619549701078e-06,9.15636797503143e-06,5.25950361503212e-06,1.03168827017334e-05,9.39818307475663e-06,4.74634142013592e-06
"Luni_ext",0.742503208807254,0.883753703024785,0.62274019096276,0.539883463959166,0.724822744191025,0.713133548937067
"Indus",2.0560024462092,2.06499786316819,1.98811993943851,2.1764941034053,1.65752161159117,2.40160384728725
"Amu_Darya",2.4790787348697,3.99668719941453,2.33088821196526,3.5936263833231,2.05800587688984,2.46434255051154
"Brahmaputra",0.0267735984071469,0.0127163702006613,0.0326872514994778,0.00834093314693956,0.0169858535929366,0.0259896026589782
"Syr_Darya",3.09068100152728,2.19112901481246,1.99271014173551,1.91436245087537,1.9641908722668,3.13672520836444
"Salween",0.00137094346166969,0.000775391592253073,0.00106675906391217,0.00123971271296165,0.00131738658178366,0.0013449846218537
"Tarim",0.358432460143986,0.676226861907198,0.668245086758635,0.437148006658112,0.445242658305626,0.348856098567945
"Ili",2.14071471579669,2.27171294098756,2.11219455210787,2.25838562209534,2.48179187552399,1.83881632773956
"Inner_Tibetan_Plateau",NA,NA,NA,NA,NA,NA
"Yangtze",0.00500409525777076,0.0284508005047862,0.0103276409540749,0.0159748547860259,0.0193002744350246,0.0051061856102395
"Inner_Tibetan_Plateau_extended",0.648300547795729,0.763628068457993,0.580894216282875,0.790203566870816,0.590141484899869,0.625097568331559
"Yellow",0.0361499077551085,0.0272919923085369,0.0439269472408127,0.0428081538894037,0.0611699539880997,0.0407653718680718
"all_basins",0.510023571794152,0.341839549004055,0.298923160165659,0.534545838557967,0.249409498213464,0.689606247976066
