"irrigationFlow","IrrFlow_km3_pgi","IrrFlow_percent_pgi","irrigationFlow_stdev","IrrFlow_mm_pgi_stdev","IrrFlow_percent_pgi_stdev"
"Ganges",264.882580548908,3.44898205827115,1.29311399123573,10.7128669775506,1.15299083652779,0.399330237313687
"Mekong",38.7509047194472,0.00190356967550387,0.00490391074613433,0.720145883060284,0.000573438923906123,0.0014498560434371
"Irawaddy",14.8963923051213,0.000203931288868818,0.00137001828957319,0.365445554816228,4.01488109981471e-05,0.000271708151872218
"Luni_ext",32.4139080190308,0.485411312748607,1.49312478855508,1.43326345411719,0.122773720181935,0.35793590540303
"Indus",297.984339212198,15.0428517720976,5.03023221629082,17.0639213506703,3.82780022822002,1.1812302371396
"Amu_Darya",27.1826752453519,2.17986080708582,7.95655174633345,1.35492589206982,0.71423609892913,2.40360508844514
"Brahmaputra",65.6492526744914,0.103116640633886,0.156984059006637,1.2983923687415,0.0206517373259546,0.0308463538902004
"Syr_Darya",16.156709634541,0.638004205058185,3.83182224571417,1.96774557798719,0.283909813489961,1.31107285223692
"Salween",4.00522886337558,0.0107071175182924,0.267220234049567,0.0740127439300772,0.00229389985855362,0.0562646147959218
"Tarim",22.7324493421766,2.14621341429364,9.31373527910693,1.36740876639522,0.77112575160347,2.96754271887267
"Ili",20.1701632812899,2.40986985445928,11.8867150432501,0.99737728440717,0.627616001989589,2.82407582050618
"Inner_Tibetan_Plateau",0.0538925327571331,0.0011799395662982,2.17326670129287,0.00156031469574981,0.000897423938492585,1.63730521972804
"Yangtze",256.478398440934,0.12536503811816,0.048497389355973,10.2629763574945,0.0753162096091974,0.0281245764235174
"Inner_Tibetan_Plateau_extended",6.64708323679801,0.25673064614939,3.82240406702807,0.35364490908482,0.124260993125259,1.77293504157408
"Yellow",53.8767467591788,0.0232897286756787,0.0427300910205161,5.24067002377672,0.00705774367713721,0.010581626324711
"all_basins",1123.21998490906,26.9268706081858,2.39185012849355,26.5024457045829,5.81034955858204,0.488809940653127
