"irrigationFlow","IrrFlow_km3_pgn","IrrFlow_percent_pgn","irrigationFlow_stdev","IrrFlow_mm_pgn_stdev","IrrFlow_percent_pgn_stdev"
"Ganges",264.882580548908,3.03662430857137,1.14050022630487,10.7128669775506,0.753053685227724,0.256152494734746
"Mekong",38.7509047194472,0.00165646601500384,0.00426639799914032,0.720145883060284,0.000424573261461218,0.00105552060322343
"Irawaddy",14.8963923051213,0.000235440306847179,0.00158145088602188,0.365445554816228,4.74554902799176e-05,0.000318786598985601
"Luni_ext",32.4139080190308,0.154165130143776,0.473995360542695,1.43326345411719,0.0357840323759401,0.100821070906643
"Indus",297.984339212198,4.40010614065428,1.46842029561868,17.0639213506703,0.977022854311556,0.27463463761246
"Amu_Darya",27.1826752453519,0.605088281280003,2.21196352071796,1.35492589206982,0.161602988669103,0.50924845460153
"Brahmaputra",65.6492526744914,0.107659605069821,0.163847337755478,1.2983923687415,0.017094338067402,0.0249107786292541
"Syr_Darya",16.156709634541,0.293735352110981,1.80490800172892,1.96774557798719,0.0805120299203459,0.363882688727321
"Salween",4.00522886337558,0.00895700496382663,0.223566588610983,0.0740127439300772,0.00103127921590142,0.0247754172116392
"Tarim",22.7324493421766,0.384301028155135,1.68069557312623,1.36740876639522,0.086359365139707,0.304259555579375
"Ili",20.1701632812899,0.37315054800565,1.85241357560125,0.99737728440717,0.0955023146850865,0.470827937427718
"Inner_Tibetan_Plateau",0.0538925327571331,0.000177255816962793,0.326530770377781,0.00156031469574981,0.000136336934457003,0.245979631825237
"Yangtze",256.478398440934,0.0954245959324303,0.03702159829576,10.2629763574945,0.0506862723003546,0.019063689555746
"Inner_Tibetan_Plateau_extended",6.64708323679801,0.0434991844842411,0.646545198207507,0.35364490908482,0.021568651156382,0.308647201748886
"Yellow",53.8767467591788,0.00630200282580621,0.0115577676949101,5.24067002377672,0.00230880000600017,0.00372067200799883
"all_basins",1121.8807248156,9.51108234433613,0.845907218379137,26.5268096663361,1.68440890097252,0.137980426825076
