"Jan_irrigationFlow","Jan_IrrFlow_km3_pgn","Jan_IrrFlow_percent_pgn","Feb_irrigationFlow","Feb_IrrFlow_km3_pgn","Feb_IrrFlow_percent_pgn","Mar_irrigationFlow","Mar_IrrFlow_km3_pgn","Mar_IrrFlow_percent_pgn","Apr_irrigationFlow","Apr_IrrFlow_km3_pgn","Apr_IrrFlow_percent_pgn","May_irrigationFlow","May_IrrFlow_km3_pgn","May_IrrFlow_percent_pgn","Jun_irrigationFlow","Jun_IrrFlow_km3_pgn","Jun_IrrFlow_percent_pgn","Jul_irrigationFlow","Jul_IrrFlow_km3_pgn","Jul_IrrFlow_percent_pgn","Aug_irrigationFlow","Aug_IrrFlow_km3_pgn","Aug_IrrFlow_percent_pgn","Sep_irrigationFlow","Sep_IrrFlow_km3_pgn","Sep_IrrFlow_percent_pgn","Oct_irrigationFlow","Oct_IrrFlow_km3_pgn","Oct_IrrFlow_percent_pgn","Nov_irrigationFlow","Nov_IrrFlow_km3_pgn","Nov_IrrFlow_percent_pgn","Dec_irrigationFlow","Dec_IrrFlow_km3_pgn","Dec_IrrFlow_percent_pgn","Jan_irrigationFlow_stdev","Jan_IrrFlow_km3_pgn_stdev","Jan_IrrFlow_percent_pgn_stdev","Feb_irrigationFlow_stdev","Feb_IrrFlow_km3_pgn_stdev","Feb_IrrFlow_percent_pgn_stdev","Mar_irrigationFlow_stdev","Mar_IrrFlow_km3_pgn_stdev","Mar_IrrFlow_percent_pgn_stdev","Apr_irrigationFlow_stdev","Apr_IrrFlow_km3_pgn_stdev","Apr_IrrFlow_percent_pgn_stdev","May_irrigationFlow_stdev","May_IrrFlow_km3_pgn_stdev","May_IrrFlow_percent_pgn_stdev","Jun_irrigationFlow_stdev","Jun_IrrFlow_km3_pgn_stdev","Jun_IrrFlow_percent_pgn_stdev","Jul_irrigationFlow_stdev","Jul_IrrFlow_km3_pgn_stdev","Jul_IrrFlow_percent_pgn_stdev","Aug_irrigationFlow_stdev","Aug_IrrFlow_km3_pgn_stdev","Aug_IrrFlow_percent_pgn_stdev","Sep_irrigationFlow_stdev","Sep_IrrFlow_km3_pgn_stdev","Sep_IrrFlow_percent_pgn_stdev","Oct_irrigationFlow_stdev","Oct_IrrFlow_km3_pgn_stdev","Oct_IrrFlow_percent_pgn_stdev","Nov_irrigationFlow_stdev","Nov_IrrFlow_km3_pgn_stdev","Nov_IrrFlow_percent_pgn_stdev","Dec_irrigationFlow_stdev","Dec_IrrFlow_km3_pgn_stdev","Dec_IrrFlow_percent_pgn_stdev"
"Ganges",26.6193434337927,0.0780317625258279,0.284587647548424,27.5684794704131,0.0467742926711365,0.168930240821149,16.1269674902577,0.0177852185335528,0.108636657228396,21.2783855793032,0.0317210914617977,0.147313132141836,24.7742455284452,0.165536594908079,0.670497060485461,29.5288881754488,1.52802551372028,5.13970533517915,10.678473236905,0.262303381473504,2.34227718918341,18.1642602643341,0.329153839460644,1.72817582042422,28.8651103100548,0.324633039138901,1.0708624716433,19.6409928759427,0.118428957745038,0.604590690696804,24.2899498602934,0.08466491664897,0.33739522638533,NA,NA,NA,2.37605254069058,0.0843192674771393,0.290677215024658,3.74690657040335,0.0481477839626424,0.168823365586668,2.09549505683211,0.0192598330616548,0.110278281832295,1.69597489528926,0.0237066196416841,0.10657255664678,1.57735538858468,0.0727837354615635,0.306682280993062,2.27741841045589,0.499708567850709,1.49712808268082,2.75110628227668,0.173500711185036,0.819018148439993,2.1388513802933,0.224783831190109,0.903128296624599,3.98643388971691,0.212096529919061,0.554505573217938,2.04269053123302,0.0531413613516065,0.264068839971902,4.20909653850249,0.0577788529455971,0.203876344757339,NA,NA,NA
"Mekong",5.1275172673466,2.08395304889175e-05,0.000407376884040461,3.74059089961869,6.34452988391988e-06,0.00016889537328592,1.65253167504008,3.24620285527923e-06,0.000195343254048794,0.749250773503928,2.19378397588519e-06,0.000294937294459279,2.24031156607335,1.59956336409175e-05,0.000604689317681763,2.84064513814572,0.000216680630412691,0.00766083383989462,3.395069183196,0.000258125741691869,0.00761936429261877,3.14045493623963,0.000356079820260655,0.011355098173147,2.66850870349698,0.000255264936442422,0.00956275925055008,2.01229591801113,0.000220493718366457,0.0108614164317726,4.7716423491671,0.000175483564079134,0.00367680133666623,NA,NA,NA,0.205304006794477,1.48078579088231e-05,0.000288071151838785,0.195383023738258,3.45419398632595e-06,8.98314007377735e-05,0.215408773196857,1.71318607394124e-06,9.4874482912636e-05,0.15136963216438,3.32182702907857e-06,0.00048262877536051,0.457394081120145,3.62848515073586e-05,0.00115070311762267,0.223671723522166,0.000161643670333516,0.00581669835695291,0.16669798606815,8.10243104050717e-05,0.00239338077565141,0.129631497269937,8.2035745111353e-05,0.00264163806112314,0.0701511652077313,6.09323962350173e-05,0.00226568200115208,0.195537977537181,7.56603433062602e-05,0.00321163185838807,0.201082366566659,0.000102010592090942,0.00213267798031252,NA,NA,NA
"Irawaddy",2.42131860648309,1.39294682281494e-07,5.81142846283792e-06,2.2544037559244,1.96228603343722e-07,8.79345631521458e-06,0.944759893856226,8.82267462525026e-08,9.36724958707618e-06,0.129243974991449,1.23288457128107e-06,0.000810156873510088,0.0780651513451968,6.16020916975852e-06,0.00631065712958401,0.301941992276561,1.75110827525217e-06,0.000559519733736928,1.14676151834686,6.7601392397883e-05,0.00589117266970792,1.4681071541556,7.21014280047526e-05,0.00490686765726392,1.37771625660866,6.31080812223997e-05,0.00456748457912185,0.548029980719526,1.539611663623e-05,0.00275533839798392,2.00894306839715,7.42117884307525e-06,0.000369701875406903,NA,NA,NA,0.133449343572678,3.79231944876791e-08,1.77768539729299e-06,0.136846468373077,1.71191826268818e-07,7.56896121384354e-06,0.0511218627284861,1.45559327709286e-07,1.54829259858692e-05,0.0352503180857164,5.32463395852805e-06,0.00330903282079732,0.0591934234982046,7.73065617260453e-06,0.00499530029483021,0.0185626699387845,2.39626523240384e-06,0.000735959278912059,0.0440479363858282,1.33224000258041e-05,0.00111969163113892,0.0462962061464893,1.31067330671069e-05,0.000841190774547301,0.06835401656359,1.40054348114932e-05,0.000919599169524598,0.0671529526026978,6.64616061820143e-06,0.000954101057030591,0.0704825057885441,1.05400545691929e-05,0.000525915220358884,NA,NA,NA
"Luni_ext",1.50030302470212,0.00503093085250242,0.33577347432671,3.04564611432845,0.00760683682226452,0.249654092569543,3.09899030675877,0.00625903582151387,0.200632883479395,4.56672348335412,0.00829031096453025,0.180420912400153,4.33043524245786,0.00452541107681984,0.103888249525799,2.16028807177548,0.00675491257285313,0.312514917601444,1.47393754084133,0.0146729776626568,0.962525019016947,2.37579068139089,0.0273958261747901,1.12286090999452,2.96453460358132,0.0308201142267212,1.01482732711524,2.95283725634752,0.0224062423996022,0.748980214241443,1.69721708721697,0.0132671245005097,0.779224945300694,NA,NA,NA,0.365600673156772,0.0026914105019958,0.145633954283677,0.392713431589204,0.00353672667794054,0.109956528687962,0.396318095083855,0.00310721152629087,0.0899520005195208,0.381147577442771,0.00437565264046987,0.0927348329739447,0.386078431115549,0.00218829294959603,0.0474216217541004,0.106012885990448,0.00409746532804954,0.186981228480752,0.35494675991412,0.00770319287204911,0.336471260452208,0.370764246939,0.0120460462844954,0.358942177122894,0.4829163151045,0.0125116626796656,0.281141621877794,0.531556077306789,0.00899629748148524,0.226144918167449,0.14478051803489,0.00367090695780463,0.191601840163762,NA,NA,NA
"Indus",14.9149730079393,0.136112062910828,0.909868987917384,18.8940187385854,0.13210525810371,0.69685789351953,19.0544966446405,0.0743024744455914,0.382669024499955,28.9163586033431,0.0892619655718867,0.30243664006707,16.6083141661342,0.0685725554338906,0.402625731205401,39.0703432122232,0.492032124365677,1.26580931505989,29.9914788582877,0.598393773198246,1.98659241285179,42.7531572326813,1.04378053393311,2.40094987267265,41.4624006360856,1.02989668324837,2.46795750800997,16.2690255627003,0.344744744351988,2.11264519810526,26.2905310187254,0.324920958035022,1.23676530351693,NA,NA,NA,3.61648721589763,0.0523714518157647,0.247499732064462,3.24825205543506,0.0552842483632433,0.26173042740471,4.4621193182424,0.0442783628793458,0.182756202745905,4.86257281254675,0.0603404469514176,0.188245923075168,2.15916216252496,0.0367036636105692,0.194770565828437,3.45915793056989,0.190172944891065,0.478268067056523,6.44999509735751,0.226327750120657,0.621286969972952,5.23552357301562,0.350173036259662,0.593309422911827,5.14913280014026,0.240979175172477,0.416903455441433,1.525098266049,0.0753929562221663,0.377977880272454,1.0083193944263,0.0650223046413402,0.250614850047982,NA,NA,NA
"Amu_Darya",0.0971787385627287,0.00117338075328239,1.15628952034269,0.119545194317203,0.0010130856986874,0.802238130316201,0.175764603946962,0.00057680247298225,0.236116959788432,0.753447557725203,0.00163941306795688,0.180721128645443,3.26661920637423,0.0158223096638787,0.446695615861613,2.72602553447829,0.0363853936843096,1.3224641127739,6.09133133276926,0.143114893247398,2.36915545066944,6.73098636658187,0.220417402435753,3.27878470130453,4.13127788627252,0.119372072711987,2.87382841944041,1.90777514462225,0.0425958387955084,2.23396738232933,0.3435088958641,0.00386829282254703,1.04259719802082,NA,NA,NA,0.0458900641443942,0.000768423933557804,0.327440140868427,0.0631408518734883,0.000828396997984514,0.429612866324047,0.196348161816897,0.000938799017420498,0.181282038421749,0.320717684876782,0.00191292460309978,0.120354408147122,0.583549822939725,0.0137667793504804,0.300617529904086,0.245279029996229,0.0145666909082802,0.483344693180088,0.41332379933305,0.0416287441137658,0.763185921615604,0.287340907981242,0.0534463553711914,0.811557072215648,0.292130072316693,0.0325863325786097,0.688552370620386,0.235832516449117,0.0109140217273709,0.538651703006604,0.177734811221347,0.00295395207682681,0.459820346298908,NA,NA,NA
"Brahmaputra",5.66825789783678,0.000551629662354195,0.00974630265428253,6.79100588787801,0.00119640935302771,0.0174241137946245,6.93039474153215,0.00362575552026537,0.0514280038087242,2.69487037176162,0.00244154688640437,0.0872797092139119,4.13030870334108,0.0126001218988969,0.29022073970159,4.59193923195455,0.0202130917078456,0.443142135600306,6.09936408459701,0.0274872958551631,0.453305121297311,6.52724141229877,0.0216548697630284,0.333070413808118,6.36065316130189,0.0127634619323372,0.200726844132031,6.58254780726824,0.00355482701799168,0.0544445568878791,3.54759983200129,0.000667916058379238,0.0193507619954936,NA,NA,NA,0.309868200513196,0.000207069794692628,0.00365888680295191,0.428771606458453,0.000624115407620468,0.00845592637616267,0.490333631324761,0.0017748487433755,0.0227518267601979,0.418472237829007,0.00159210935925784,0.0524375974734616,0.747066670486916,0.0084133803766863,0.150639013976964,0.278637963482732,0.00359692721574764,0.0925151819194477,0.322457413906219,0.003360688106122,0.0715653861543564,0.325949893276723,0.0023683159333829,0.0436502393885584,0.335083609667965,0.00176765337842557,0.0267727786587504,0.45579126268461,0.000914414998170025,0.0158541927820724,0.321675677700204,0.000423758141039756,0.0133737091108268,NA,NA,NA
"Syr_Darya",0.0646263400271319,0.000278365734668546,0.378856054620318,0.0311549781724354,0.00016296904003119,0.443994502276002,0.0163281451882814,8.56081100589504e-05,0.469312077964038,0.0957452926970423,0.00037386827738594,NA,0.948150256378675,0.00331405031589858,0.28876301741598,1.3180922581659,0.0114185353298637,0.822470512620835,4.18285006640796,0.0746548997862764,1.77573346923851,5.08748379494734,0.12020748865894,2.36256675518146,3.22940676174331,0.0661373944151331,2.03908012912552,1.12531298916016,0.0160873197096134,1.42834537789366,0.0350926401580485,0.000384659996648111,1.05216737304435,NA,NA,NA,0.0354228251698063,0.000295940090104943,0.202476518619312,0.0167986656795428,0.000169897714831212,0.260823584366111,0.0128054569519856,0.000116778257496969,0.417972988838301,0.103722178162151,0.000511049351549074,NA,0.535319073795118,0.00351106723673875,0.171183110725756,0.355108369750063,0.00692753613133071,0.325866125385312,0.792219098467141,0.0259707375511184,0.496316830100283,0.629351742879025,0.03249081903044,0.536978859865109,0.446921929446094,0.0182693576984674,0.441451584920916,0.313505154631603,0.00604375491738164,0.348580196996367,0.0416842377294983,0.00047837725905844,0.381993515247834,NA,NA,NA
"Salween",0.607106697804741,6.92112299191728e-06,0.00113896734126062,0.589643696190284,9.96696086409286e-06,0.00167723779963821,0.25754910191842,1.56675924706733e-05,0.00598587680344858,0.0264497218635991,5.78838929021179e-06,0.020663153179996,0.0506180319688361,4.47783133339677e-05,0.0893302243905628,0.197668971176806,0.00154037025142647,0.779749054245287,0.299556316607212,0.00241989343405035,0.808400337309167,0.401943857435678,0.00268033015489745,0.667410756406852,0.386391460467571,0.00169614629883616,0.436536229297583,0.157880179152183,0.000466091112280642,0.294677370995159,0.488731715666172,5.93922418655581e-05,0.0121749879309405,NA,NA,NA,0.0131218622324266,1.36284431286422e-06,0.00021651028364189,0.0239522966624456,5.3278980571747e-06,0.000860364905925429,0.0190799036617622,9.09557979898401e-06,0.00329312644016217,0.00888509547600382,4.43752253228095e-06,0.0152028561174657,0.00534819327435544,2.56525534716354e-05,0.051936534404756,0.00931302718889215,0.000475215094757674,0.236999696607009,0.0143537077977825,0.000307702128598434,0.0990662556860001,0.0290606029936912,0.000278440782999343,0.0563997929345556,0.0276587674349334,0.000390551620847523,0.0846012084202886,0.0113506726204032,0.000123871203097816,0.0716032983263318,0.00776480853347088,2.78125125039699e-05,0.00576154271663159,NA,NA,NA
"Tarim",0.100418511318226,9.86320805822814e-05,0.100924440644021,0.158147145892076,0.000135239388677509,0.085412987373645,0.21176556360959,0.000224626295659959,0.0900308682736327,0.0942981161923243,0.000237617521623284,0.2133904668788,3.76746498300411,0.0214666177269072,0.560656954145773,4.13129218562057,0.0532010443685289,1.27537829512731,6.07475671821082,0.16611721424459,2.7484658838663,4.80878356462193,0.105451344887381,2.1840156092904,1.60379423360242,0.0212246446871753,1.31118421461251,0.566950427516392,0.00137339175950775,0.232562160295345,0.0842358989741931,0.000101497210770852,0.121495200115993,NA,NA,NA,0.0282771597761512,4.51078330051968e-05,0.0448036258100026,0.0566755639394947,7.66023222670427e-05,0.0332226544970424,0.104054974133683,0.000226389962301584,0.0536281924906948,0.0463002182264054,0.000270367360677346,0.168412011847042,0.292148978716506,0.00879498097170523,0.199403070847714,0.441748679314622,0.0192942070360216,0.400490351881624,0.347477039954703,0.0346502650567529,0.59892485479487,0.400748547421364,0.0355277554177327,0.682374076906628,0.135221374961053,0.0102717392945505,0.593705581375363,0.190419027551257,0.000817684568892184,0.0974492802771154,0.045438327981797,6.69582469488149e-05,0.0511982186596542,NA,NA,NA
