Basin,Mean,Stdev
1,5.91677647303987,0.976393575627002
2,0.0029031220879152,0.00166628692439627
3,0.000157141617290332,0.000182277954258369
4,0.899857087659049,0.14971090101657
5,26.9869035277658,5.065668439749
6,2.90135451617534,0.569856512924285
7,0.185930613002043,0.0929818169390541
8,0.642055759186798,0.247378153984575
9,0.00712197343186917,0.00173980151495253
10,7.01062755119989,2.02192728878525
11,3.90584436545372,1.17357267532033
12,0.0045044083825594,0.00136628199699945
13,0.330392717538175,0.123221612136213
14,0.347304619269685,0.176222856527906
15,0.0225173503412363,0.00882668788148044
16,49.1642512261512,7.79844107881236
