Basin,Mean,Stdev
1,3.78647787540448,1.46516278609032
2,0.00116076820222217,0.000455185811401135
3,2.39856078323434e-05,7.13168209941781e-06
4,0.757226594437343,0.241216454948447
5,25.6853325116636,9.27117792008702
6,3.82462450842439,0.815748028031796
7,0.122625150841565,0.133042159602065
8,0.310113372054238,0.139512908846473
9,0.00259560806087444,0.0010303988826494
10,7.13892425191745,1.27533796578614
11,1.90304048738957,0.594113719875312
12,0.00515281250246382,0.00296807252717995
13,0.114406326269014,0.0769260035935875
14,0.174067665981402,0.0786708193199293
15,0.00266309371348532,0.00160989638244997
16,43.8284350124699,10.5225104374469
