Basin,Mean,Stdev
1,7.95771189884608,3.02493270017895
2,0.00189955101678988,0.00112407263721817
3,0.000100863916139524,4.24498641678922e-05
4,0.994667860289982,0.279332703375547
5,30.2549191244159,9.399141007957
6,3.43662962925436,1.31060431024058
7,0.284687485077161,0.187920841946669
8,0.959193387371661,0.39791371508902
9,0.00699354949718147,0.00253806942444291
10,6.55653681090088,2.07617700766773
11,3.56748106479969,0.877720080509751
12,0.00502334471557452,0.00287829925237082
13,0.252657229904396,0.0832261869053193
14,0.387597425902057,0.180240804955832
15,0.0224294159016543,0.00831140815497885
16,54.6885286418095,12.6068609650026
