Basin,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Jan_stdev,Feb_stdev,Mar_stdev,Apr_stdev,May_stdev,Jun_stdev,Jul_stdev,Aug_stdev,Sep_stdev,Oct_stdev,Nov_stdev,Dec_stdev
Ganges,0.0754634316333597,0.0495152251286386,0.027268041275405,0.0789934514444377,0.328494438472607,1.08436470160883,0.219591247810428,0.201135859590455,0.284924463726729,0.101905789608906,0.0670392004245701,0.0461187430877829,0.0296609673147979,0.0198074459204043,0.00944873269351377,0.0976039169975143,0.188439714459433,0.514538313819034,0.160949010331324,0.259639986721711,0.287831718023439,0.0922728792469607,0.0390878455196099,0.0191981852535497
Mekong,1.30892615929954e-05,2.59770150108475e-06,6.1273674938044e-07,9.26077478321343e-07,3.51897076624481e-06,7.65147122051301e-05,0.000126657530895775,0.000115284096696151,9.5037586114898e-05,0.000104215369565507,9.7297137565872e-05,4.80160875428417e-05,1.00309434030379e-05,1.79676422841396e-06,5.27443144290224e-07,7.54645529154449e-07,2.1609305972005e-06,0.000100245325511772,9.74644630031335e-05,5.80267336605862e-05,4.17023454970854e-05,3.58343580525462e-05,3.2193530587983e-05,2.21899028310353e-05
Irawaddy,1.21691444583122e-07,4.03346446709036e-07,1.76872738317294e-07,5.5537260705433e-07,1.48205610068368e-06,4.1700638379643e-05,1.53979998797135e-05,1.00779038312111e-05,9.79010885738216e-06,2.51611558400245e-06,2.14623336866133e-06,2.25179832762502e-07,4.57261716533947e-07,9.75837823958716e-07,3.72783073932181e-07,6.10652653965086e-07,2.74014683659582e-06,0.000226259786863399,4.01906743968192e-05,2.94585642791069e-06,2.78980632688946e-06,8.86388704735005e-07,1.42037146253432e-06,4.20903293957518e-07
Luni_ext,0.0137652964212255,0.0130746907580368,0.0137813585463891,0.0116587813414438,0.00677972784919303,0.0148140235744206,0.0607295231646718,0.112811749120965,0.13776069180922,0.0610828085430513,0.0355820599551344,0.0132178272830236,0.00638529221714782,0.0045043377071776,0.00540014979586218,0.00511969403388774,0.00367634529170619,0.0223313908366306,0.064129188491539,0.053169069200928,0.0461097175497087,0.0269385105184489,0.0115562648390182,0.00683976659771661
Indus,0.318479595423931,0.266368604855933,0.195574574697423,0.130543561996175,0.136504933999651,1.25736801145666,2.65352667727079,4.71392131850995,4.57571356970064,1.61084072590123,0.778080331368195,0.10712290752517,0.139727595012813,0.120303516084095,0.109935627614824,0.133777796839389,0.225437070290059,1.47004714877002,2.09940806342964,1.56418560820397,1.6931602457613,0.527711929642085,0.24908693384389,0.0449578995377813
Amu_Darya,0.00661048949187454,0.00663574959688436,0.00341644960296699,0.00664514747728335,0.0316115553889615,0.0778254724400041,0.410770101497177,0.898018695414141,0.619303698206654,0.225622821243067,0.0273208496055704,0.00188314084056129,0.00540182689749919,0.00914774083639874,0.00663641662561651,0.00498011681079649,0.023347969715973,0.047095375686248,0.210551414117269,0.362329455787091,0.248952264126164,0.099038252530131,0.0187583918498946,0.00225829401776365
Brahmaputra,0.00116752257084907,0.00118695430789445,0.00171516216885939,0.00159210102445741,0.00948198898196836,0.0146475984711583,0.0254661187852494,0.0169991216209071,0.0112581716876874,0.00447788568136295,0.00116234530840245,0.0014801082589369,0.00104979030947933,0.000858096271152444,0.000996881007495262,0.000803641905651356,0.00756943193538165,0.0224046088874633,0.0254540735408543,0.0119666237198681,0.00718422982791085,0.00355869317877085,0.00126055306146484,0.00154352780760644
Syr_Darya,0.000420358119210979,0.000390681632201482,0.000309520844903921,0.000358933908281929,0.00283516600150748,0.009984476683259,0.0729416125386954,0.140953572382722,0.0999005476267245,0.0331791735421311,0.00173308057651447,0.00017488552782621,0.000531783432051903,0.00127752831380497,0.000678158684257573,0.000626203708729566,0.00229414970631322,0.00654483621527117,0.0360157495451996,0.0614282337924257,0.0524074836795337,0.0188914394173043,0.0027451312222152,0.000283705265284027
Salween,5.03411488877991e-06,9.91629237795219e-06,1.00141829825132e-05,3.0305166292133e-06,3.46488046194648e-05,0.000413162500414426,0.000711152228120258,0.000801633352421906,0.00046108228945355,0.000110508644625842,1.55615455755761e-05,7.24170603661547e-06,2.29160919742731e-06,7.19658604214313e-06,5.5307252520729e-06,2.89939758692312e-06,2.47792857197627e-05,0.000245771999170695,0.000221330766078361,0.000237428926707328,0.00019264489182943,4.96895038296472e-05,1.09363079598683e-05,2.83579807526838e-06
Tarim,0.00305621242772628,0.00368705210532281,0.00354519970817892,0.000885063453528907,0.119230624901531,0.50890274290038,2.27626192820227,2.03358995153261,0.502532584889416,0.0340779985121328,0.00244305496434841,0.00426197782584101,0.0014738755204946,0.00253596048743996,0.00321627374348855,0.000852022186278247,0.124331583063538,0.387146473253422,0.884111804739388,0.708273769480513,0.199096910434599,0.0212030832946921,0.00172368650642548,0.00270935409211212
