Basin,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Jan_stdev,Feb_stdev,Mar_stdev,Apr_stdev,May_stdev,Jun_stdev,Jul_stdev,Aug_stdev,Sep_stdev,Oct_stdev,Nov_stdev,Dec_stdev
Ganges,0.330529245000548,0.232708887137173,0.145387866310396,0.256565491395451,0.520500586360168,1.73332923361397,0.487598799222529,0.5680219359848,0.964567260408232,0.418417053608797,0.263364397808397,0.212699260157902,0.159446787700084,0.0929138117197382,0.0531885465814885,0.094498828934193,0.176309248978975,0.620752335324399,0.328596492504081,0.365170328233902,0.576890677979207,0.240057539929941,0.12545363708426,0.0909734531055866
Mekong,4.75634634558743e-05,9.97112404716798e-06,3.08649518005384e-06,3.38564029052111e-06,1.77380414835835e-05,0.000164590015271964,0.000264598360835285,0.00033207384785497,0.000228717582104171,0.000264079601985466,0.000242758697352863,0.000113855292803538,3.20198891035349e-05,7.21720909121931e-06,2.034814724679e-06,3.07703574862498e-06,8.61887720851249e-06,0.000128732202627092,0.000229242121873454,0.000299206865578146,0.000162110500570347,0.000191762535566259,0.000168768425130697,7.58109884085432e-05
Irawaddy,1.08822534410903e-07,5.30296626856522e-07,7.4839891036761e-07,2.66824453764732e-06,6.47302443415929e-06,2.06566672377932e-06,2.70907711612652e-05,3.42728358312016e-05,3.35312673694085e-05,7.74644985098466e-06,3.32088251302253e-06,3.00917992887377e-07,7.34827977391083e-08,1.07285983573776e-06,1.41520419704272e-06,2.91428145766721e-06,5.44198159477843e-06,3.38578023163408e-06,2.71692646106331e-05,3.32227313349203e-05,3.2108468014431e-05,7.46802515731109e-06,4.05503807575708e-06,2.83486601646499e-07
Luni_ext,0.0341799778420777,0.036330820876368,0.0362741888722112,0.0365775733117339,0.0207309526506494,0.030919777350706,0.0866250912713568,0.150435758946438,0.204818532328327,0.103022757976624,0.0637978306290789,0.0310038639491396,0.0153083083583088,0.0121966439530954,0.0129051488653725,0.0118816397642305,0.00609938108541809,0.0188458507137476,0.0462290461333222,0.0816942536324479,0.089054650258809,0.0488336857679203,0.0266466044883177,0.0143981325349329
Indus,0.635313248570331,0.602197922031601,0.452154181342269,0.372837910986643,0.432642602593711,2.59637377684927,4.60715712670067,7.37676680677378,8.06870492912426,2.83254984268758,1.45424734341848,0.37510448909899,0.235296252521382,0.219515871045906,0.176394361402892,0.203168039299248,0.345049669971033,1.38605004126672,2.47343606903167,3.06857386757224,3.43970643259359,0.989005080300325,0.504788874675255,0.193660340080765
Amu_Darya,0.013591671307204,0.0168595392042768,0.0134519079441969,0.0187268901075944,0.0651360519533649,0.125454556018574,0.582063144209483,1.12422752368008,0.830523970406424,0.312239534664334,0.0358601997781604,0.00415437000473571,0.0120646191742591,0.0141511576808297,0.0127886409378814,0.0131731344787727,0.0329302420360173,0.0550204772352187,0.234904870550249,0.367583001921751,0.291717307283213,0.115747229081732,0.02467267781406,0.00483798399673053
Brahmaputra,0.00523634659437618,0.0100887568986305,0.0232642649061751,0.0174233988569262,0.0357758213242809,0.0348735167241309,0.0449904027382947,0.0232890112975732,0.011796265267062,0.0110151148518363,0.00382445990676589,0.00430574627874704,0.005078425068765,0.0153189702939089,0.0284862234276484,0.0142024585238008,0.0229485563286419,0.0225253202579287,0.0283912520596739,0.0132521844313952,0.0065530054095476,0.00868222912881461,0.00335636176517744,0.00244359372169262
Syr_Darya,0.00159486907290865,0.00164592681983765,0.00175029503783145,0.00239109070799743,0.00797518830999213,0.0217158744246293,0.124136700412253,0.24888785551774,0.181234556298586,0.0587429858381347,0.00240466456949681,0.000329052923644078,0.00250919202574395,0.00201938899111418,0.00227357919567175,0.00257835249731125,0.00710423519843001,0.0184205173911579,0.0868628805964715,0.153355395099083,0.115673721489599,0.0422443112158027,0.0034756164015768,0.000472417665958562
Salween,1.04882832190916e-05,1.47910948942072e-05,1.30728205934346e-05,4.2631390144372e-06,0.00016396338590948,0.000961639381583648,0.0012434481592068,0.00149590751380953,0.000983698898903416,0.000260205226278143,3.52487213070251e-05,1.3873789975411e-05,5.79152681482197e-06,8.69263383547307e-06,7.52958672495083e-06,2.7546390981346e-06,9.87946267277035e-05,0.000568305157709073,0.000864632590217486,0.00117127331659483,0.000826363792486201,0.000230403858064169,3.42011208949685e-05,7.41751172265228e-06
Tarim,0.0037458110644373,0.00471309995602742,0.00523134414981874,0.00181863488352139,0.204174029941675,0.773415890758764,2.6373362731373,2.52415122425021,0.60356874633016,0.047997589303642,0.00305217621720461,0.00470570310097604,0.00242487897925129,0.00312477167717395,0.00418117876234274,0.00245590246428932,0.169129795258745,0.517121707649947,1.07474825792421,0.868830105059289,0.22609519841454,0.0296202346497876,0.00247481991408065,0.00330384989343393
Ili,0.00149935483036708,0.00147234171484058,0.00123316468597176,0.0002851427678576,0.0328013745644936,0.348203640453544,1.28447915460971,1.21886517788765,0.235517938663813,0.0123275573228733,0.000753506350121934,0.000616171439145407,0.00145077748644513,0.00128122645650481,0.00110542386977462,0.000413982076776758,0.0316612894779764,0.209774287964078,0.710426619133775,0.672767995371254,0.134520221797644,0.00858326064603108,0.000718750134205972,0.000632698115029011
Inner_Tibetan_Plateau,5.68012786526706e-08,1.80353417463981e-08,1.28166476418965e-07,1.32328032975693e-08,1.21513915053065e-05,0.000185232233255437,0.00111759287819616,0.00104718183894215,0.000478390089265941,3.30310627838962e-05,1.89190984281139e-07,3.12147194635861e-07,2.50516930534986e-07,8.10769779907136e-08,4.45145541978958e-07,5.24887847517389e-08,1.87969663581162e-05,0.000210492777623097,0.000468742853142782,0.00044643944144598,0.000233157087603067,2.97658282593758e-05,6.67786590881774e-07,9.99980541133731e-07
Yangtze,0.0175724378998518,0.00882314415645329,0.00303436977501333,0.000119416482269707,0.00303874738607475,0.00706771252786672,0.0266452404880334,0.0309290060334078,0.0421526657843508,0.0203496062762305,0.0439380616630712,0.0268610818343646,0.0144349811740133,0.00742898068880017,0.00258867803079814,0.000206331644927919,0.00200095367812777,0.00645876967669145,0.0202868204555235,0.028295925913533,0.03840794576176,0.0176008194027759,0.0365431534996312,0.0220123139361261
Inner_Tibetan_Plateau_extended,0.00029328270567124,0.000291644306335146,0.000230282697873599,3.59744180608712e-05,0.00186184589123336,0.0284151506097282,0.0861478272993458,0.111799608082301,0.0213344079045176,0.0022184757991284,0.000104965602072645,0.000261132248683169,0.000215058983574036,0.000219149804561593,0.000162454569376396,3.98552123319342e-05,0.00160194674950305,0.020079148452053,0.058156360766016,0.0740144484382025,0.0143861556962746,0.0019050325776659,0.000101388519961166,0.000220553219166462
Yellow,0.000237204187895672,0.000439204451850163,0.00052090952040952,0.000164304519108637,0.001624028857987,0.00203626762806232,0.00351899936558403,0.00502142553958143,0.00132313009804699,0.00145117446569073,8.96683577860193e-05,0.000136438872861319,0.000277583640753049,0.000467997137598433,0.000560656633967793,0.000231601634306308,0.00167493717798123,0.00174619599160991,0.00246867785339049,0.00378181057067693,0.00111707008252347,0.00141226872462195,0.000129182030888787,0.000168017715832542
all_basins,1.04385166644616,0.915596598104304,0.682549811123327,0.70695615869381,1.32646155567696,5.70311892425608,9.97335148962396,13.38530477003,11.1672667404514,3.82089675513578,1.87171879179279,0.660305652057156,0.355366566162707,0.288023413810895,0.234871156138461,0.290343498823006,0.640058140380439,1.8668863346185,3.27558026816516,4.07243296279464,4.0982030191459,1.22022458739355,0.600576180402962,0.23653267872532
