Basin,Mean,Stdev
1,6.80201359851272,2.60027337021859
2,0.00140312119157747,0.000722318402803025
3,0.000134787121933282,5.31916009242923e-05
4,0.171698500514127,0.0905571189643571
5,0.814687384529527,0.206663625981552
6,4.05660941345597,1.89364706546502
7,0.136647485554918,0.0652020160685018
8,0.511927960817414,0.312487349842038
9,0.00391312608427775,0.00186216241088487
10,5.50166970726627,1.4844095768974
11,3.92208224866239,0.988321695181012
12,0.00387896727498246,0.00139667331015435
13,0.245724118307791,0.0914491448663935
14,0.252799904467772,0.066433543968872
15,0.0116288759497541,0.00573551448313655
16,22.4368191997114,5.48525853687516
