Basin,Mean,Stdev
1,3.49128448599618,1.38409186757478
2,0.00072286028218091,0.000112919410161513
3,7.06077876266343e-05,1.81956544484391e-05
4,0.513512164102705,0.130214884663108
5,16.0507051725528,4.46979542796584
6,1.54380498566728,0.518625112327992
7,0.0929507571918483,0.0519314263188283
8,0.379702806994594,0.126758912281078
9,0.0026645154953635,0.000614433009532148
10,3.11469119732323,1.01120336916566
11,1.62964523775014,0.504690451715485
12,0.00189417063585239,0.000503077043838056
13,0.0806281815618029,0.0327243899655916
14,0.12707167147719,0.0485864610932812
15,0.00798242556078566,0.00289497344469364
16,27.0680373081008,6.76727480019469
