Basin,Mean,Stdev
1,2.56481459381215,1.05825545491842
2,0.000683767268674202,0.00030820613206967
3,8.45935190707234e-05,0.000273254231686446
4,0.495058538366776,0.185823935070692
5,16.7440448127057,6.39271089598535
6,2.31566417080514,0.986348970358403
7,0.0906350788677331,0.0631796446112375
8,0.363182009383979,0.171582122453895
9,0.0025829861781461,0.000796942196032254
10,5.49247439142329,2.08533054060955
11,2.01662013879017,0.796943903952314
12,0.00286027152967511,0.00157439198089854
13,0.0744038586029394,0.0329280562021916
14,0.160823740382795,0.124039169231015
15,0.00581793597240344,0.0029578452606021
16,30.3297508876087,9.70726424499675
