Basin,Mean,Stdev
1,6.64187141225962,2.51929589775679
2,0.00178040460590593,0.000423927321128644
3,0.000121718979823919,3.60631514404991e-05
4,0.89913727356499,0.27255620223463
5,27.1579772487451,9.38612576609532
6,3.04310239900643,0.962247870016989
7,0.158550108463122,0.0835390047259117
8,0.575208401322257,0.175410358109078
9,0.00638949899073408,0.00190063927670867
10,4.46928854600111,1.32788966415248
11,3.27779082576717,0.754959469432465
12,0.00405072553363111,0.00225379090404553
13,0.214293715724448,0.0779333554138143
14,0.293415432363638,0.136004570225038
15,0.0172141465524175,0.00605078442803513
16,46.7601918578804,11.5637491372308
