Basin,Mean,Stdev
1,4.8144042747226,1.52334239565896
2,0.00152631414313829,0.000579504676716267
3,6.83149119226215e-05,2.28087879941676e-05
4,0.923471052331127,0.230786602750259
5,29.6894569345273,7.20042450323895
6,3.75206345641695,0.957384378181218
7,0.112496733997965,0.0304382087113324
8,0.744857177924959,0.212137974090482
9,0.00539659084713808,0.00192997423104071
10,6.14323845783293,1.41901457006608
11,3.60853404717355,0.749993843736578
12,0.00417528132307528,0.00158341861897219
13,0.191728251191458,0.0660253390541503
14,0.355449957815841,0.103688792397849
15,0.0175522644456404,0.00633928443559649
16,50.3644191096056,10.2626074465107
