Basin,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Jan_stdev,Feb_stdev,Mar_stdev,Apr_stdev,May_stdev,Jun_stdev,Jul_stdev,Aug_stdev,Sep_stdev,Oct_stdev,Nov_stdev,Dec_stdev
Ganges,0.138872407557301,0.078734288012262,0.0413298663477999,0.061426389470884,0.152668744164382,0.750468307679486,0.190885082365507,0.231098733147672,0.384801804599515,0.202968454551099,0.137720521378729,0.0973132962590232,0.0508340367144643,0.0335280341359763,0.0172234501442443,0.0181772645771973,0.0383320092871588,0.153766878405816,0.0750627573510831,0.135667080390166,0.233712855730913,0.0966567377204979,0.0422701423691882,0.023310702100646
Mekong,2.12746289819271e-05,4.61121519988753e-06,1.11638727066798e-06,5.40241035755975e-07,1.76886513668416e-06,9.10082665568254e-05,0.000177508737474352,0.000239824176961056,0.000185766944191588,0.000193699565052585,0.000168795169510662,6.89074433518479e-05,1.58431162233228e-05,2.9210126103207e-06,7.96182060550154e-07,4.05676030846318e-07,1.47101956163212e-06,0.000104036436119541,0.000184779826378273,0.000191222593426184,0.000185717415557244,6.11366962232394e-05,6.03208046616542e-05,4.29813112675616e-05
Irawaddy,5.06959544068967e-08,1.35658881740614e-07,6.30046505588305e-08,4.60860952517156e-07,1.34045773130195e-06,2.14224106591412e-06,1.97592493403774e-05,2.03817474031359e-05,1.82369524108974e-05,4.39336174283803e-06,5.89204871022271e-06,4.25961557323521e-07,2.89214662979971e-08,1.6871477023849e-07,4.97931943351919e-08,7.75575625874934e-07,1.08376957680156e-06,8.1244624574112e-06,5.64913653226906e-06,3.16502456198086e-06,3.19964043359506e-06,9.78815233948832e-07,3.26485094074384e-06,2.23282772704513e-07
Luni_ext,0.017645041363978,0.0178845578139091,0.0171277728860123,0.0162108663997731,0.00886384660330727,0.00846792498520025,0.0256704108173748,0.0732238906424391,0.115745291726489,0.0649423706097755,0.0383996050379135,0.0147425367228449,0.00576801418132198,0.00492007969646454,0.00541169218825224,0.00469440259230836,0.00249024993616229,0.00344343012581192,0.00921087390586273,0.0263553992644006,0.0373889336648283,0.024125445381863,0.00902343406110885,0.00502030283753405
Indus,0.402009264567957,0.304294458161956,0.213067577096714,0.141529139507197,0.079289090925243,0.596359608421192,1.37268345472159,3.34163172654178,4.51216859150795,1.60615905517348,0.817926176096876,0.144304580831064,0.115581108688615,0.0979222176968668,0.0884180600225094,0.0415493534731817,0.0274004340241264,0.236758339675607,0.517754201868685,1.14702686271399,1.29944664558608,0.423272813057179,0.190651050264169,0.0486326421329695
Amu_Darya,0.00273237335800806,0.00237158062705438,0.00164012985166475,0.00499945709817269,0.0298659526215938,0.0543855663352022,0.299832210073475,0.629024247796167,0.438180504204273,0.152919741937456,0.0130839292632333,0.000442315939431363,0.00141027414525305,0.00230342475685034,0.00213229683994071,0.00312453831162028,0.0127187995478905,0.0238893557863163,0.124943905644426,0.218116729361414,0.143433210764872,0.0553461159209832,0.00875333814431532,0.00050524993380465
Brahmaputra,0.000785870551803097,0.000982231760378923,0.00158810472443992,0.00104858964794258,0.00381576759905168,0.0121715230620435,0.0159245499207349,0.0142584476902814,0.00959295339921794,0.00403889144144625,0.00103560694042743,0.00100418075873997,0.00046780255753261,0.000488870502517046,0.00128131477909316,0.000424908516441987,0.0022660165409005,0.00751512432144952,0.00786659756697297,0.00441843400035951,0.00290613578342372,0.00199749579840264,0.00103156425313978,0.000772560073374909
Syr_Darya,0.000158368032589457,0.000182353553103185,0.000331470039685925,0.000940551688683764,0.00402377325522357,0.0104526383919505,0.0656036316015845,0.127230719075823,0.0806624082873467,0.0282713843857195,0.00134899384717505,8.02781925539008e-05,0.000191567391643429,0.000358602203898332,0.000491070238048,0.0011945798456698,0.00368746046076927,0.00832745584468561,0.0410250516800523,0.0637174272336711,0.0355003995202425,0.0145316905121406,0.0021355297620688,0.00012254645189661
Salween,3.20617831647457e-06,7.15968848506458e-06,6.99600199280252e-06,2.9203229605611e-06,1.01157405590243e-05,0.000456352909593398,0.000877996286888227,0.00114603937599492,0.000659152538096765,0.000163169118003551,1.54672965735231e-05,4.31285402213732e-06,9.32692430490146e-07,7.09834662101451e-06,4.75208723227404e-06,2.51251157320575e-06,9.85845977730768e-06,0.000245734818888087,0.000199410662255602,0.000260683819427017,0.000200435150604532,5.0130642437367e-05,8.74951077380343e-06,1.7422961844203e-06
Tarim,0.00168344784144185,0.00169201677686238,0.00193939170591489,0.000695780279096783,0.0620489973585228,0.204860076974194,1.01301516752892,1.06157280367972,0.280415801722588,0.0161898790469598,0.00148712047943607,0.00302861164244224,0.000699567523389456,0.000696763285875998,0.000737831685195975,0.000344966593666988,0.0269535301138841,0.0664029657699829,0.383498753950826,0.350943849391682,0.0960728436651043,0.00596238940128116,0.000624111848879275,0.00167464471599062
