Basin,Mean,Stdev
1,2.64752160491299,1.38512263898988
2,0.000351180272889405,0.000296697690567177
3,2.62369328113903e-05,2.71189004373669e-05
4,0.0617258674073825,0.0516103029058477
5,0.357779776091229,0.284584630882249
6,1.0066457907836,0.779118271876003
7,0.0660540754515547,0.0225883302900928
8,0.0799578082288824,0.053544476706139
9,0.000953040518669244,0.000561665166637192
10,4.42888840241116,1.56446139706141
11,1.2489425784856,0.672125130411818
12,0.00236245435593871,0.0012111377094233
13,0.0732482874850558,0.0581585533637397
14,0.0919806603895271,0.0525280758283136
15,0.00106753243240509,0.000848637583835508
16,10.0675052961597,4.02752015524778
