Basin,Mean,Stdev
1,5.52893715046723,2.81137417755149
2,0.00189084106228746,0.000544168623264548
3,6.17898716429466e-05,2.21667649887525e-05
4,0.756614075231301,0.247173023958583
5,25.8161294254375,9.72332427575773
6,3.89457013348809,1.06112412868879
7,0.161912175512657,0.113882250925828
8,0.675249401739084,0.17136136104329
9,0.00610329745135966,0.00198823982247233
10,5.56513206277133,1.40213416384114
11,3.08315189529273,0.5282667642117
12,0.00497596602780824,0.0024504091536969
13,0.207616188630098,0.122607114242093
14,0.288543889605236,0.095361964091819
15,0.0151738793129229,0.00703139651902676
16,46.0060621719013,11.3273596961896
