Basin,Mean,Stdev
1,3.06334693774476,1.5890889571264
2,0.000876336303944023,0.000195741683391683
3,3.86021886311968e-05,9.40680690317253e-06
4,0.438486102620657,0.105006529254439
5,14.6920925932967,4.63378378369932
6,1.95629871891046,0.641922758076365
7,0.0741484956413616,0.0320706409821501
8,0.320139196236454,0.0805845027302147
9,0.00353678604106752,0.000666894346515168
10,2.4719590298174,0.925408135739963
11,1.40834089576246,0.431295471653804
12,0.00200588225933091,0.00124534754182199
13,0.0983352305612719,0.0517493751801951
14,0.165576716782753,0.0933313069894227
15,0.0119391532883134,0.00464617595590564
16,24.7498056993121,5.86539861302846
