Basin,Mean,Stdev
1,2.46828789553366,0.628962199712051
2,0.00115482164072384,0.000551439556537437
3,7.32822404012347e-05,1.61654351938668e-05
4,0.418924115609017,0.103697758330651
5,13.531422723553,3.48870945182624
6,1.62947800910573,0.56582390806266
7,0.0662467174965076,0.0203555487064288
8,0.319286570351439,0.163675393358117
9,0.00335288831148644,0.000584038809021345
10,2.6486290950361,0.858630437359744
11,1.56844799601358,0.577538236992724
12,0.00225268442170529,0.000986700938792076
13,0.132441142721877,0.0553763426944726
14,0.126392793869643,0.0488634277663215
15,0.0107467427464198,0.00274740792213318
16,22.9608651502244,4.77023570595718
