Basin,Mean,Stdev
1,5.63599263161278,1.57783431496938
2,0.00222142179408376,0.00173407722808423
3,0.000186203711698242,0.00024857003425735
4,0.752717323268033,0.151326133794262
5,25.1599917764671,5.84575843998425
6,2.48578786209648,0.543586715936506
7,0.140821010282299,0.0699490945832655
8,0.703158706529538,0.216354627432914
9,0.00563513663703082,0.00192036006773554
10,5.40177463293559,1.45834573534583
11,3.58767122916498,0.716365198621998
12,0.00330692451266597,0.00101212993846094
13,0.202967309920288,0.111329254446253
14,0.22209642583999,0.0719334215195809
15,0.0139662899236936,0.00532671874331296
16,44.3675836117476,8.56242487351149
