Basin,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Jan_stdev,Feb_stdev,Mar_stdev,Apr_stdev,May_stdev,Jun_stdev,Jul_stdev,Aug_stdev,Sep_stdev,Oct_stdev,Nov_stdev,Dec_stdev
Ganges,0.25258918142043,0.147567387333738,0.0753041444819332,0.0941265435718384,0.209521828129867,1.43003978380948,0.41187416938909,0.330177681015176,0.711084942240699,0.334239991505351,0.206892559561285,0.171573166195316,0.0709496811840972,0.0453793063050745,0.0232249201298662,0.0255453937648626,0.0576235597116001,0.43507175129905,0.306791630570648,0.216584234680794,0.429708272816401,0.172465349294694,0.0999758089546087,0.0718382615017487
Mekong,2.90325543300083e-05,7.24394554437606e-06,2.3228914233404e-06,1.35109188260904e-06,8.67658292608208e-06,0.000113740317528798,0.000212613983070044,0.000354150522193945,0.000188492053863711,0.000292465935076035,0.00020440187552716,7.58013197471317e-05,1.53521627544458e-05,3.65585694985444e-06,1.69454005998219e-06,1.26765497272034e-06,4.56791821061856e-06,0.000132806185690256,0.000309965041951532,0.000356880209726482,8.05371348668868e-05,0.000180256940225314,0.000121653574606356,4.90370772179784e-05
Irawaddy,1.39528950268112e-07,2.30605495855686e-07,9.40988364408982e-08,1.24337786525232e-07,3.13147194901309e-06,1.60769675285549e-05,3.98800815983913e-05,3.67163290647314e-05,2.88372561545133e-05,4.97884569864089e-06,1.2218390699513e-06,1.976870201154e-07,2.41558751116063e-07,4.41925750539856e-07,1.58231705346883e-07,3.94429968801332e-07,3.32655523096552e-06,5.06678745437682e-05,5.3543363271457e-05,3.13365930796482e-05,1.42981425057038e-05,2.01807648069787e-06,8.73984070141368e-07,2.26579464121909e-07
Luni_ext,0.0226719650240104,0.0264909869751218,0.0268094483218328,0.0254945830705406,0.0127143834572902,0.0115889595178202,0.0398301504081904,0.0932953358979711,0.13392080682878,0.0796710246174182,0.0425311211715812,0.0218233096461403,0.00813141782053091,0.00866174666690648,0.00826372712445236,0.00618781830300382,0.00313541974524986,0.00629095038377974,0.0200874262604675,0.0379925618319747,0.0452314559821457,0.0302934861008777,0.0159746229930165,0.0106736989020241
Indus,0.422397360378639,0.356602609607123,0.274682854134437,0.15522038035242,0.105372367663841,1.08125463231004,2.12809459395213,4.54355530471477,4.8818899108369,1.77154383634779,0.919700430320024,0.154693898350547,0.156103861340443,0.127195967999262,0.0966819986902387,0.0437184259896872,0.0485364184160778,0.499771487489311,1.01649013716115,1.69689517659405,1.61033763092966,0.565865085013767,0.29305380419092,0.0753822339181612
Amu_Darya,0.00254742805697566,0.00224527570954597,0.00178608238371586,0.00414373218221545,0.0243696171365921,0.0563506286507452,0.284327196872859,0.554034143351572,0.38169339781213,0.127459813189303,0.0153575350020941,0.000492956551627429,0.00163898387685015,0.00178211717252442,0.00222947165829416,0.00313532794523222,0.010212882994296,0.0229101216713835,0.0810486145221529,0.167958525090737,0.0778314923176389,0.0270711429030377,0.00684378707282104,0.00047408934531178
Brahmaputra,0.00129272916819823,0.00141408466278289,0.00207738795238601,0.00148063284132291,0.00656835142490371,0.0269697062845387,0.0500021658482647,0.0184913528791456,0.00834240048601653,0.00590484119717598,0.00207636640401096,0.00151645946120393,0.000718441458134703,0.000805833684133601,0.00167292263825155,0.000996716221830095,0.00367955379960654,0.0225763259051981,0.0427127460953015,0.00940038224690251,0.00307497359889605,0.00457871896731662,0.00236658490058286,0.00112157555877032
Syr_Darya,0.000583465340855679,0.000504075111940123,0.000426650196243539,0.000856741685708904,0.00397917707705871,0.0115462070199442,0.0805065204180319,0.160346221719094,0.103934251431728,0.034946314044981,0.00206174827965759,0.000257923239020353,0.000479569618930813,0.000383968142364025,0.000416847613735621,0.000656541990390288,0.00237905423312433,0.00679577118077276,0.0284613538191835,0.0473700260631885,0.0219737196004321,0.00944246597157309,0.00182060298694529,0.000314145022683877
Salween,3.3223467061907e-06,5.27579757925496e-06,5.74003587905062e-06,2.02851750095847e-06,4.22850161615783e-05,0.00047965383141925,0.00101404334494065,0.00117618706480717,0.000571762748972938,0.00013188578395619,2.24318135826373e-05,5.42237732947863e-06,1.68407197367036e-06,3.96285395655851e-06,4.51704881107315e-06,2.45312099204374e-06,3.6997075835943e-05,0.000258130489713786,0.000367238028831352,0.000430851617880537,0.000229671716683336,6.23624404784366e-05,1.13785978308576e-05,3.42417471772836e-06
Tarim,0.00147232093233678,0.00148176413013433,0.00134279551070818,0.000673390003860025,0.0798053918834347,0.277383979740363,1.16792623718806,1.12634745675785,0.256988465433392,0.0150661945903644,0.00149811304327745,0.00202928263287196,0.000777812435960984,0.000732088799776692,0.000898418795926503,0.000571064789949462,0.049864028010882,0.194789218305931,0.503305562149862,0.361599708213079,0.0750547607813562,0.0059055895479108,0.00092453126975339,0.00119831111027054
