Basin,Mean,Stdev
1,5.02863795810951,1.79351022897445
2,0.000699842258117291,0.000312412356621586
3,3.21167779694143e-05,1.21408081427735e-05
4,1.06722002294445,0.230144564502564
5,33.7746125296449,7.37369632268891
6,2.44253161739182,0.728616886879238
7,0.13903291379614,0.0714835031380994
8,0.258194501401466,0.111073562073647
9,0.00170575230073612,0.000506365748307777
10,8.54775596949956,2.00396030853073
11,2.01390900095028,0.563197260812232
12,0.00394789156281104,0.000978674568373446
13,0.0804697217421195,0.031033917003832
14,0.113412334063761,0.0670335990935277
15,0.00256215217712142,0.00178894063837312
16,53.4747243246208,10.6069308160071
