Basin,Jan_mean,Feb_mean,Mar_mean,Apr_mean,May_mean,Jun_mean,Jul_mean,Aug_mean,Sep_mean,Oct_mean,Nov_mean,Dec_mean,Jan_stdev,Feb_stdev,Mar_stdev,Apr_stdev,May_stdev,Jun_stdev,Jul_stdev,Aug_stdev,Sep_stdev,Oct_stdev,Nov_stdev,Dec_stdev
Ganges,0.38260378604265,0.227069712612235,0.112279601880358,0.164519051644403,0.391627548226944,1.6198811031479,0.49012206409496,0.655848061511352,1.0011863169196,0.470364234357919,0.277764576891219,0.24292603524786,0.0950509846484203,0.0660747842154121,0.0324459397989326,0.0514425901084665,0.209056739862604,0.471029359764783,0.403194081324218,0.508236876084025,0.601645607956472,0.299344702031766,0.147462091300324,0.101416238682763
Mekong,8.27227524365135e-05,1.48823296443115e-05,3.17053989271451e-06,1.46469834185848e-06,6.61098256809305e-06,0.000131759078844307,0.000304316919900336,0.000376443478908267,0.000324348456742181,0.000374744256057973,0.000357095408518069,0.000241831888956372,6.75280572602736e-05,1.44297780729451e-05,4.43219771187055e-06,1.6362724198302e-06,7.17684714281192e-06,0.000115721152034206,0.000310344784383673,0.000288338214113269,0.000403600124805946,0.000206196724003312,0.000222697695496426,0.000226810879152503
Irawaddy,1.86677896942086e-07,5.00943201268637e-07,1.59238626119575e-07,7.00667026081765e-07,3.85312306415784e-06,1.11456612833077e-05,2.50507349592335e-05,2.1268282081519e-05,2.04591756506979e-05,4.83208938725172e-06,4.31013129274463e-06,3.48563162097613e-07,4.93760798953229e-07,1.34922269605097e-06,3.70070607070803e-07,1.41136673622542e-06,5.17481442615702e-06,2.97437970747928e-05,2.76519204150291e-05,1.50676000739018e-05,1.22426422045887e-05,2.44573469283691e-06,4.10635309411819e-06,2.70064101513488e-07
Luni_ext,0.0428231618899377,0.0390104986252095,0.0433937194580134,0.0417348657406506,0.0198757121812526,0.0182227764396086,0.0627287991815913,0.160882974022164,0.237341165693985,0.129874502826813,0.0712490601759737,0.036861936448971,0.0124539049000484,0.0102089742872149,0.0115227514201062,0.0124270918530057,0.00497447832043775,0.00809230743728476,0.0261500459807693,0.0454627240920526,0.0587455284073222,0.0426651590584084,0.0204041596814252,0.0167966574678219
Indus,0.808640492478596,0.610541554580578,0.456947575894109,0.271049873694007,0.212999062535533,1.71740391829008,3.48096927245192,8.5541244597246,8.84837230579373,3.15961265490369,1.6053747629343,0.320336906442062,0.2876251903863,0.214844564403365,0.1519332230535,0.089899149774729,0.105190857425094,0.739198191709411,1.29873794953112,2.34083454293776,2.22662091419986,0.856918788985783,0.410642245376301,0.13964865279008
Amu_Darya,0.0072443409239749,0.0100755364723026,0.00800980939171386,0.0123241916639935,0.0516491346472873,0.118196984266331,0.573871806727185,1.17222358356132,0.804488612285086,0.286691404419816,0.0310501055069645,0.0015243776910051,0.00590709540345342,0.00982460988623805,0.00990476924783449,0.00699978441504877,0.0192122044193318,0.0370589360633709,0.162990699048943,0.28304947239648,0.183589694247548,0.0796365274880561,0.0175240791107427,0.00176046773753163
Brahmaputra,0.0019155553324884,0.0021360220370305,0.00316802435937917,0.00249212761106553,0.0112253457138054,0.0328443460474052,0.0597214737609251,0.0246424954071211,0.0112631955138385,0.00930566749799747,0.00381985598847413,0.00247116391482576,0.00136230502891046,0.00202403235084796,0.0033841477176859,0.00119543515369152,0.00744096416638859,0.0285204685491056,0.0517835218219704,0.0175952996941528,0.00622031718126845,0.00805628718197905,0.00446230434437789,0.00222526044526595
Syr_Darya,0.00100001080389614,0.00127228172410394,0.00231407285601,0.00297675998897299,0.00958716038160179,0.0254781859221793,0.170150774234552,0.350381803901414,0.242028958212458,0.0851004306124748,0.0032585978885339,0.000332543360445816,0.00107819493150016,0.0010761578043124,0.00255727708937936,0.00239869948139199,0.00593688451895623,0.0124546097804951,0.0569824167209674,0.0973749776992061,0.0688693424125229,0.0282061375145632,0.00277180966403508,0.000391762994151452
Salween,5.32886038204073e-06,1.02457622212844e-05,1.01903009947615e-05,3.94259858309602e-06,8.88958945908177e-05,0.000835079922181601,0.00129155865539951,0.00141012388823181,0.00100981657301482,0.000280502041654509,5.0532059888522e-05,1.1175799406303e-05,2.8417036709121e-06,6.31874724113244e-06,6.40113268668104e-06,4.29201307546148e-06,7.43346210479043e-05,0.000476606118074254,0.000543930440618067,0.000599324697056271,0.000513922493027982,0.000105324577037147,3.47772051027524e-05,5.87288791311524e-06
Tarim,0.00432708571517736,0.00409288081456931,0.00494631441153501,0.00236049498851413,0.115281973808214,0.583881818567717,2.51699941270607,2.65763857226354,0.636048889159469,0.0440954804357268,0.00321699589942133,0.00516903665278761,0.00211788111515785,0.00269381095044485,0.00382580974836948,0.0024854654461723,0.0820821186408582,0.290284435012369,0.790843702433909,0.688934083420939,0.183332250710489,0.0238329346130055,0.00217956787089654,0.00330677365875243
Ili,0.00216172377403666,0.002370354756141,0.00137846149623686,0.000301139455124202,0.0114227550230325,0.449020247813893,1.61040390248391,1.52173655011849,0.26176797924312,0.0172859250817345,0.00132135525394397,0.0010887752790871,0.000785285765282945,0.00102488874866251,0.000945623359130386,0.00036473424609775,0.0112475718802313,0.128053023542371,0.334516038139176,0.309664029786585,0.0624062375946418,0.00672840801390744,0.00060597009703486,0.000657937429899035
Inner_Tibetan_Plateau,1.8929393595383e-41,9.33657512784218e-08,1.04644432970721e-08,0,1.42676190881041e-05,0.000153104905070534,0.00161763909582779,0.00155189469625329,0.000570772919005584,2.07538668976899e-05,7.23230156533342e-07,8.73467191316497e-08,1.03680558720851e-40,2.48765122492107e-07,3.9824323698985e-08,0,1.21695817183381e-05,0.000187217381997821,0.000495253483356885,0.000416524235707856,0.000189992008441329,1.07147165500929e-05,1.71610872720261e-06,4.78417683924726e-07
Yangtze,0.0197912307150318,0.00862878228252258,0.00282070114487238,0.000104910806812859,0.00238719610068714,0.00587220683465289,0.0225832729915579,0.0346075609293909,0.0510707199828513,0.0203197478599025,0.0436164166169238,0.028400227758615,0.0143388326990048,0.00577412112716028,0.0017846193473815,0.000168902984931714,0.00198673352040232,0.00450615000970421,0.0120029604149163,0.0406508775456714,0.0485202202866226,0.0150156393116789,0.0337508297435629,0.0213370127145338
Inner_Tibetan_Plateau_extended,0.00026323760326454,0.00038818859953783,0.000204891842098682,3.40737323307561e-05,0.000331975210016765,0.0191254301345621,0.0834871817008288,0.123539044974169,0.0210261594036189,0.0021441915736731,0.000126729313975939,0.000218449431478813,0.000174234931655442,0.000187405674454341,0.000124848628507221,2.00872130483396e-05,0.000174322275009396,0.00954386398143778,0.0396101104327679,0.0677449058882723,0.0105901020230329,0.00155313453093843,0.000137140432302684,0.00017896784984286
Yellow,0.000282713864489782,0.000362849349083148,0.000359125972764339,0.000132421324591918,0.00169025855031642,0.0016153283111006,0.00304480783324931,0.00470927686946231,0.00107304732349285,0.00138697633541196,8.03227203333684e-05,0.000137667394572888,0.000267883057769077,0.000320457778457334,0.000464413732456577,0.000162153176173093,0.0010174793175138,0.000698544215357197,0.0011941051764025,0.00227910060332178,0.000553010359873038,0.000967579900520644,9.26669373684947e-05,0.000203247709191712
all_basins,1.27114157743426,0.905974384254131,0.635835829251047,0.498036018614417,0.828191749998002,4.59267343534281,9.07732133357283,15.2636941136285,12.1175927466557,4.22686204815916,2.04129144001992,0.639720563219955,0.35451870246898,0.252619782648286,0.175149362354935,0.144209754922836,0.383835361039956,1.31613956740763,2.29220519822722,3.34547362762007,2.75583432080107,1.1052701546046,0.51153872350347,0.229646493604065
