Basin,Mean,Stdev
1,3.52735816274367,1.49168939277536
2,0.000679826897278098,0.000156264793998526
3,5.20951887334855e-05,1.56508108820204e-05
4,0.535376715443571,0.192585724375121
5,16.5640334275924,6.73428474097124
6,1.9521520428955,0.913770814609569
7,0.0921980191092265,0.0599214754705666
8,0.345986956479563,0.151269767489193
9,0.00280201495531418,0.000568130216040494
10,2.87190314351087,1.35326270130024
11,1.55570021942234,0.530465073245928
12,0.00247066315130202,0.0019301852023344
13,0.0573688310890109,0.0334441252919577
14,0.13611705760171,0.095536936686686
15,0.00547878261879157,0.00255237449616566
16,27.6928620389856,9.02494945468436
