Basin,Mean,Stdev
1,3.68268416456774,1.19210809214301
2,0.00172987549237616,0.00049339527050266
3,3.72987174647883e-05,1.21388008702092e-05
4,0.784264617582135,0.226490265191395
5,24.3114032318384,7.91735520886964
6,2.58685805972565,0.792185128057335
7,0.0800354818243653,0.0236753585275925
8,0.307480283008072,0.119397336642529
9,0.00261666518020618,0.000687415140121742
10,5.86860923801089,1.29914635357833
11,1.59933355662042,0.558858447160633
12,0.00242625536057691,0.00107217874107897
13,0.124923615788966,0.0545497747949603
14,0.142171962808244,0.0659076651546932
15,0.00511499553465107,0.0026746440250496
16,39.4996893020602,10.396806162522
