"","Basin","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099"
"1","Ganges",5.70525641300881,7.05615413311062,4.84445746771091,6.01060407471464,5.03540183248536,4.71724237356566,6.33236486925542,5.61001728550054,4.97644253958987,5.77487109638841,6.4339343821736,5.17043812069837,5.48527249643906,6.15920797758125,4.53570007342801,6.38747153566407,5.63253944527962,4.87040687170671,6.23518436827795,5.53671411511694,5.12696386506655,7.19925701579047,6.95966518065602,5.72915498212367,4.79449011998568,5.94788546427907,6.15453723411565,5.23341953221945,6.03256778792128,5.74103387280417,5.88320782075422,7.48282077579015,7.14960106304953,6.02465140284257,5.20155641992611,6.10835536196547,6.82583635788771,6.07819074356571,6.14093486655728,6.52303728625191,6.62942568865958,5.85087490260039,6.17108962739738,6.68599407058688,6.06769653234319,5.63155097226303,4.20514004577267,5.05458295305741,5.83542470440783,6.26677163265576,5.22488625163622,5.94347492058052,4.8180349709526,5.31569072373779,6.01558169897067,6.10355801190243,5.27378188785455,6.26474699460783,4.35182950668908,4.31188916800269,4.48437995893423,4.73009015877886,5.38234210336082,5.33149110839029,4.26128330208427,3.91711843052435,4.70753937687457,4.35293843067127,4.05817175931566,4.21008138927859,4.67014701111484,4.18362898449613,4.28823975662224,4.10827701001817,3.31557924889235,3.65818500075811,3.12171743604583,4.08163237978465,3.41779594602181,3.84713875145867,4.38458017962677,2.91772801937906,2.81821118556986,3.07087888397923,3.43274810817983,2.75284587595968,3.18304390499505,3.37150518880689,3.18092989186623,2.81479093271154,3.08247701420414,2.56826810050357,3.20293517792035,2.68973970052521
"2","Mekong",0.0026222163809093,0.0018378727449697,0.00121119437294829,0.00348055471901811,0.00285708168526346,0.00498214267524535,0.00234126117616763,0.00183729167378757,0.0035692992430947,0.00262929035734231,0.00226896095837539,0.00164907126134175,0.00260771055869444,0.00249546553198205,0.00251410981286937,0.00413193257948646,0.00250728005203308,0.00202722418890901,0.00229111488704473,0.00565097362315276,0.00221129380764172,0.00284149069999634,0.00362228700060526,0.00299701469577532,0.00204593060591107,0.0015133592985272,0.00382388632916417,0.00160963182379482,0.00319094354509475,0.00303749999511907,0.00287656981060953,0.0037388139231684,0.00375260300714954,0.00644522509036633,0.00229437320309102,0.00322865875052659,0.00278771718747531,0.00134149862933849,0.00205731194045445,0.0112357223880277,0.00264119516060478,0.0024431420712783,0.00253489167786806,0.0017624421861794,0.00168281256645102,0.00190061304839738,0.00114870854867286,0.00126777137104034,0.00224185481308078,0.00483689657337029,0.002527432257939,0.00137154893187011,0.00224097170279378,0.00121738732149976,0.00143452510762347,0.00152888750428899,0.00215739816301141,0.00170490334142299,0.00170409412381526,0.00130917947998016,0.00115421204434426,0.00210348359608399,0.00158115357446269,0.00217768008413312,0.00115721740323064,0.00079379621230677,0.00849596449698057,0.0021413394424292,0.0008908864536072,0.000807759170704744,0.000674373470762267,0.00077028479041082,0.000592886660527039,0.00086771410576751,0.00133523492186831,0.000895279689703309,0.00103847726960644,0.000670902724295431,0.00064267824561419,0.00104191069131392,0.000966322331800247,0.00104710861787969,0.00148029148570419,0.000826588250212825,0.000616607203099845,0.000757662117740656,0.000897392434095757,0.00042691466191286,0.00055347435973825,0.000477273633517785,0.000700505699316955,0.000536039512794008,0.00107566285123371,0.000553874903865805
"3","Irawaddy",0.000379350914003483,0.000282900303115857,0.000148204309073966,0.000299491676392413,0.000208872304428233,0.00236532657929544,0.00041857197545138,0.000182669221146404,0.00115808183762941,0.000204798634432453,0.000177043304063505,0.000163345025788936,0.000256383845013983,0.00369511506842676,0.000294878265825532,0.000275971897706518,0.000192258925147124,0.000118951612933779,0.000531820241601133,0.00154064337046547,0.000310788697244977,0.000155494524608093,0.000162837075343571,0.000213465134691291,0.000116490226492808,9.91181759244251e-05,0.000195612295771867,0.000115196553079247,0.000129175100947031,0.000272131729067803,0.000193855727259734,0.000128903262785405,0.000138502426922211,0.00149919861186269,0.000212060771947432,0.000113274772237424,0.000122249184267298,0.000109158977544944,0.000152483611581196,0.000209554302145808,0.000133126359359372,0.000776428481378435,0.000169448934477714,0.000113962850103471,0.000173497552210082,0.000194719659933284,5.52046757229325e-05,8.04074474775573e-05,0.000217899019284647,0.000200331062129032,0.000155117402417119,9.75138440220733e-05,0.000201872260901294,0.000127729225334023,0.0001347760651901,0.000111830401742916,0.000218060938604278,0.000200415221231229,0.000119284564802328,0.00031354679091075,0.000140774787382688,0.00039593458805515,0.000139488441757896,0.0001312192045904,0.000127272419412032,0.000175166147376312,0.00494698462946253,0.0003600074917548,0.000126960699859896,0.000159069891361466,9.87021128867249e-05,0.000170592481155323,0.000113179199488936,0.0001390427895206,7.70638846918255e-05,0.000180132726428141,0.000227180498264896,0.000150051958461104,8.92157011398187e-05,0.000172277742453628,0.000201914882226256,0.000146910566555336,0.000298810457484096,0.000155640831379304,0.000137865373460972,0.000154027612828637,0.000200201903092179,0.000125195127836339,0.000125828014549486,0.000170498597781679,0.000177779765813696,0.000196924424341789,0.000193583391530224,0.000141623328355814
"4","Luni_ext",0.757767035521769,1.06673456933742,0.566746733720828,0.803153995881828,0.505197264107684,0.590305935683629,0.720407416029789,0.746823343163797,0.761269049980766,0.648108107688137,0.795698574105111,0.691516967300639,0.977351776337688,0.862619523312245,0.60764179034348,0.708105565051105,0.844995014285459,0.566144577776283,0.879021962194478,0.879609831779754,0.589971073742258,0.907648272886929,0.89957582601916,0.858160337913801,0.707549849943468,0.779552252499889,0.919439799122851,0.683474775104572,0.818519218331863,0.821659537102642,1.08580658052529,1.12060828996765,0.922458107965489,1.13020686881533,0.827366301441896,1.0643271097706,1.07256414228337,0.899225565991659,0.639349777438857,0.94931782872964,1.15147144584165,0.831370592887179,0.898010516975465,0.860254857323218,1.0702153921052,0.94049746528634,0.666806077868148,0.66894348560672,0.894510653191617,0.940862332518437,0.855486733047164,0.865633139864149,0.732833529671636,0.928047505176119,0.788064644938662,0.826628713082066,0.87142277052028,0.803271469981913,0.865816395025449,0.695689418709082,0.626809126616887,1.06899009775147,1.04313903486628,0.853191432188382,0.712254073186192,0.582450513683005,1.08611449467707,0.943098059826609,0.765381258094187,0.741082127947102,0.865518364078699,0.712095382612805,0.781767328211356,0.757187165960828,0.617535416913236,0.647525718727059,0.817332090152872,0.765539819999753,0.590582126448601,0.716699950094192,0.986621606787105,0.715498236173113,0.590812038057049,0.528845087595748,0.851785957188754,0.619680681518779,0.690213736765067,0.728317590664029,1.17774776483859,0.487135734587089,0.710857994938544,0.468476534870662,0.770468863735886,0.579927541136231
"5","Indus",25.1750060678342,36.7128489269093,14.6231390835922,23.971048024851,10.6366265587914,17.0131347998585,21.5048875213532,22.0887883022466,20.444400791535,18.5885562486877,25.5752449447088,18.4395742831129,30.4360997520149,25.2259959232559,15.2025615927168,19.8766900236239,25.468154238926,14.7592592888524,27.5526770907759,26.4571842276081,15.164498561868,27.7674170036506,26.4351566258019,20.6720288817858,19.0250566580302,22.5268000572467,26.9878428178505,18.5090942976157,23.4263407082819,21.4977258066172,31.1728293252434,36.3192826139125,26.4680299135329,30.7639591997199,23.7268676347618,32.7107863168724,32.919876986495,28.1262104177074,16.2302080258194,29.3188485257804,35.5660539492727,23.0279065706365,24.8718107854362,22.5496633950976,34.44228202716,27.181341093432,16.8633081389416,18.9748867534153,25.8189529088884,28.497948769407,24.5771853672779,25.7096706919183,19.3526305633212,26.6781756132394,20.5073403902411,27.0791622168593,22.1705787634662,24.0029411590866,21.8040060975181,19.4155021220061,17.670578948117,33.6570511885805,32.0643300240758,23.9991922897039,21.5106543937903,16.2773847609822,32.3601800423518,26.9444024670577,22.0918752813422,21.0964099434663,26.6433166617067,21.0041201314291,22.7565655066021,20.9442573525585,19.2662142711544,18.663609608077,24.4950373475798,22.2083127059138,17.6012037387515,23.3776770317571,31.1425826883242,19.0894605270271,17.4277758005976,14.2482038559577,23.9207169700095,17.6392388738314,20.1670799929212,22.4346921430085,34.7753072465316,15.9730201565386,22.3049635553378,12.4114694570374,22.2190919533704,15.8301234235749
"6","Amu_Darya",2.39545872067023,3.0827864099325,2.27844926060005,1.88363269474798,1.4729310437074,1.54349512318886,1.84485943865529,1.97209729679367,3.58672251179259,1.79737753880304,2.36409213526191,2.28464297821567,3.70224460034994,3.54604200323102,2.02075543410597,1.54147619665766,2.05487490272094,1.53075129867434,2.54571850489896,2.98576023872712,2.62845553480822,1.83979729135182,1.88943487106582,2.21327734708235,2.58877948811053,2.36797635131196,2.48924967126736,1.84794746692086,1.50692983906935,2.15929708556825,4.16095783128013,2.74668716825619,1.89156383516176,5.78674790017533,2.47727572998358,4.57944003421311,4.21726949977533,2.73146027897348,1.39950048030882,2.1052315333614,3.11595733024725,3.10813843719484,2.19434834594579,1.28066759137095,3.93882472443729,2.89367072543863,3.52697237570232,2.01778981177527,2.30344369384042,2.95565636235278,6.13216542143314,3.03934079118249,1.95688020510735,2.60906850914158,1.92595069148609,1.70409565271372,1.42223274519326,2.3789757821241,2.14390210542535,2.30993438467402,1.66269359333556,3.5619857117954,3.07607684204371,1.82715171133904,2.04283981245211,2.35521140025667,2.94050462294161,2.30821666503256,1.97584403417194,1.50759236434728,2.12912351105021,2.42212831966432,2.37000715861145,2.45548622006068,1.94185563753404,3.23284787313588,4.75061609757395,3.16396288305552,2.2259249875979,3.16676005889118,2.67947292859737,2.15878411436244,1.94607303474568,1.6395058162898,2.67644270476938,2.687193499598,1.89464989373411,2.18188459647697,4.40173594308619,3.72807981687822,1.9247964816594,1.30597515752425,2.19648726926152,1.45181974377412
"7","Brahmaputra",0.113661388119062,0.16779304418683,0.283274670868712,0.12370903423461,0.352121356262981,0.153285788595141,0.18076284762214,0.189398173887133,0.252498458196373,0.148644699228329,0.143617751311743,0.112426203283734,0.0971306188525931,0.244186317235241,0.202693745919545,0.120893941662484,0.205995756524591,0.166875745388317,0.114116111127863,0.10107776786892,0.171199277755385,0.181693653910643,0.149020199656279,0.131729245846236,0.127142390040779,0.149935812824466,0.119540275203941,0.307883066707655,0.185807583088996,0.173201832061266,0.0831528620841981,0.110552018862395,0.187481433699258,0.137449673381873,0.100346898402786,0.0944670952758531,0.111443050098056,0.116036815011722,0.156851749806288,0.111379214784903,0.0925197042325088,0.117010386299199,0.0889221746174758,0.158420832454094,0.0942715417414183,0.132450064572438,0.10077762769611,0.158972183803614,0.0884112775459289,0.072905693174492,0.0787406498750398,0.173383319039154,0.113252877446826,0.0904471314146677,0.155089755967372,0.0936804197532721,0.104557449185269,0.119071888249935,0.0880534655748134,0.13775218860133,0.106226261292153,0.131366578264759,0.0682599823906225,0.0994985397848584,0.125309709752949,0.0924961091966249,0.0695833584535817,0.0613178615861364,0.0848522660872459,0.0624170664427729,0.0445810376000511,0.0907241155342772,0.0745361802886301,0.0478729443613346,0.0845041626662157,0.150637700338954,0.0638252215153484,0.0468131924820296,0.0761401118798851,0.0636093168729968,0.0545972094514924,0.0513466145217083,0.0732620130640053,0.104403639351979,0.0493534554765621,0.0609638927244379,0.0588129045145044,0.0583173703631426,0.0498310384465949,0.038821426281393,0.0489369620165942,0.106570366838319,0.0550162678529567,0.062361303790196
"8","Syr_Darya",0.607797502985427,0.991380980515141,0.62408453287459,0.569676006901916,0.467332434328897,0.368739266725985,0.500979220060289,0.533183865567688,0.542824040436431,0.487372839977419,0.653086136427913,0.587493825143082,0.71991399771684,0.823758311761799,0.535603215795572,0.316861165281133,0.459661253803389,0.556505358300458,0.648041312358845,0.686295741486752,0.73461060565176,0.439258854756524,0.555344877016524,0.520497024932601,0.72854709836369,0.753598157005469,0.524804486866427,0.562751107192174,0.443563098256969,0.503807538540946,0.793977256030376,0.631184864660018,0.599107723018452,1.41452171259143,0.640636450182333,0.925324626095526,0.729586288548241,0.683369319627916,0.391325621753428,0.444197681848169,0.596264495349125,0.645577679636437,0.531418137440907,0.338531126296054,0.739918208270038,0.635336438221464,0.992323828502146,0.489508177836102,0.504107110053357,0.665223679639952,1.15659430143736,0.598969498863941,0.521682402169075,0.573486026594529,0.390106245316639,0.325520843681188,0.276717849790385,0.366870685213556,0.469600767827377,0.505224076264926,0.407842714565208,0.39991426557083,0.425882259581379,0.305253007672851,0.430671863854036,0.430327939838249,0.269806103641596,0.374849008925542,0.394014338756538,0.274992372642923,0.345893708576005,0.382756983977886,0.36461347823233,0.377340502703499,0.296322068903494,0.405014360505824,0.56744059488975,0.362120574046509,0.303524642647954,0.428165263240308,0.338773994476343,0.289679529167837,0.269008586000453,0.274978064784769,0.307448357062022,0.295552157666453,0.257644499074455,0.238115027593256,0.369402502409782,0.40739576959603,0.218297953524649,0.246524872869725,0.205341206747011,0.161363180061491
"9","Salween",0.0149162657911805,0.0130406754550804,0.00833647420252891,0.0196703572625398,0.00863225502528138,0.015005929935251,0.00830338389810625,0.0102653651568969,0.0183051453050683,0.0128437291583914,0.0111049350113387,0.00852287201932678,0.0140662934036265,0.0120079915565673,0.00836852579371844,0.0162286368233192,0.0106212580082431,0.00651196828927414,0.0108477678448989,0.0125283727172654,0.00846972941868613,0.00883839973347854,0.0125662132387521,0.0118196718114333,0.00881845882037803,0.00642327581633901,0.01281935857673,0.00866117281696061,0.00948014631229427,0.0125335079154888,0.00914229251228121,0.00923676253220855,0.00781954435296241,0.00991750712895248,0.00712456527619486,0.00653685540293688,0.010889497737387,0.00611340723350895,0.00764055317902826,0.0119566591769378,0.008814173917708,0.00742042366865951,0.00808600472804228,0.00649982257028064,0.00745228223046294,0.00774577166633605,0.00304300570095971,0.00480858406898271,0.00976408581519472,0.00895584786514548,0.00570732847091264,0.00518360152700939,0.00757575392753344,0.00466352390035817,0.00584837361949091,0.00524083618415752,0.00880971113247046,0.00606667411694424,0.00338047477208474,0.00540327459922909,0.00406273989694923,0.00743734262494111,0.00431012714810241,0.00552089375354673,0.0040355901637762,0.00285025750793333,0.010263119942746,0.00528443261013187,0.00384407886220811,0.00324817404777948,0.00226711259105727,0.00367116467580976,0.00237973283697866,0.00355985252318563,0.00174046458919988,0.00329078804342356,0.00320141660823755,0.00229280105673521,0.00134979217105329,0.00204368888815458,0.0026168369046412,0.00242005320217656,0.00368658703478748,0.00197729915474597,0.00156372684341094,0.00164340697034144,0.00237302293003137,0.00171321333603221,0.00206191644410887,0.00181292369348853,0.00234099573856595,0.00185365633465141,0.00203104656857775,0.00173528992400218
"10","Tarim",4.51393455014903,4.94116342577193,3.46128003547936,4.65080133707303,2.42535215324404,2.64517994616293,3.11173856839552,3.48164993616873,3.99419633936793,2.93847057030606,3.80130883628302,2.83978866694877,4.49587263817024,4.03872918604509,3.27485954336795,2.18008774473182,2.98963390395191,2.71038218334195,4.56095571038463,4.14558406580085,2.79658126083034,4.20818384030481,4.87161931831495,3.58734425497266,4.46395251537124,4.1711240044134,4.75723171232337,4.58964293074477,4.00814816031012,4.35328415492113,5.91915347525608,5.6911523274299,4.46734121376695,6.25777931147181,3.80357486485617,6.40360367530219,6.98333474589205,4.30828997339707,3.06487870733794,5.03563690382683,6.66922968220089,4.34648991272852,4.98434495855436,4.1941760674271,6.54105783852832,6.23327155796001,5.06093612250743,4.11887768667106,4.6327264247171,6.09574267919023,5.99832456066462,4.60232820360239,4.97637293417266,5.53062023099066,4.05496328860631,4.91396603370209,3.77476347508486,3.96266264044771,4.44753076912923,6.61332762768528,4.61451915601173,7.32133871307876,8.6877092795639,5.46009059533348,4.4801690931642,6.03305889628447,5.8796284943361,6.83253354776184,5.79114932113323,5.46417585151636,6.90209649513484,6.14750407218865,4.85093131189694,5.93141595099126,4.4961102855051,5.63094278315039,7.38711895010002,6.45146453788881,5.13975222962195,7.56102174353367,8.09706166813687,6.64457618554537,5.81963355136914,5.5236171955224,7.19785496615431,5.58273765926742,5.57385206441903,6.04310756660336,8.88939206481551,6.66875975075339,6.28693457963488,5.59468292714285,4.93146932320343,5.66515431636246
