Basin,Mean,Stdev
1,5.93899678815107,1.4717121242396
2,0.00135368071412733,0.000715337737879537
3,7.05631987062946e-05,2.63793214549988e-05
4,0.771318493988165,0.216265998412425
5,28.2906579345807,9.36780142107469
6,2.82246283016222,0.61427659707752
7,0.178828688341426,0.0681214384164347
8,0.750579015024619,0.256090597721699
9,0.00402484918166082,0.00134435548634952
10,5.59439511465801,1.21744338355273
11,3.58136985568693,0.848744390880183
12,0.00266773666809055,0.000901101039784123
13,0.174815534210006,0.0810253706367997
14,0.261932117275005,0.110839419177025
15,0.0125486831865534,0.0048397255243799
16,48.3860218850273,11.0779136622473
