Basin,Mean,Stdev
1,4.01070202883929,1.18351760332526
2,0.00250889063814677,0.0021686529647854
3,9.71268830609593e-05,2.37244986543673e-05
4,0.709924137282246,0.156548514816673
5,23.4355960117462,5.32381332064743
6,3.25377990477661,0.719935721051199
7,0.0948968930303514,0.0234908844658907
8,0.697517869918022,0.224236502437117
9,0.00597880472076566,0.00151328946474662
10,4.7901945164808,0.959818834123941
11,3.09063096714022,0.673979328045053
12,0.00390365396727795,0.00138294579939276
13,0.217906336669171,0.0702344500673123
14,0.302986083714542,0.0868863333378757
15,0.0228531995213594,0.00599200362933256
16,40.639476425328,6.70483999075312
