"irrigationGross","GrossIrr_km3_pgi","GrossIrr_percent_pgi","irrigationGross_stdev","GrossIrr_mm_pgi_stdev","GrossIrr_percent_pgi_stdev"
"Ganges",482.728955914339,1.17171388635513,0.229283843589079,69.6585116825354,0.824201681505118,0.133955485050662
"Mekong",100.310167393614,0.0010006519999041,0.000984068416690867,3.8228610361587,0.000609948856317044,0.000571070112392766
"Irawaddy",35.1105081989573,2.25121151691544e-06,6.416135901058e-06,0.558405977076267,8.59094542368439e-07,2.45929877809594e-06
"Luni_ext",27.7896855953387,0.213947080597592,0.833449369204666,13.3093263157939,0.0708838599211881,0.182665161161614
"Indus",199.475784576255,4.67090940845505,2.28251319717093,70.7376866900619,2.07974382840128,0.251662950288329
"Amu_Darya",1.33987840225218,0.0376005227416314,2.68713224108442,0.404018182845285,0.0205399113267043,0.605362734164079
"Brahmaputra",124.024047829008,0.027081132557688,0.0216197440551045,5.21161665298426,0.0132154077279593,0.0101883039099483
"Syr_Darya",1.07386942958658,0.0220239471311603,1.61184366125744,0.764901341993901,0.0215185870494091,0.855469228316967
"Salween",8.06586991693866,9.21294026191676e-05,0.00114131492767392,0.170641237624488,1.85564278233566e-05,0.00022378025596528
"Tarim",1.4604074051751,0.0232247040796961,1.61820724141046,0.142829700648848,0.00626079119581568,0.503982850990012
"Ili",2.22808872487961,0.0358121626420635,1.59762128157252,0.257602354465761,0.0120238217389944,0.476036906452081
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",341.387580822533,0.0642934168676544,0.0192313421042439,26.5155200522982,0.0473446136926761,0.0140007288434435
"Inner_Tibetan_Plateau_extended",0.924343356658963,0.0113743633623877,1.29330886350656,0.443420907281228,0.00553363209861551,0.355267669164517
"Yellow",9.08228110401824,0.00342977262106943,0.0399971621087571,3.36434092654639,0.00107696010500626,0.0119410646870758
"all_basins",1335.28434302338,6.28376138281154,0.457673676719176,153.661414903577,2.7969276622369,0.159941934235073
