"irrigationGross","GrossIrr_km3_pu","GrossIrr_percent_pu","irrigationGross_stdev","GrossIrr_mm_pu_stdev","GrossIrr_percent_pu_stdev"
"Ganges",451.324500976215,118.663583632913,26.0704144974259,23.3160610349386,33.1475976802186,6.23444968366869
"Mekong",52.2291403109556,0.172204812721562,0.316557626586895,2.14838450370722,0.351333361706243,0.644895568015517
"Irawaddy",17.2050514569487,3.00593106311487e-09,1.74043123972303e-08,0.403999091828801,9.11864863168031e-09,5.26564676063195e-08
"Luni_ext",54.8018112056589,25.9766577607723,47.0860889749011,3.21218710723978,5.60743474870417,8.14902582003522
"Indus",418.462353670404,23.6444616525412,5.59764836651458,23.8184378378346,11.4870103240507,2.55844586032977
"Amu_Darya",34.9122791790269,5.0713603032795,14.3978777040265,2.09919212258922,1.39246738528319,3.34225057227021
"Brahmaputra",94.4424471464681,0.393638976387672,0.414726550022317,2.54743203566303,0.237172164719563,0.246472869779708
"Syr_Darya",18.8137262205193,0.0407270185123761,0.217852552641505,2.16689454251611,0.010095676987524,0.0531647890307576
"Salween",4.26125472479295,1.01580183028841e-23,2.38934764449716e-22,0.0968277169313398,4.36448382345387e-23,1.02894656317393e-21
"Tarim",30.8473335834219,0.302166700951006,0.952384993628791,1.90916315547261,0.315952923129701,0.968486572765822
"Ili",34.2183246325653,10.0283387846599,29.2415770575942,1.67029716643506,1.35039672537524,3.10174287882599
"Inner_Tibetan_Plateau",0.0995718621228868,5.38965288640126e-05,0.0531265770945416,0.00224002345534974,0.000301776165828281,0.29880516561226
"Yangtze",389.918214049512,13.597534752995,3.42236033699838,15.5024048752251,8.78386869090738,2.10835377001839
"Inner_Tibetan_Plateau_extended",10.2445767618645,1.42014155377589,13.7867131784024,0.381851522807457,0.740691961948827,7.04346415643528
"Yellow",79.6648773209309,9.66463082210654,11.7985191528148,8.10064664232153,5.06971198266867,5.53793396456764
"all_basins",1693.19228955187,208.987995611225,12.2961636002108,49.3364008835629,44.6589268021575,2.36014320986807
