"irrigationGross","GrossIrr_km3_pgn","GrossIrr_percent_pgn","irrigationGross_stdev","GrossIrr_mm_pgn_stdev","GrossIrr_percent_pgn_stdev"
"Ganges",482.728955914339,0.542455496668253,0.107447492325211,69.6585116825354,0.311984398775708,0.0487708457109195
"Mekong",100.310167393614,0.000822859467251658,0.00081054843702471,3.8228610361587,0.000423138927493615,0.000393815864119327
"Irawaddy",35.1105081989573,2.48264078553854e-06,7.07901876120227e-06,0.558405977076267,1.18876726236836e-06,3.40324824221822e-06
"Luni_ext",27.7896855953387,0.0645073570094089,0.243320657342717,13.3093263157939,0.0260157901957587,0.0533326319998047
"Indus",199.475784576255,1.55020305675339,0.761287264319552,70.7376866900619,0.691551175108522,0.110712112413588
"Amu_Darya",1.33987840225218,0.0109677895475532,0.801781242103671,0.404018182845285,0.00463149441874672,0.170558197870465
"Brahmaputra",124.024047829008,0.0215276662445845,0.0172148579208504,5.21161665298426,0.00926126677364919,0.00709111912916157
"Syr_Darya",1.07386942958658,0.00681715151715058,0.532046581884753,0.764901341993901,0.0066269266932198,0.248755196418415
"Salween",8.06586991693866,7.15376116159398e-05,0.000886560357154715,0.170641237624488,1.31450856038212e-05,0.000160086599377284
"Tarim",1.4604074051751,0.00343049878096175,0.240117848477998,0.142829700648848,0.000846943786303477,0.0804956114665432
"Ili",2.22808872487961,0.00773023340334867,0.343304400394779,0.257602354465761,0.00265550380051667,0.0936076536982228
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",341.387580822533,0.0541284876691787,0.0160247407240936,26.5155200522982,0.0510888084737141,0.0145868769299902
"Inner_Tibetan_Plateau_extended",0.924343356658963,0.00154363695569998,0.174623824109851,0.443420907281228,0.000760959450051215,0.0435823190127755
"Yellow",9.08228110401824,0.00102684989221241,0.0111592886223052,3.36434092654639,0.000524785022421147,0.00254514973617083
"all_basins",1335.28434302338,2.26578029562228,0.165187593785247,153.661414903577,0.974894456125244,0.0552446902548831
