"irrigationGross","GrossIrr_km3_pr","GrossIrr_percent_pr","irrigationGross_stdev","GrossIrr_mm_pr_stdev","GrossIrr_percent_pr_stdev"
"Ganges",521.681681932739,442.560220045805,84.6741288251605,31.8571028750206,50.5250960669338,6.20976261592358
"Mekong",96.4802482532221,96.1630850073587,99.6798006205068,6.71238139242986,6.55750479469039,0.206426490272786
"Irawaddy",34.9336996130601,34.923054156341,99.969524054567,0.720584657433705,0.720422962010969,0.00606931509408584
"Luni_ext",35.7586899567581,21.560841784599,58.1859708372336,8.84210566504672,9.98934805126087,13.5136699969471
"Indus",273.380098032881,206.550783522851,75.9422912061531,21.2921332350412,14.6315142391553,8.29656706914814
"Amu_Darya",1.45883840851944,0.876314069779412,61.0742477388926,0.306032470050565,0.140164059312488,8.2657150314684
"Brahmaputra",119.993041867422,118.612573452159,98.8916538131325,9.99625162207579,9.16889130760674,0.641006672595094
"Syr_Darya",1.0348426840422,0.586635007071412,53.0979299377367,0.792790294624575,0.497807183411633,7.5067772909293
"Salween",7.9501370678402,7.85594770850628,98.81709954685,0.210845326290095,0.203186734629587,0.338172070255039
"Tarim",1.20907797841654,0.797363273961728,65.1517348758893,0.327844544628639,0.301428753158273,11.002685344805
"Ili",2.07280873242754,0.945752853862563,42.4052047094386,1.0831765503812,0.578291840605149,9.72206748171998
"Inner_Tibetan_Plateau",0.00335048174168036,0.00309361009764711,NA,0.00516573239158832,0.00476983688772254,NA
"Yangtze",345.966301157183,335.908571955287,97.1303335104431,22.4456797748927,20.5198074006615,1.86044031605012
"Inner_Tibetan_Plateau_extended",1.07180261685896,0.502184862309977,46.5475546169209,0.352039015434213,0.237037773654972,16.8144225961756
"Yellow",14.2344445298407,12.3171970126121,86.4606419634658,5.8143872054077,5.36812481666043,8.31146842759184
"all_basins",1457.55662878962,1280.46494061558,87.9312040298095,46.6196332055978,37.0175176213646,4.02081475170646
