"Jan_irrigationGross","Jan_GrossIrr_km3_ps","Jan_GrossIrr_percent_ps","Feb_irrigationGross","Feb_GrossIrr_km3_ps","Feb_GrossIrr_percent_ps","Mar_irrigationGross","Mar_GrossIrr_km3_ps","Mar_GrossIrr_percent_ps","Apr_irrigationGross","Apr_GrossIrr_km3_ps","Apr_GrossIrr_percent_ps","May_irrigationGross","May_GrossIrr_km3_ps","May_GrossIrr_percent_ps","Jun_irrigationGross","Jun_GrossIrr_km3_ps","Jun_GrossIrr_percent_ps","Jul_irrigationGross","Jul_GrossIrr_km3_ps","Jul_GrossIrr_percent_ps","Aug_irrigationGross","Aug_GrossIrr_km3_ps","Aug_GrossIrr_percent_ps","Sep_irrigationGross","Sep_GrossIrr_km3_ps","Sep_GrossIrr_percent_ps","Oct_irrigationGross","Oct_GrossIrr_km3_ps","Oct_GrossIrr_percent_ps","Nov_irrigationGross","Nov_GrossIrr_km3_ps","Nov_GrossIrr_percent_ps","Dec_irrigationGross","Dec_GrossIrr_km3_ps","Dec_GrossIrr_percent_ps","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_ps_stdev","Jan_GrossIrr_percent_ps_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_ps_stdev","Feb_GrossIrr_percent_ps_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_ps_stdev","Mar_GrossIrr_percent_ps_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_ps_stdev","Apr_GrossIrr_percent_ps_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_ps_stdev","May_GrossIrr_percent_ps_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_ps_stdev","Jun_GrossIrr_percent_ps_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_ps_stdev","Jul_GrossIrr_percent_ps_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_ps_stdev","Aug_GrossIrr_percent_ps_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_ps_stdev","Sep_GrossIrr_percent_ps_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_ps_stdev","Oct_GrossIrr_percent_ps_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_ps_stdev","Nov_GrossIrr_percent_ps_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_ps_stdev","Dec_GrossIrr_percent_ps_stdev"
"Ganges",40.9988976678308,1.84309126204805,4.37612331789803,45.9885197371367,1.96131790460879,4.24347376174462,35.5609761795995,1.65932594625634,4.67768122258902,40.6861569882559,3.4908915064544,8.528740709061,50.4212131821832,8.02379376018686,15.8946545763246,67.7355813019191,10.0810576761979,15.0723900875789,19.5691954013954,1.87185281262954,9.14447416917488,29.98445222743,1.08896108736529,3.48485594835191,46.1398878512325,1.26177294106702,2.67189225613186,28.9772374875163,0.838391343966457,2.7843549295699,36.0828436475897,1.20314066671001,3.24490759701045,NA,NA,NA,5.91620241418042,0.832411362710797,1.47438005199897,4.64887312478154,0.47560467275687,0.855279945532043,3.7697977760054,0.218644938653486,0.511406707591913,3.65124157713601,0.838146467246046,1.62599488412829,3.48391467587034,1.06760331111098,1.63949199913779,13.1653318280232,1.82314998061753,2.46719179718025,5.70910433181627,1.12172657364054,3.47824914010424,2.94734159058113,0.708546012911144,1.98056368203087,5.52926491228906,0.637592553575986,1.16409912139492,3.98353073022457,0.484372511952076,1.17458703538699,4.10668480544323,0.616156205779547,1.33946018427743,NA,NA,NA
"Mekong",7.69502653130647,0.0185508640817171,0.23772656367877,5.67936679028941,0.0131918805959497,0.23050132938212,2.34187874314474,0.0047815796844907,0.202534658448616,1.25812070811466,0.00258609910695812,0.204778510496617,3.78048735846437,0.00901753792591846,0.247563552181419,4.05537689001638,0.0457169496165006,1.1314022827556,4.71647733799454,0.0444026405194867,0.926269086918961,3.99046593641523,0.0224884077649331,0.556237893128295,3.37058233976075,0.010139741644317,0.293083992246359,2.78562177911279,0.00435176779339534,0.158287469738385,6.83599567084041,0.0081992948533669,0.11832848369781,NA,NA,NA,0.293260607002373,0.0124834607899425,0.154287644054632,0.234219519391714,0.00858810415783241,0.146839436134022,0.140196744958404,0.00295549404972721,0.121203307430084,0.277608875228747,0.00121762001276623,0.0821394792841114,0.494326429732643,0.00341909771839987,0.11393433973631,0.548257487214297,0.0277182162155623,0.685447728961731,0.46940315908912,0.018269543913413,0.334356583631595,0.298208725628159,0.0122594760523443,0.291389351332665,0.294836979328836,0.00703313007840801,0.190193182175522,0.210332053762451,0.00194755716389344,0.0765029928553658,0.610739957220151,0.00437014374240021,0.0585085906083475,NA,NA,NA
"Irawaddy",2.98198836754955,0.000626805485610684,0.020979899118932,3.1275734745515,0.000881535739071171,0.0280862002993185,1.40756247250564,0.000796092856379159,0.0564626154309592,0.273283955121907,0.000956656140813312,0.357555679782998,0.115102493428939,0.000901473766588292,0.740683415928899,0.37776633830183,7.11848632929398e-05,0.0161896341377971,1.41598316777725,0.00088168386100108,0.0609078906808688,1.54027682718117,0.000395726057393922,0.0257734527536165,1.5341444116743,0.000349800192836673,0.0227570875202906,0.563928418352351,0.000122183353864184,0.0215482614344101,2.46056464484228,0.000478130049106192,0.0193852203946593,NA,NA,NA,0.0474262637734539,0.000167235874347386,0.0053815316649043,0.0863926343321413,0.000386201498529305,0.0121515960662462,0.0350015173458483,0.000429463116295921,0.0297239236498011,0.0685907277297845,0.000529790463947122,0.186030785469855,0.0551686647797151,0.000543380178764063,0.308741105983004,0.0721812365098573,0.000113632194030361,0.0223906980186913,0.110761690422244,0.000436895952973996,0.0250199476691597,0.0649836171791859,7.33846805613239e-05,0.00515810964269402,0.104759866374364,7.40378228791013e-05,0.00439365978743587,0.0643443198129611,3.0246658486835e-05,0.00381841726206153,0.0494674974256441,0.000133502678907918,0.00518134807550146,NA,NA,NA
"Luni_ext",2.2840837528981,0.133130617123882,6.11241677946055,4.72318091398892,0.22620576342352,4.7719159926274,5.19156217875394,0.250766731573195,4.81504191291912,6.98668926620485,0.391501136728491,5.59492102746338,7.68975480506043,0.398032210517066,5.21510331706924,4.72948341281619,0.450800581366444,9.54133097594164,2.17372096270696,0.447657109982776,20.5055432356909,3.93852407984833,0.477189391496254,12.0915407215377,5.04174969507516,0.437792770022016,8.80801792235489,4.14277099391722,0.209705140703284,5.05904775268603,2.79877450218126,0.203373297442702,7.31811590812178,NA,NA,NA,1.09391723992697,0.0655783881380783,1.88794383081501,0.374746939711042,0.0574112830278034,1.0030180326693,0.672947486927827,0.0543501233229458,0.694543618985592,0.852988461073179,0.0646774370420447,0.54183861066101,0.76565141562082,0.0447380911962408,0.718014009974006,0.758167440281649,0.0819530345975881,1.01922869816441,0.752433156222254,0.192653918809884,8.11309514621023,0.36645710422723,0.0982315137893956,2.02930993226726,0.762919817180376,0.0892429657200796,2.02362976234535,0.543548035385767,0.0452267695535426,0.809475378988444,0.438659955932683,0.0426404529621821,1.3707763671075,NA,NA,NA
"Indus",16.9417789395754,3.61478436506435,20.7550285309561,24.8021031281466,4.83619488828035,19.4631075167611,27.374860414373,4.26739265684182,15.4591524484303,39.7620878340165,6.26474732221428,15.5460671210987,26.4623565001657,6.85926038901983,25.642279757538,58.6885616769156,24.8575635426647,42.1407752247334,42.2605931691026,18.2745044228518,42.7445897310838,63.1743377196025,17.8265060770694,28.0348414003315,63.8060278575415,15.2164263526015,23.7516790764687,26.4736385400992,5.94279778022777,22.4055496596168,32.49893845018,6.849685250974,21.1293148224248,NA,NA,NA,6.00785831061418,1.68985962831072,3.62178805916576,2.28096190115656,0.7685690015202,2.42744830929033,2.9853966529404,0.861434164685059,1.63865374408056,7.72997251667797,1.92026716619716,2.29203871523594,2.92437639618461,2.10403063515835,5.94123120582711,7.67446498639293,4.93088246098378,4.46523083780893,7.76262201396361,4.87751173936778,5.56301836293901,5.7332194738028,3.44195705946544,3.53982076887342,7.51526566309654,2.90825277187699,2.8892869378344,2.0668780331177,1.20385985112719,3.83287066340116,2.21853003948997,0.758622888494439,2.39652800358605,NA,NA,NA
"Amu_Darya",0.110126990810109,0.0330361963706941,28.2202320745653,0.107676742270613,0.02803695327082,23.4920417581625,0.16975925313718,0.0387828691382331,25.4895607226243,0.763164022753725,0.235774122288573,30.8255096717191,3.33776392727524,1.22209781096321,36.1391353655094,3.55996871263601,1.47961919231648,41.3690049684152,8.0140903207967,3.77472576012244,47.0216894013372,9.29272469974719,4.17132792603353,44.7706766992027,5.64823156574219,2.4502207590263,43.5399560058756,3.03275068799657,1.25286455762817,41.2900058027633,0.527175810404174,0.214144678995108,37.1381269404951,NA,NA,NA,0.0332069728696483,0.0218695076344626,8.81381239886236,0.0912626214303099,0.0361723676815755,11.7825122099542,0.137753820070481,0.0315233541313384,7.86999057615877,0.272898599203002,0.0882453870228823,4.09597923110882,0.601528834115823,0.366157924717619,6.28100921573485,0.300537820925079,0.252973406135524,3.94946291731997,0.525219960383175,0.426414783908922,3.11912100717658,0.577485479358821,0.530738823192477,3.30327124360671,0.4567505363356,0.138386626499683,3.23249209625219,0.207745346358756,0.129368517185268,3.0675059266671,0.341283805478494,0.16954130884482,7.16954944577595,NA,NA,NA
"Brahmaputra",10.5335492554043,0.32154115763245,3.02806311271042,11.0500292459899,0.542145005267287,4.90933449981279,11.951058546353,0.58168704563158,4.85734018248167,4.56598398733574,0.256455685048046,5.68229030859268,7.49692039909835,0.372881127907395,4.76087889182613,7.00657930272883,0.299199810642636,4.13199802488828,8.93206188362583,0.18866921033255,2.16912593358514,7.81460330828852,0.0810757536486919,1.03606199648177,8.02081671023991,0.0751997694622165,0.924536568004831,8.6330210098584,0.0562548293346029,0.651921121954697,4.73936116542984,0.0537603261184609,1.14456200812573,NA,NA,NA,0.442630473649685,0.118181861934148,1.06443256730819,0.436560373955556,0.155139938344892,1.40058467497227,0.397614221414962,0.187589524170417,1.51086196900008,0.485088575900099,0.0708210430284433,1.7037497247599,0.999968639495955,0.215853093539122,1.97705875932299,1.6989920599239,0.14884866414819,1.36115729680631,1.86617353356575,0.0536190233019058,0.739202446397996,0.605732487434242,0.0298237871235244,0.380200859815359,0.873354633775765,0.0296321102602589,0.307324817249599,0.377862421646812,0.024269910417734,0.281892007369027,0.347496959553322,0.0296503793453924,0.655807776539104,NA,NA,NA
"Syr_Darya",0.0912053480456431,0.0216945907284996,19.2649071320623,0.0423404592573509,0.0112423437563998,24.5557938465509,0.04166875769954,0.00980608322477039,19.7475815161976,0.0803561411939455,0.0267988112885504,30.4055260457698,0.916618793322205,0.30072811139357,30.7791026724445,1.60730162160796,0.48163211292456,30.0190330794267,5.17552466560652,1.60531283453924,30.8782961195619,6.50350290519145,2.12263026245017,32.5981887130205,4.12326115176527,1.35920865025978,32.8290687791716,1.55335625204202,0.49107233127411,31.4302695415937,0.08299694922736,0.026284489549179,26.4813703541267,NA,NA,NA,0.0649642237748219,0.0195882083365842,8.69550701643949,0.031166239934619,0.00968314076496938,6.42879713383038,0.0259028055888321,0.00802640160113343,9.89813521016974,0.0901343101704859,0.0327217537616959,4.07204090053826,0.563011649233503,0.208057093247102,4.39098921159919,0.157292885914387,0.0672445654578383,3.5362419011764,0.474628022205689,0.253147345170231,2.51121749854371,0.61137024320011,0.336997548377253,3.81137862855553,0.565085693411682,0.268699695233451,4.03869409161529,0.25238523946395,0.119731775211476,4.27325980558606,0.124520239628337,0.0416607959950434,4.84717297619256,NA,NA,NA
"Salween",0.662948215513205,0.00695915277626395,1.0448699117706,0.647949829906311,0.00678445883202992,1.02643735732338,0.313075069096816,0.0027318299115094,0.886443969548245,0.055159677602139,0.000401319125720662,0.708618181344373,0.0719665006584224,0.0120032239148263,16.7161223934841,0.229334316817088,0.026398551629149,11.5297391247159,0.311098774413068,0.0210590220305211,6.65645757632633,0.390650372835335,0.0116839145373859,3.04621721308795,0.399108961224258,0.0064578297552853,1.5919731377956,0.152039474162683,0.00152300451490517,0.992014070129321,0.545650028739073,0.00614007909734405,1.12802582878668,NA,NA,NA,0.0140253059812209,0.00415136378841003,0.615081216493509,0.0311359804906375,0.00445383352954036,0.616595991077775,0.0172608265600972,0.00176939603417565,0.610229812981517,0.0147120518882994,0.000261759349152671,0.404706922754163,0.0105869614814295,0.00270155284924356,3.40140649564397,0.0201798050459942,0.00443170175498613,1.72699507222897,0.0178679951825449,0.0104121682321348,2.9974345239383,0.0223987905980671,0.00657974712074496,1.85834616471569,0.0191486245820045,0.00451852097607136,1.04859705571217,0.013040947742449,0.000900135570038867,0.578970650972225,0.00861104300059892,0.00303676196202044,0.56555771932487,NA,NA,NA
"Tarim",0.124034601367611,0.0460428947397708,36.9351049649025,0.212305787206787,0.0846368244788588,39.9884441837128,0.254623792573057,0.122140704412157,47.8292438248799,0.106134872741314,0.0501481332501189,47.5242005564618,4.81707874323913,2.24693706224731,45.8299269833422,5.82892991930095,2.36626372407231,40.5577243380777,8.32651380205734,3.34593600391512,40.1275111303597,6.6145106264427,2.10175291496965,31.5988406584076,2.4518126851062,0.721308350485454,29.3652941070488,0.66406907824359,0.248461891037049,37.0264598239565,0.106305318585707,0.0403400671652913,37.2976856053284,NA,NA,NA,0.0121307414466009,0.00845618242330247,3.95501483457011,0.0332019800328233,0.0158079617365624,5.29718619019554,0.0304183033444253,0.0255447450474213,7.66532075505376,0.0512428129906304,0.0242115175579144,4.13000279665317,0.502430621688451,0.722787650119441,9.53243135696644,0.305221305206916,0.230446208057058,2.68962335674013,0.208101763006235,0.392188020196637,3.94973389827945,0.412304662265642,0.382021032711344,3.59297103920766,0.105261989082018,0.123313787987296,4.4918925268921,0.198713908011143,0.090886661932386,4.24609568230392,0.039200846226827,0.0189375843751528,4.80731770593558,NA,NA,NA
