"irrigationGross","GrossIrr_km3_ps","GrossIrr_percent_ps","irrigationGross_stdev","GrossIrr_mm_ps_stdev","GrossIrr_percent_ps_stdev"
"Ganges",521.681681932739,14.2966713698657,2.74832225726589,31.8571028750206,4.72630603286739,0.907263095403259
"Mekong",96.4802482532221,0.228699258764607,0.232839170021765,6.71238139242986,0.0993396000529073,0.0931694299967854
"Irawaddy",34.9336996130601,0.010641524967332,0.0304647037290323,0.720584657433705,0.00210832361947386,0.00606867742546352
"Luni_ext",35.7586899567581,1.42414637541371,4.31734439872656,8.84210566504672,0.796326056998044,2.6086711722311
"Indus",273.380098032881,45.2279875652153,16.3141944806913,21.2921332350412,17.7982397269606,6.25513625787663
"Amu_Darya",1.45883840851944,0.318458007990301,21.0823503906457,0.306032470050565,0.137747497091194,6.19733448416045
"Brahmaputra",119.993041867422,1.18346005719324,0.954025388631848,9.99625162207579,0.696135352702431,0.524393223356867
"Syr_Darya",1.0348426840422,0.241018465447617,18.9353696842814,0.792790294624575,0.227474882844954,7.87127076509011
"Salween",7.9501370678402,0.0940094697830122,1.18063579741497,0.210845326290095,0.0275778445847184,0.338120289302482
"Tarim",1.20907797841654,0.374302318993822,31.8035133362628,0.327844544628639,0.12856487982076,9.23634206698082
"Ili",2.07280873242754,0.22297727740776,9.36388058089651,1.0831765503812,0.160151666442677,4.16718903753411
"Inner_Tibetan_Plateau",0.00335048174168036,0.000256871266278275,NA,0.00516573239158832,0.000395894954085252,NA
"Yangtze",345.966301157183,4.21276537748017,1.19754546809864,22.4456797748927,1.90986668104022,0.512006516386885
"Inner_Tibetan_Plateau_extended",1.07180261685896,0.123314728906063,12.5915555613777,0.352039015434213,0.0154107411032166,4.2312431522113
"Yellow",14.2344445298407,1.50468034962013,10.319619492806,5.8143872054077,0.7898422371828,2.41409829413186
"all_basins",1457.55662878962,69.485114797814,4.73372259214326,46.6196332055978,23.7942736583451,1.57578141113011
