"Jan_irrigationGross","Jan_GrossIrr_km3_pr","Jan_GrossIrr_percent_pr","Feb_irrigationGross","Feb_GrossIrr_km3_pr","Feb_GrossIrr_percent_pr","Mar_irrigationGross","Mar_GrossIrr_km3_pr","Mar_GrossIrr_percent_pr","Apr_irrigationGross","Apr_GrossIrr_km3_pr","Apr_GrossIrr_percent_pr","May_irrigationGross","May_GrossIrr_km3_pr","May_GrossIrr_percent_pr","Jun_irrigationGross","Jun_GrossIrr_km3_pr","Jun_GrossIrr_percent_pr","Jul_irrigationGross","Jul_GrossIrr_km3_pr","Jul_GrossIrr_percent_pr","Aug_irrigationGross","Aug_GrossIrr_km3_pr","Aug_GrossIrr_percent_pr","Sep_irrigationGross","Sep_GrossIrr_km3_pr","Sep_GrossIrr_percent_pr","Oct_irrigationGross","Oct_GrossIrr_km3_pr","Oct_GrossIrr_percent_pr","Nov_irrigationGross","Nov_GrossIrr_km3_pr","Nov_GrossIrr_percent_pr","Dec_irrigationGross","Dec_GrossIrr_km3_pr","Dec_GrossIrr_percent_pr","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pr_stdev","Jan_GrossIrr_percent_pr_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pr_stdev","Feb_GrossIrr_percent_pr_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pr_stdev","Mar_GrossIrr_percent_pr_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pr_stdev","Apr_GrossIrr_percent_pr_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pr_stdev","May_GrossIrr_percent_pr_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pr_stdev","Jun_GrossIrr_percent_pr_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pr_stdev","Jul_GrossIrr_percent_pr_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pr_stdev","Aug_GrossIrr_percent_pr_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pr_stdev","Sep_GrossIrr_percent_pr_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pr_stdev","Oct_GrossIrr_percent_pr_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pr_stdev","Nov_GrossIrr_percent_pr_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pr_stdev","Dec_GrossIrr_percent_pr_stdev"
"Ganges",40.9988976678308,34.8100500988982,86.0417285909227,45.9885197371367,34.3153041845236,74.8093969411088,35.5609761795995,24.9349577213258,70.163755166106,40.6861569882559,27.555486133458,68.2837973427406,50.4212131821832,24.4373276694525,48.5900705638607,67.7355813019191,18.7881467254947,28.6732776799358,19.5691954013954,11.8489347494952,62.4722039880117,29.98445222743,25.0451463585596,83.956488343156,46.1398878512325,40.7631173383163,88.6874592700758,28.9772374875163,26.0961609347071,90.3466571467107,36.0828436475897,32.6450571011232,90.8706565157283,NA,NA,NA,5.91620241418042,1.84884658578958,10.3190783876449,4.64887312478154,7.13711608564601,14.6267952523095,3.7697977760054,5.86446351126319,15.0348388060959,3.65124157713601,3.13214969778337,10.5273648432333,3.48391467587034,4.74364782675033,9.3145967971385,13.1653318280232,2.86905937267711,7.10417270963247,5.70910433181627,2.54522478351352,13.5250875569784,2.94734159058113,1.15204705591983,5.78353321185685,5.52926491228906,3.28887136279942,3.78482678870593,3.98353073022457,3.0983104683648,4.89348924388035,4.10668480544323,2.4379150160932,4.89664285715041,NA,NA,NA
"Mekong",7.69502653130647,7.67054471827742,99.6872853010621,5.67936679028941,5.65562076430256,99.5864116068973,2.34187874314474,2.33667362589305,99.7797956750152,1.25812070811466,1.25545180279022,99.7869432272258,3.78048735846437,3.77142899190987,99.7512896224635,4.05537689001638,4.00512993788178,98.7744517053357,4.71647733799454,4.64912966384625,98.6218638767733,3.99046593641523,3.9660313534865,99.3940117878535,3.37058233976075,3.35954304988104,99.6807998662623,2.78562177911279,2.78050623223863,99.8143246351374,6.83599567084041,6.827007633996,99.8702169336345,NA,NA,NA,0.293260607002373,0.279659323505574,0.247462456726545,0.234219519391714,0.227187255336848,0.376734045591173,0.140196744958404,0.138995021237969,0.135812462398384,0.277608875228747,0.276990646970797,0.0871232205611577,0.494326429732643,0.49643447467805,0.114462378473724,0.548257487214297,0.537532892898114,0.698567098674482,0.46940315908912,0.439876056688639,1.33725276810436,0.298208725628159,0.292826821521499,0.338251702072542,0.294836979328836,0.289869039045537,0.196900148175374,0.210332053762451,0.210851367825008,0.0784411890219221,0.610739957220151,0.608481962064975,0.0616084727607402,NA,NA,NA
"Irawaddy",2.98198836754955,2.98136116188805,99.9790066689116,3.1275734745515,3.12669123514137,99.9718914505835,1.40756247250564,1.40676607743248,99.9435160275008,0.273283955121907,0.27232710918683,99.6423730728229,0.115102493428939,0.114197119082596,99.2569027982539,0.37776633830183,0.377689985315532,99.9827387736785,1.41598316777725,1.41492237606149,99.9264990996887,1.54027682718117,1.53967184960098,99.9606036955245,1.5341444116743,1.53359303174436,99.9641742117188,0.563928418352351,0.563759770209488,99.9702155128127,2.46056464484228,2.46006615043939,99.9797811814458,NA,NA,NA,0.0474262637734539,0.0473256327171243,0.00538525046927934,0.0863926343321413,0.0862387443363316,0.0121635480613206,0.0350015173458483,0.0349195358989659,0.02973403038719,0.0685907277297845,0.0684777947322161,0.186039172973529,0.0551686647797151,0.0547029358925706,0.3088272354778,0.0721812365098573,0.0720847459047607,0.024797925711705,0.110761690422244,0.110353006254547,0.0262188926365621,0.0649836171791859,0.0650098689363259,0.00557430163781006,0.104759866374364,0.104692784691766,0.00475171408963134,0.0643443198129611,0.0643161716395596,0.00469023628940973,0.0494674974256441,0.0493979949208965,0.0053554017279994,NA,NA,NA
"Luni_ext",2.2840837528981,1.24611478668946,59.2580792046058,4.72318091398892,2.67654744314746,56.3227620742978,5.19156217875394,3.46544946659207,67.015740263494,6.98668926620485,4.61571962115869,66.2597618013266,7.68975480506043,3.55156959439731,46.4593086305898,4.72948341281619,1.52562088736395,32.4948360225779,2.17372096270696,1.0621575022011,52.8232890714093,3.93852407984833,2.54258639818973,65.0182992314108,5.04174969507516,3.50616990283605,70.2093933915544,4.14277099391722,2.79350243202385,68.6868357286494,2.79877450218126,1.76142989175131,64.3377068211733,NA,NA,NA,1.09391723992697,0.460551462792082,14.9115307696945,0.374746939711042,0.711571147271274,12.863828442557,0.672947486927827,0.585657649013615,9.44421392763134,0.852988461073179,0.566192980422614,5.56889641928398,0.76565141562082,0.439427318470983,6.20550001807803,0.758167440281649,0.216341882390274,3.58829306647478,0.752433156222254,0.161868652236677,18.0422410415257,0.36645710422723,0.344724640400561,10.5111892894311,0.762919817180376,0.438042076090055,8.98801003350631,0.543548035385767,0.458887556243591,14.8629023387918,0.438659955932683,0.258933686036252,13.039919521764,NA,NA,NA
"Indus",16.9417789395754,12.408207270582,74.0738639369655,24.8021031281466,18.7241249078235,75.5106735384607,27.374860414373,22.2818032884691,81.5051544114531,39.7620878340165,32.7023023944844,82.4411237751665,26.4623565001657,18.9554560026449,71.957510685303,58.6885616769156,29.9364460009135,51.3780449828895,42.2605931691026,20.7966759890895,49.8857843360496,63.1743377196025,39.3696700405476,62.5639066836264,63.8060278575415,41.0112999245779,64.4350035368177,26.4736385400992,17.7695788988008,67.1641254514225,32.49893845018,22.4064106474647,69.0421979498865,NA,NA,NA,6.00785831061418,3.93918630572516,3.98627046193272,2.28096190115656,1.84141082325368,2.83523835662438,2.9853966529404,2.13733041872566,1.58486781645013,7.72997251667797,5.8886968191681,2.16577201604491,2.92437639618461,1.88708243699728,6.25107805763921,7.67446498639293,3.86984204544972,6.32376326148484,7.76262201396361,3.09063760604476,7.13219101051869,5.7332194738028,3.025928413228,5.0758024259966,7.51526566309654,4.25960075480471,3.17165668148298,2.0668780331177,1.69655543795886,4.18878840939281,2.21853003948997,1.49353754223139,3.72509406083152,NA,NA,NA
"Amu_Darya",0.110126990810109,0.0643093396529959,60.2032198278469,0.107676742270613,0.0580225395122342,55.6611595950819,0.16975925313718,0.127673708697721,72.6111111388562,0.763164022753725,0.518444582962104,67.9753478378336,3.33776392727524,2.03799190486564,61.6406497519869,3.55996871263601,1.88854452567769,53.257012853519,8.0140903207967,3.40349076780222,42.5664286182829,9.29272469974719,3.47767255919644,37.5085058070488,5.64823156574219,2.14934958043256,38.0110488632883,3.03275068799657,1.16890220654057,38.5486596451118,0.527175810404174,0.212181280299748,40.6526741872923,NA,NA,NA,0.0332069728696483,0.010891272605965,9.30855667886346,0.0912626214303099,0.0476988814897789,18.2254091936172,0.137753820070481,0.108488359779498,8.09808069456564,0.272898599203002,0.188945393998477,3.9061533297554,0.601528834115823,0.319902598668536,6.50446583800151,0.300537820925079,0.135980896223345,4.80842979967413,0.525219960383175,0.244886961831803,3.41466496417716,0.577485479358821,0.299784398915606,3.42831048257221,0.4567505363356,0.262793868268841,2.84396793440193,0.207745346358756,0.104259486775269,2.39930878753754,0.341283805478494,0.126294763901707,5.92722593211001,NA,NA,NA
"Brahmaputra",10.5335492554043,10.1960469757096,96.8230451964294,11.0500292459899,10.4377820410154,94.4505722003436,11.951058546353,11.1509749760551,93.3292835749812,4.56598398733574,4.24653700914108,92.9587212948891,7.49692039909835,7.09235638401107,94.8217987449956,7.00657930272883,6.59743036306428,94.4228160479958,8.93206188362583,8.62421124233824,96.4894876291044,7.81460330828852,7.65628560340818,97.9725734135038,8.02081671023991,7.89218663012091,98.4151993254347,8.6330210098584,8.55595960793104,99.1042243424495,4.73936116542984,4.68078678401764,98.7514391687155,NA,NA,NA,0.442630473649685,0.361563924250023,1.1076665722133,0.436560373955556,0.474936924236947,1.60396668141941,0.397614221414962,0.344694026177614,1.99822875135509,0.485088575900099,0.486685380986334,1.7754749931718,0.999968639495955,0.779901232770663,2.01955788341584,1.6989920599239,1.49982412631125,1.81650800271647,1.86617353356575,1.83504534163315,1.32937693067279,0.605732487434242,0.602576329282815,0.879799664631174,0.873354633775765,0.845356626314608,0.49275382334608,0.377862421646812,0.381745189480938,0.404217903234693,0.347496959553322,0.355320120941855,0.740524812392998,NA,NA,NA
"Syr_Darya",0.0912053480456431,0.0522782416929696,52.6797507844361,0.0423404592573509,0.0264254336567546,64.8105189106152,0.04166875769954,0.0224899397542799,46.7053101259014,0.0803561411939455,0.0517139947347308,67.5642481484807,0.916618793322205,0.602896528215502,67.9396978621583,1.60730162160796,1.09292032454711,67.9070520258469,5.17552466560652,3.3603791915971,65.0505024957161,6.50350290519145,3.96148803618932,60.9972127686355,4.12326115176527,2.48842371256321,60.4779711312653,1.55335625204202,0.976988933497343,63.1030649827232,0.08299694922736,0.0516964381256741,68.2651343699911,NA,NA,NA,0.0649642237748219,0.0412810418362115,9.87744837366308,0.031166239934619,0.017910343954118,5.10614883725338,0.0259028055888321,0.0171462837446539,15.6352033916899,0.0901343101704859,0.0553061745429901,4.48446648371901,0.563011649233503,0.347976392802604,4.62896535968261,0.157292885914387,0.135748817752445,4.24557243238718,0.474628022205689,0.247283621051675,2.52905702321584,0.61137024320011,0.379998977682114,3.77066058402742,0.565085693411682,0.346966985848435,4.04720285639662,0.25238523946395,0.144777086596052,4.3604223467693,0.124520239628337,0.0759666501612431,6.04710066850579,NA,NA,NA
"Salween",0.662948215513205,0.655975609632643,98.9531020630606,0.647949829906311,0.641149262973727,98.9710871152631,0.313075069096816,0.310325585431714,99.1078203851185,0.055159677602139,0.0547539953148513,99.2838673481678,0.0719665006584224,0.0599417996186568,83.2541960674469,0.229334316817088,0.200567017507069,87.4567537248925,0.311098774413068,0.285864919164618,91.9883318921383,0.390650372835335,0.37328402520979,95.5055311849654,0.399108961224258,0.388646720685722,97.4045259762209,0.152039474162683,0.14954814316733,98.3753007792866,0.545650028739073,0.539401773752424,98.8520642559335,NA,NA,NA,0.0140253059812209,0.0125494321714376,0.614812683473437,0.0311359804906375,0.0273720107537663,0.616917953469789,0.0172608265600972,0.0181404682366954,0.613795946837332,0.0147120518882994,0.0146023349596589,0.407336328310301,0.0105869614814295,0.00953019219567421,3.42502799215184,0.0201798050459942,0.0179248733998149,1.56282797268858,0.0178679951825449,0.0113276915433055,2.65980763776039,0.0223987905980671,0.025793207369659,1.73933739758948,0.0191486245820045,0.0164101560718329,1.10953204991067,0.013040947742449,0.0125962289003627,0.640485455450108,0.00861104300059892,0.0101094918596845,0.573075352659708,NA,NA,NA
"Tarim",0.124034601367611,0.0755213904500718,61.0391579323074,0.212305787206787,0.123385102389894,58.0544593170231,0.254623792573057,0.125515894916219,49.3856589990518,0.106134872741314,0.0547123351533959,51.003246241785,4.81707874323913,2.4869933244756,52.5019949102142,5.82892991930095,3.1359439063716,53.8303605867498,8.32651380205734,3.72775697863715,44.8275283240055,6.6145106264427,3.35415966094257,50.9658297117081,2.4518126851062,1.39624649291298,57.0589793987062,0.66406907824359,0.398062459739914,60.3498474844386,0.106305318585707,0.0644783577923439,61.3234105717324,NA,NA,NA,0.0121307414466009,0.00675492610344177,3.80710295850588,0.0332019800328233,0.0245219930000468,5.25774152410999,0.0304183033444253,0.0236082884537872,7.5728188627821,0.0512428129906304,0.0276267007610985,4.14601258261913,0.502430621688451,0.287976497829169,10.2427330580976,0.305221305206916,0.217596372065386,3.29500717459607,0.208101763006235,0.305031332070046,4.30429739517734,0.412304662265642,0.161892741366427,5.10123075678281,0.105261989082018,0.145095660454037,6.60038910414378,0.198713908011143,0.112997775737094,4.62648744054675,0.039200846226827,0.0217092047596377,4.96614381620801,NA,NA,NA
