"irrigationGross","GrossIrr_km3_pgi","GrossIrr_percent_pgi","irrigationGross_stdev","GrossIrr_mm_pgi_stdev","GrossIrr_percent_pgi_stdev"
"Ganges",451.324500976215,4.43660869000846,0.977117766364998,23.3160610349386,1.52556390749326,0.307411376373923
"Mekong",52.2291403109556,0.00200233930331074,0.00381284850060065,2.14838450370722,0.000629392562756666,0.00112583305596526
"Irawaddy",17.2050514569487,0.000204086226146592,0.00118570568820789,0.403999091828801,4.11469627038274e-05,0.000233447168299027
"Luni_ext",54.8018112056589,0.663793023723738,1.20700650677843,3.21218710723978,0.166578994000328,0.279990555169787
"Indus",418.462353670404,20.3672292516902,4.8463922424746,23.8184378378346,5.20741214863104,1.12786788574674
"Amu_Darya",34.9122791790269,2.47957213398107,7.02545820241955,2.09919212258922,0.815733960824614,2.0347093321951
"Brahmaputra",94.4424471464681,0.110465644931598,0.116577687190111,2.54743203566303,0.0237092783610229,0.0228990971702348
"Syr_Darya",18.8137262205193,0.70980665278789,3.66562032420401,2.16689454251611,0.314217413043758,1.26696789900089
"Salween",4.26125472479295,0.0106562348292898,0.250032182951701,0.0968277169313398,0.00228131350145275,0.0530661647007349
"Tarim",30.8473335834219,2.843605978112,9.08644477950282,1.90916315547261,1.04069959182474,2.92997550761236
"Ili",34.2183246325653,3.39853731716543,9.88241856918856,1.67029716643506,0.885762448063187,2.33940483984182
"Inner_Tibetan_Plateau",0.0995718621228868,0.00240003562796646,2.39783527641395,0.00224002345534974,0.00180051259975432,1.78737261178416
"Yangtze",389.918214049512,0.185059570472289,0.0465346108220306,15.5024048752251,0.116559423364962,0.0271259687631747
"Inner_Tibetan_Plateau_extended",10.2445767618645,0.350042967583749,3.40149786614253,0.381851522807457,0.164399715937962,1.56474472466281
"Yellow",79.6648773209309,0.0280499779523125,0.0348783061144988,8.10064664232153,0.00860116406380828,0.00909886801875408
"all_basins",1693.19228955187,35.6504763200982,2.10174004743172,49.3364008835629,7.7256246143075,0.435643090644856
