"Jan_irrigationGross","Jan_GrossIrr_km3_pgn","Jan_GrossIrr_percent_pgn","Feb_irrigationGross","Feb_GrossIrr_km3_pgn","Feb_GrossIrr_percent_pgn","Mar_irrigationGross","Mar_GrossIrr_km3_pgn","Mar_GrossIrr_percent_pgn","Apr_irrigationGross","Apr_GrossIrr_km3_pgn","Apr_GrossIrr_percent_pgn","May_irrigationGross","May_GrossIrr_km3_pgn","May_GrossIrr_percent_pgn","Jun_irrigationGross","Jun_GrossIrr_km3_pgn","Jun_GrossIrr_percent_pgn","Jul_irrigationGross","Jul_GrossIrr_km3_pgn","Jul_GrossIrr_percent_pgn","Aug_irrigationGross","Aug_GrossIrr_km3_pgn","Aug_GrossIrr_percent_pgn","Sep_irrigationGross","Sep_GrossIrr_km3_pgn","Sep_GrossIrr_percent_pgn","Oct_irrigationGross","Oct_GrossIrr_km3_pgn","Oct_GrossIrr_percent_pgn","Nov_irrigationGross","Nov_GrossIrr_km3_pgn","Nov_GrossIrr_percent_pgn","Dec_irrigationGross","Dec_GrossIrr_km3_pgn","Dec_GrossIrr_percent_pgn","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pgn_stdev","Jan_GrossIrr_percent_pgn_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pgn_stdev","Feb_GrossIrr_percent_pgn_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pgn_stdev","Mar_GrossIrr_percent_pgn_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pgn_stdev","Apr_GrossIrr_percent_pgn_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pgn_stdev","May_GrossIrr_percent_pgn_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pgn_stdev","Jun_GrossIrr_percent_pgn_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pgn_stdev","Jul_GrossIrr_percent_pgn_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pgn_stdev","Aug_GrossIrr_percent_pgn_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pgn_stdev","Sep_GrossIrr_percent_pgn_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pgn_stdev","Oct_GrossIrr_percent_pgn_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pgn_stdev","Nov_GrossIrr_percent_pgn_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pgn_stdev","Dec_GrossIrr_percent_pgn_stdev"
"Ganges",40.9988976678308,0.0460715627021833,0.107447492115659,45.9885197371367,0.0346293475107104,0.0755081380350116,35.5609761795995,0.0166097133344353,0.0468506042399831,40.6861569882559,0.0258923894409717,0.0624427425311926,50.4212131821832,0.167495574007038,0.329981891059815,67.7355813019191,1.92365020480905,2.87368214436101,19.5691954013954,0.54769979201821,2.75725534146149,29.98445222743,0.403962999431736,1.30877513316252,46.1398878512325,0.383391883634067,0.80104684885756,28.9772374875163,0.145496090782974,0.483314659443202,36.0828436475897,0.0713698832307917,0.192155558378908,NA,NA,NA,5.91620241418042,0.026497305056164,0.0487708453824734,4.64887312478154,0.0118081666976772,0.0248886161097129,3.7697977760054,0.00561833838787763,0.0157106819468187,3.65124157713601,0.0100684275735815,0.0191514185099015,3.48391467587034,0.0676876622647128,0.131344006177976,13.1653318280232,0.576512991096373,0.797515077026468,5.70910433181627,0.233193035069763,0.972926407047661,2.94734159058113,0.203869287386674,0.560948076801506,5.52926491228906,0.223349002827022,0.3860435756159,3.98353073022457,0.0854857562016981,0.217894133844738,4.10668480544323,0.0364000015947521,0.0813012373066794,NA,NA,NA
"Mekong",7.69502653130647,6.31234657724602e-05,0.000810548433466548,5.67936679028941,1.47326178178084e-05,0.000258602502117003,2.34187874314474,4.02576186376878e-06,0.000172286599935402,1.25812070811466,2.13829689189396e-06,0.000165558881316522,3.78048735846437,1.42975280293137e-05,0.000401936630377632,4.05537689001638,0.000270310760212198,0.00688913197128884,4.71647733799454,0.000305697242341056,0.00637434811246073,3.99046593641523,0.000387034702585606,0.00976961237618456,3.37058233976075,0.000344062963648121,0.0101810508479934,2.78562177911279,0.000319721147969624,0.011514605831612,6.83599567084041,0.000338637824303858,0.0049402666523056,NA,NA,NA,0.293260607002373,3.24599722599257e-05,0.000393815854644096,0.234219519391714,4.76840687040401e-06,7.9910562407045e-05,0.140196744958404,1.49487601592047e-06,6.57324800069206e-05,0.277608875228747,1.22666609205602e-06,6.57730670836678e-05,0.494326429732643,1.66192827017631e-05,0.000491715234658045,0.548257487214297,0.000151715203756332,0.00408615867928211,0.46940315908912,0.000120578879837511,0.00200394568348355,0.298208725628159,5.1459370579501e-05,0.00173104991379643,0.294836979328836,5.97978498192042e-05,0.00132728164210388,0.210332053762451,4.88502296214544e-05,0.00177215681729573,0.610739957220151,0.000117387090358071,0.00162490008826052,NA,NA,NA
"Irawaddy",2.98198836754955,2.10854422500614e-07,7.07901874149181e-06,3.1275734745515,3.55997944956156e-07,1.12995877393784e-05,1.40756247250564,1.52309170543153e-07,1.07660613197272e-05,0.273283955121907,1.24364303802796e-07,4.4592076369156e-05,0.115102493428939,2.60009653550429e-06,0.00159598577820919,0.37776633830183,2.47541341664568e-06,0.000514667661482647,1.41598316777725,9.67846539400094e-05,0.00677879684689122,1.54027682718117,0.000110128521816939,0.00719282196803508,1.5341444116743,9.89267369376972e-05,0.0063898876466331,0.563928418352351,2.08438066055057e-05,0.00370584267636537,2.46056464484228,1.16771705738156e-05,0.000478004962650892,NA,NA,NA,0.0474262637734539,1.00963793801673e-07,3.4032481877249e-06,0.0863926343321413,2.55180533726714e-07,8.02054903125126e-06,0.0350015173458483,9.60776357521745e-08,6.64625874851524e-06,0.0685907277297845,1.05896449746994e-07,3.86290147589201e-05,0.0551686647797151,4.00708901903876e-06,0.00182576777771548,0.0721812365098573,5.63359910991006e-06,0.00114491247531081,0.110761690422244,2.58877070782001e-05,0.00152637075515298,0.0649836171791859,2.65629282918451e-05,0.0018642671397029,0.104759866374364,2.65675912634189e-05,0.00136474183197019,0.0643443198129611,5.1070726408224e-06,0.00089500287572918,0.0494674974256441,8.26244920448678e-06,0.000345187510947689,NA,NA,NA
"Luni_ext",2.2840837528981,0.00530197460068528,0.243320659682431,4.72318091398892,0.00770140590921755,0.1613954473748,5.19156217875394,0.00718691844564672,0.138098155681962,6.98668926620485,0.00779477603435981,0.113363063560556,7.68975480506043,0.00574890493496854,0.0750678085330695,4.72948341281619,0.00657505237771402,0.141695539948735,2.17372096270696,0.00957979434890901,0.391085625987384,3.93852407984833,0.0219131734979293,0.551807395562938,5.04174969507516,0.037174312001115,0.71995511835453,4.14277099391722,0.0248035950954329,0.580597889360277,2.79877450218126,0.0158231161069642,0.549422697523277,NA,NA,NA,1.09391723992697,0.00213828413746732,0.0533326325926466,0.374746939711042,0.00252654513925316,0.0435892972219648,0.672947486927827,0.0017543091120057,0.0266045523534196,0.852988461073179,0.00157596192604618,0.0266137986839126,0.76565141562082,0.00167296267168039,0.0219143935228765,0.758167440281649,0.00213081917497126,0.0520479494777763,0.752433156222254,0.00790396120630379,0.192866393793878,0.36645710422723,0.00832362626587074,0.184666517584989,0.762919817180376,0.0196694397761419,0.289080168959515,0.543548035385767,0.0116083930891622,0.207853887264067,0.438659955932683,0.00619022864641972,0.143954206988833,NA,NA,NA
"Indus",16.9417789395754,0.131661081500805,0.761287265666474,24.8021031281466,0.153720599749442,0.627970135113693,27.374860414373,0.102669134193183,0.377342261511881,39.7620878340165,0.101291055372061,0.265181211308067,26.4623565001657,0.0755375915721113,0.287670617376341,58.6885616769156,0.449602395494138,0.762662798053725,42.2605931691026,0.439505844152569,1.02114278509649,63.1743377196025,0.933574317661864,1.46297051372971,63.8060278575415,1.2897865567039,1.98858971571284,26.4736385400992,0.500581000493061,1.88329580228255,32.49893845018,0.353623720287644,1.07909149437836,NA,NA,NA,6.00785831061418,0.0587344830082633,0.110712111079901,2.28096190115656,0.0239176422697382,0.136140250414331,2.9853966529404,0.020819884075144,0.0792040547226946,7.72997251667797,0.0244551674458486,0.0966438106006405,2.92437639618461,0.0258959903173199,0.102385830443043,7.67446498639293,0.141844228234393,0.197893594350817,7.76262201396361,0.145611398419963,0.175304284160785,5.7332194738028,0.263106156118376,0.324156575766173,7.51526566309654,0.459260651663059,0.529897637657988,2.0668780331177,0.136351257061091,0.445870023688161,2.21853003948997,0.0828810701457313,0.201597620047372,NA,NA,NA
"Amu_Darya",0.110126990810109,0.000901462159048635,0.80178124965677,0.107676742270613,0.000671657892326731,0.57467973549643,0.16975925313718,0.000476382576694228,0.2571318494795,0.763164022753725,0.00158195691745336,0.20362775111401,3.33776392727524,0.0162678985929492,0.467474115986886,3.55996871263601,0.0343858856739564,0.957286254564941,8.0140903207967,0.130397694482024,1.62841219163537,9.29272469974719,0.22052695323715,2.39199113774513,5.64823156574219,0.132927507480462,2.33697359858728,3.03275068799657,0.0533104344908778,1.75549248892475,0.527175810404174,0.00481866689982548,0.964996557549148,NA,NA,NA,0.0332069728696483,0.000380670795534641,0.170558213819419,0.0912626214303099,0.000837578872122264,0.273575480552025,0.137753820070481,0.000589855518570517,0.204818934692774,0.272898599203002,0.000747423062303139,0.0573811726996281,0.601528834115823,0.0071865766101949,0.153516205940379,0.300537820925079,0.00910146173939373,0.20030034862355,0.525219960383175,0.0258103509588983,0.301821369145925,0.577485479358821,0.0272417300526531,0.412610983753731,0.4567505363356,0.0317773398888153,0.419332218316958,0.207745346358756,0.0103526164335263,0.303967736429846,0.341283805478494,0.00287491561413429,0.148867224085696,NA,NA,NA
"Brahmaputra",10.5335492554043,0.00182837712766574,0.0172148578704376,11.0500292459899,0.00195553614588213,0.0177568057616118,11.951058546353,0.00295427493337922,0.024670239609452,4.56598398733574,0.00214520123042007,0.0474287742698918,7.49692039909835,0.00889878171680617,0.115273039814811,7.00657930272883,0.0520103122986919,0.694137941215874,8.93206188362583,0.0557124329543329,0.624977375700485,7.81460330828852,0.035185016886436,0.452479972868679,8.02081671023991,0.0234616447473191,0.290736377242983,8.6330210098584,0.00873317835354431,0.102481925708252,4.73936116542984,0.00188264954936319,0.0405972288885094,NA,NA,NA,0.442630473649685,0.000786573342021495,0.00709111906377754,0.436560373955556,0.00051801201448665,0.00483926103445288,0.397614221414962,0.000749964360245846,0.00588014216067871,0.485088575900099,0.00080017199547309,0.0179731963822089,0.999968639495955,0.00421939842156976,0.0406948597918043,1.6989920599239,0.0322292867305582,0.270587898261117,1.86617353356575,0.026867788526785,0.285029908712367,0.605732487434242,0.0178314939218351,0.232807842617644,0.873354633775765,0.00837802682989325,0.0956445518051187,0.377862421646812,0.00469222360214387,0.0598950239589831,0.347496959553322,0.00165794498712684,0.0369391223907402,NA,NA,NA
"Syr_Darya",0.0912053480456431,0.000578990952123046,0.532046583274872,0.0423404592573509,0.000283036696464054,0.626913740361322,0.04166875769954,0.000255494222006046,0.45363988142126,0.0803561411939455,0.000437733531237353,0.491341192874243,0.916618793322205,0.00426026689125535,0.392668790037835,1.60730162160796,0.0117121461050624,0.739702824472297,5.17552466560652,0.0823986939155861,1.60940136973445,6.50350290519145,0.144561244633268,2.22573536941025,4.12326115176527,0.0866628540903379,2.10803362696965,1.55335625204202,0.0255672565609101,1.65298564151519,0.08299694922736,0.00100136765125676,1.40354238581752,NA,NA,NA,0.0649642237748219,0.000562834878648558,0.248755210687346,0.031166239934619,0.000284522676961386,0.25723362022064,0.0259028055888321,0.000254582753922744,0.372936278123385,0.0901343101704859,0.000515919339542084,0.139393046975236,0.563011649233503,0.00389118354820936,0.170271234449482,0.157292885914387,0.00382382367150677,0.289316405413351,0.474628022205689,0.0114431061726863,0.292611418220021,0.61137024320011,0.0192734503698119,0.247866483824676,0.565085693411682,0.0126109831118417,0.182802167157522,0.25238523946395,0.00386855133193631,0.136643959458503,0.124520239628337,0.00137139017687552,0.257049281443762,NA,NA,NA
"Salween",0.662948215513205,5.87980366920513e-06,0.000886560348808522,0.647949829906311,7.68009200783283e-06,0.00117940244826651,0.313075069096816,1.20585598533397e-05,0.00392567703353662,0.055159677602139,2.77123630075629e-06,0.0048549153219356,0.0719665006584224,1.22056978576122e-05,0.0169236946595768,0.229334316817088,0.0013073814789037,0.560180864766654,0.311098774413068,0.00189172545105535,0.614555114164058,0.390650372835335,0.00233581502966682,0.596745772610692,0.399108961224258,0.0016375721244014,0.410640604545082,0.152039474162683,0.000401149294426357,0.262202811813995,0.545650028739073,5.21391557942638e-05,0.00959958896355706,NA,NA,NA,0.0140253059812209,1.08041796807681e-06,0.000160086592803123,0.0311359804906375,2.05436137483846e-06,0.000269897702503756,0.0172608265600972,7.91703648249978e-06,0.00274983785456295,0.0147120518882994,1.24725085174611e-06,0.00186588672447905,0.0105869614814295,1.0732444900276e-05,0.0151718959981284,0.0201798050459942,0.000671881347901294,0.273235657839732,0.0178679951825449,0.000459304091931593,0.168683501068484,0.0223987905980671,0.000269989281274157,0.0468441167972206,0.0191486245820045,0.000136011337776856,0.0331817441424144,0.013040947742449,8.04457469811389e-05,0.0343213763581606,0.00861104300059892,2.28890474181173e-05,0.00431816021263145,NA,NA,NA
"Tarim",0.124034601367611,0.000291357428613905,0.240117847310495,0.212305787206787,0.000290433193010659,0.135859471722214,0.254623792573057,0.000177596305585586,0.0706803010038922,0.106134872741314,0.000106113660752806,0.104217640380048,4.81707874323913,0.0152384791948334,0.316308165282129,5.82892991930095,0.0450281361659907,0.779309654850878,8.32651380205734,0.167052973763008,2.0069674202728,6.6145106264427,0.143248585294489,2.17704630791389,2.4518126851062,0.039567653617702,1.61858907964577,0.66406907824359,0.00227613905558986,0.346886703526929,0.106305318585707,0.000199125188948938,0.18751596866427,NA,NA,NA,0.0121307414466009,7.19322162160935e-05,0.0804956149354387,0.0332019800328233,7.10965543134594e-05,0.0182817356875352,0.0304183033444253,2.26370092771616e-05,0.0133573716579931,0.0512428129906304,5.05550254193199e-05,0.030751069846196,0.502430621688451,0.00405701495618658,0.0727963120275802,0.305221305206916,0.0121029079388205,0.244468100365565,0.208101763006235,0.0182932752231818,0.225348058105243,0.412304662265642,0.0170171047818703,0.325100605237051,0.105261989082018,0.00566868700163805,0.263721740516041,0.198713908011143,0.000612067494409042,0.0338367528999004,0.039200846226827,0.000110111458804796,0.0860223204784004,NA,NA,NA
