"","1980-01-01","1980-02-01","1980-03-01","1980-04-01","1980-05-01","1980-06-01","1980-07-01","1980-08-01","1980-09-01","1980-10-01","1980-11-01","1980-12-01","1981-01-01","1981-02-01","1981-03-01","1981-04-01","1981-05-01","1981-06-01","1981-07-01","1981-08-01","1981-09-01","1981-10-01","1981-11-01","1981-12-01","1982-01-01","1982-02-01","1982-03-01","1982-04-01","1982-05-01","1982-06-01","1982-07-01","1982-08-01","1982-09-01","1982-10-01","1982-11-01","1982-12-01","1983-01-01","1983-02-01","1983-03-01","1983-04-01","1983-05-01","1983-06-01","1983-07-01","1983-08-01","1983-09-01","1983-10-01","1983-11-01","1983-12-01","1984-01-01","1984-02-01","1984-03-01","1984-04-01","1984-05-01","1984-06-01","1984-07-01","1984-08-01","1984-09-01","1984-10-01","1984-11-01","1984-12-01","1985-01-01","1985-02-01","1985-03-01","1985-04-01","1985-05-01","1985-06-01","1985-07-01","1985-08-01","1985-09-01","1985-10-01","1985-11-01","1985-12-01","1986-01-01","1986-02-01","1986-03-01","1986-04-01","1986-05-01","1986-06-01","1986-07-01","1986-08-01","1986-09-01","1986-10-01","1986-11-01","1986-12-01","1987-01-01","1987-02-01","1987-03-01","1987-04-01","1987-05-01","1987-06-01","1987-07-01","1987-08-01","1987-09-01","1987-10-01","1987-11-01","1987-12-01","1988-01-01","1988-02-01","1988-03-01","1988-04-01","1988-05-01","1988-06-01","1988-07-01","1988-08-01","1988-09-01","1988-10-01","1988-11-01","1988-12-01","1989-01-01","1989-02-01","1989-03-01","1989-04-01","1989-05-01","1989-06-01","1989-07-01","1989-08-01","1989-09-01","1989-10-01","1989-11-01","1989-12-01","1990-01-01","1990-02-01","1990-03-01","1990-04-01","1990-05-01","1990-06-01","1990-07-01","1990-08-01","1990-09-01","1990-10-01","1990-11-01","1990-12-01","1991-01-01","1991-02-01","1991-03-01","1991-04-01","1991-05-01","1991-06-01","1991-07-01","1991-08-01","1991-09-01","1991-10-01","1991-11-01","1991-12-01","1992-01-01","1992-02-01","1992-03-01","1992-04-01","1992-05-01","1992-06-01","1992-07-01","1992-08-01","1992-09-01","1992-10-01","1992-11-01","1992-12-01","1993-01-01","1993-02-01","1993-03-01","1993-04-01","1993-05-01","1993-06-01","1993-07-01","1993-08-01","1993-09-01","1993-10-01","1993-11-01","1993-12-01","1994-01-01","1994-02-01","1994-03-01","1994-04-01","1994-05-01","1994-06-01","1994-07-01","1994-08-01","1994-09-01","1994-10-01","1994-11-01","1994-12-01","1995-01-01","1995-02-01","1995-03-01","1995-04-01","1995-05-01","1995-06-01","1995-07-01","1995-08-01","1995-09-01","1995-10-01","1995-11-01","1995-12-01","1996-01-01","1996-02-01","1996-03-01","1996-04-01","1996-05-01","1996-06-01","1996-07-01","1996-08-01","1996-09-01","1996-10-01","1996-11-01","1996-12-01","1997-01-01","1997-02-01","1997-03-01","1997-04-01","1997-05-01","1997-06-01","1997-07-01","1997-08-01","1997-09-01","1997-10-01","1997-11-01","1997-12-01","1998-01-01","1998-02-01","1998-03-01","1998-04-01","1998-05-01","1998-06-01","1998-07-01","1998-08-01","1998-09-01","1998-10-01","1998-11-01","1998-12-01","1999-01-01","1999-02-01","1999-03-01","1999-04-01","1999-05-01","1999-06-01","1999-07-01","1999-08-01","1999-09-01","1999-10-01","1999-11-01","1999-12-01","2000-01-01","2000-02-01","2000-03-01","2000-04-01","2000-05-01","2000-06-01","2000-07-01","2000-08-01","2000-09-01","2000-10-01","2000-11-01","2000-12-01","2001-01-01","2001-02-01","2001-03-01","2001-04-01","2001-05-01","2001-06-01","2001-07-01","2001-08-01","2001-09-01","2001-10-01","2001-11-01","2001-12-01","2002-01-01","2002-02-01","2002-03-01","2002-04-01","2002-05-01","2002-06-01","2002-07-01","2002-08-01","2002-09-01","2002-10-01","2002-11-01","2002-12-01","2003-01-01","2003-02-01","2003-03-01","2003-04-01","2003-05-01","2003-06-01","2003-07-01","2003-08-01","2003-09-01","2003-10-01","2003-11-01","2003-12-01","2004-01-01","2004-02-01","2004-03-01","2004-04-01","2004-05-01","2004-06-01","2004-07-01","2004-08-01","2004-09-01","2004-10-01","2004-11-01","2004-12-01","2005-01-01","2005-02-01","2005-03-01","2005-04-01","2005-05-01","2005-06-01","2005-07-01","2005-08-01","2005-09-01","2005-10-01","2005-11-01","2005-12-01","2006-01-01","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01"
"Ganges",72.9156139312338,48.8411453506678,36.94937886019,36.1348676668755,27.6997992981498,26.2826265595731,79.4491837342151,84.4476037659487,86.2051888561795,86.2901973162706,84.9947591710129,87.2310673008889,81.9295858304279,59.9725560269117,48.6064950569839,43.1201811634549,38.612875301905,40.651571385146,75.0574278821032,85.6137419894868,89.0690656694069,93.2344011518539,93.5994783988437,89.7576297803819,84.7525368662619,74.9732496264478,62.7575308006713,60.1771852122463,54.6547418796635,31.1205402211142,58.2986425831436,79.2871260438379,82.2730723609898,83.8561800809377,80.2424618856037,84.2824657843922,81.9775207882051,58.8532726552663,44.4028924799574,51.9633661236958,48.1013210884635,27.1357533341744,65.1006192683315,89.7020781223709,94.1520441767923,95.0530496423049,94.0429696486435,93.8091676029244,85.431277685595,78.2395400026102,77.98762018909,60.0747960315204,35.0569787175413,32.2040647586247,72.6177091856638,84.2938233637302,88.8296569078704,89.8637451204721,86.7785062792829,83.619591791255,71.9906011167548,50.6314444268674,34.8542900807794,31.620134546892,25.438175116969,18.4351217336168,64.4218080282683,82.1197134779846,86.0426543531987,92.7666837334121,89.878663126568,88.4387570968742,75.8433571080031,69.4075522209619,61.3151179902839,53.9425193179687,43.5407773295137,28.6973051371101,69.2735681447059,73.5957242385666,82.1640800592814,84.9571696292725,82.8521057212814,81.7321194451551,71.7505954015509,53.3859010807008,44.2796489322663,38.0854239047806,35.7418032222278,17.2668253362921,32.2845149914346,62.5053407874786,73.8559495839001,80.8490542517511,75.1119353893121,71.7580213892369,60.4047911515097,39.7858101845313,32.7722200591215,35.037197539802,26.8959872673208,23.703715984099,74.4985830758229,88.5733036445799,92.9451428151853,93.1443003135249,93.7027648763192,92.9303744982589,88.5182324129431,68.7960270137856,61.3022858446006,57.8509762405248,34.1078960735832,22.4182420116959,66.9886564856958,85.6249528981229,87.2471705963889,88.0292949453164,86.0947497668596,82.6070801188369,65.499331388266,58.6663109922647,67.9049080058141,57.7596272837926,42.1254617865771,32.9388610291801,76.8398050495087,87.4693623570628,92.7874122420533,93.2015726323328,94.6449758584922,95.6376764030321,84.7113300328266,81.0664538519776,78.497261753603,76.2216407695508,50.4831041248063,27.3895212713735,61.3811865329359,78.7613272240609,86.5350126452351,88.2893211677148,86.1789540839801,80.6625343473989,81.1208809987507,63.8108626241505,52.0752079537589,46.732049774857,34.7830560438527,21.5556619089685,55.0898386194223,82.0801596819285,88.7745147697017,89.4808376360836,86.6224409182236,79.7478580681811,70.2038991759408,46.95735647801,50.4902810074173,51.975057427311,40.0691812276537,32.6761887680893,71.6702931672399,75.8685133652777,91.9438171430599,92.3322812011725,91.1855645398583,84.4253945477372,80.5193359356605,74.6999053371599,71.1288807244012,59.8253454474757,38.4720833757854,31.7076985352082,72.2575780068562,87.6349953149893,90.8387566244812,91.4059596848804,89.8988980148615,89.3155182615153,88.6986907301559,72.2657425673522,69.1073132222327,62.1987393417664,36.9920812132062,24.027878945297,67.4367873838409,89.2646686639994,92.642171369144,93.1571207103112,89.2163528237124,86.7300053401454,78.2687763840131,78.2921152674151,77.2155831256338,61.9691498424386,38.7777702545212,31.984143824427,79.2992025929908,89.7693146968696,94.4541584775401,94.072732011656,93.5348778105769,92.4980937919218,84.8473805098112,73.9232583718826,62.4606018310307,57.2468029491682,44.2345855179303,30.0730777760123,80.8164487208338,86.5476180605168,88.5155204778756,93.8931555719035,95.2884874622951,95.3245354905213,89.2999712159119,90.3593637867767,90.3991211392202,75.4131518352715,46.588869884325,33.2795944751348,76.0363243934923,84.4442460799636,85.6779423587528,87.4060564118434,89.3141043967486,81.4836173456147,78.9528215547839,61.9349637362364,48.5710801483182,35.4519108766544,30.9477045594551,27.9291370356297,72.6856303930686,80.6591587960828,88.1255787969734,89.9328310881923,90.1237608992376,84.9330236484728,78.2390414689344,73.4630832833566,68.0466267752795,54.4160638156537,41.2187249265471,44.5976753050386,87.5808216549291,83.2466204863276,85.2249644640186,88.8846758921898,84.7028653169067,79.9585127242122,70.8877553028966,48.4151991231603,36.8721975245334,35.8887335679386,35.852521131389,41.0862693617485,88.4450175372633,85.065375264774,85.0262881880035,89.3311613601668,87.2589991613927,81.4351147625509,74.3702716416681,70.4224069807968,69.6938236824425,54.1641784501539,42.041555628551,33.4564953651588,54.0832345509748,75.0292107983006,89.5217837061024,87.0908444186842,82.6093152769557,79.8573899990533,76.7608405521597,69.0902738900359,74.7586359533237,59.2114396906751,39.2743402404438,27.2764796838296,83.3152042256982,91.1548892908901,91.9805108901729,92.0563080979641,93.9694216381485,93.6941715644911,90.8833040878074,76.8972050498189,69.3774712422037,58.6443128511579,39.2440451835263,28.7577167341652,68.0132162473686,82.0785668008333,85.5098095145395,91.7851811901095,89.6928259624684,89.3504331847913,83.6669193712182,70.2483953956559,66.8221030096502,55.820683458668,35.3041799940914,20.9155745895066,63.7462870271379,77.7032762385464,87.2834936445455,87.5972611647826,84.0480157660655,77.5674601822298,69.1234838540735,41.8610802247728,40.4397662979071,38.9864332490588,42.0308295942772,30.5316403085306,73.2670884406009,79.1639545696083,82.2680683676597,87.0369717940123,85.404199940092,84.784765519283,77.2955598018573,65.3580438691038,80.618564685059,64.2777450980756,44.1494764966118,35.3978025676499,78.3329566679105,83.6791612153467,88.2780515443689,88.2553911267555,89.9168900043861,88.0324267094032,83.1868733696442,71.9769708149661,60.7622576644889,50.5737631996536,38.7102807176696,51.1550387076558,93.3622699381718,93.1010864982122,94.4074330995834,94.9170942203613,94.9510817062215,90.5122634170582,84.3046370011236,70.259332655022,58.8037164525309,50.8011469331708,34.3647600703268,19.0741136580077,55.4145639118494,79.2282837157687,87.8608183706384,86.1008950566326,88.2471760454197,81.7923346987291,69.0119235652906,56.3596113093411,47.5705303865893,37.2389394710593,28.2138180971769,20.0037499959494,65.7063430914001,90.3505111404547,96.1138982950682,96.4457148631872,94.9529312541992,95.4445633767775,90.5226177533297,82.7477085908424,73.348816470786,65.0750199052814,46.8272042493497,36.8840802522331,82.2497661447151,88.2609450235429,93.1090017780828,90.4213786228263,93.4966042528091,93.3512496864292,87.8306420937427,81.4978074124995,74.4553408745681,65.384070600793,43.8105334317588,19.0131716057313,47.5547440675668,83.5157308893339,92.5310306305171,91.4538319906798,88.4768905042556,91.8009426797097,89.3679202713863,85.2720071975694,92.3331599159689,74.7009391600665,41.7761038882498,38.9409749131638,87.3435195011005,91.9241957919215,91.4475871712904,93.8207523914519,93.3556238856239,93.4157941579279,92.8300963389626,82.2294730883793,91.9566607911979,79.7472895064084,54.2527893427728,25.3120457246538,56.5231836396285,73.2063412655385,82.7277173971882,86.3108939818706,85.4542059459833,86.4158658638627,83.1527060247354,73.6630929795682,77.5365825381126,69.1845456897517,43.4079536785633,27.7588580203687,72.5820244719802,84.138863135866,82.7995763188052,84.2630961520395,81.5762756375825,84.0539373120815,73.7099444106971,48.6815973247321,40.4873968537747,34.4986062428967,30.2308598201142,29.0157919750526,74.8270294139897,87.6742688963206,87.114268722138,89.8992238667276,88.2864609599481,80.8975110113269
"Mekong",99.8556195704457,99.7875701424657,99.8337103121721,99.7255829860997,99.8256755519949,99.4260909155978,99.6688853169371,99.8170121078676,99.913010259594,99.9336885458508,99.9495436928943,99.9334619020176,99.9098516747995,99.8737229127075,99.9021665725754,99.8620237121781,99.8174153769619,99.4945324202468,99.5533992171891,99.6589988860651,99.8248762305711,99.8580286427825,99.9233680938434,99.9179980175752,99.6513375757719,98.7883470405285,99.7870772706976,99.7678707962149,99.5478123070872,99.2824309467303,96.331104939295,99.391238555245,99.8242837432274,99.9040183339969,99.9388852395806,99.9331722665517,99.8907840617263,99.85879566618,99.806928340817,96.485445751962,99.3309649862826,99.0103657615682,99.1136005228851,99.647988820824,99.8406862388385,99.8985983963045,99.928612192645,99.9213813909807,99.8643107868884,99.8417704721808,99.8307930862215,99.7889595173912,99.7953470986238,99.5346884061516,99.6162511219869,99.7034746595218,99.8744061506724,99.9148785626609,99.9373303834746,99.9055399138416,99.844082374807,99.85098706056,99.8964006495043,99.8779970583184,99.8893248206179,99.5139096673865,99.5652111393726,99.7552332541529,99.8825731288501,99.905327671862,99.9431666217412,99.9407145489298,99.9088559141521,99.8525812759355,99.8456794478119,99.8511583348001,99.8488264599264,98.0935509326761,99.3855232059019,99.7305916422535,99.8746145555551,99.9069436938548,99.9396129532321,99.9297105996095,99.8970979361564,99.8519670897126,99.8961315675513,99.8637505744293,99.8083864005578,97.7108409930678,99.0777126375915,99.6074651417384,99.8768260554601,99.9019817426467,99.9325233742936,99.9345464806654,99.9062104423431,99.8014961930932,99.8543465429194,99.9023910164256,99.8727985557593,98.175933079294,99.0348402226622,99.6360958182117,99.8447125117346,99.8971255390028,99.9340946437805,99.9031433842043,99.8441044357125,99.8477317789976,99.8220856655568,99.92791782821,99.871298207525,98.788704147954,99.4606487786824,99.724616717995,99.8631367003665,99.8937842011033,99.9300720768849,99.9073569367372,99.8405701193172,99.8324087794399,99.8849798739534,99.8321892329072,99.8665193541748,99.6467559772115,99.5858048749057,99.5285091597552,99.7702900836543,99.8393795255236,99.8974208863441,99.8508817992986,99.7344800415552,99.7091670748234,99.7536179761697,99.8460554004382,99.8473412373954,99.1708521515723,99.516434423031,99.7569344836476,99.8770258685694,99.9017140047569,99.935011341552,99.919699001521,99.8611613974202,99.8694153962016,99.842438192374,99.0494130571629,98.6447971802629,97.9836647314822,99.1832519679354,99.6437417492596,99.7991659990305,99.868084951377,99.9069410739128,99.8627629058915,99.8026790081902,99.5496896803334,99.7694503957399,99.5772265790272,99.7913803366299,99.3490590283527,98.9763545729644,99.6382535873003,99.8659050361359,99.90299655079,99.9258235229194,99.907256243852,99.8121327291764,99.1421447497966,99.8145280421024,99.8464846190686,99.8650768584638,99.5447572526609,99.6637602755098,99.7913401932709,99.8746842893129,99.8977198526878,99.9171036796558,99.8533290347081,99.809633343194,99.7622118621552,99.8067830401588,99.651151591167,99.7676346680771,99.1323648708902,99.0106246283277,99.7015597839118,99.8648176890556,99.8820671572035,99.9195870719112,99.8664730580928,99.8062829550898,99.7690557262733,99.7702175979696,99.6926433685215,99.8472437051182,99.2160811204799,99.3449889968278,99.6198930689247,99.8199170070206,99.854831757766,99.9200013785918,99.9148188785291,99.8722624330973,99.8280973354702,99.8073738889724,99.8145761250424,99.837902580633,97.7524277041013,99.0307042303555,99.6022719140146,99.8374962577712,99.8640538140519,99.8971827227783,99.8298889341378,99.7308994748121,99.3848261224909,99.7126516974159,99.5258662335059,99.544350920734,98.5552560570437,98.6110700881364,99.5557114433611,99.81585218935,99.8686213443632,99.8976242195229,99.8595020223253,99.7305956316359,99.2084597969915,99.7063538721655,99.4597874241847,99.782838231436,99.6557023870287,99.7572540388249,99.7945008375289,99.9019047910606,99.9256321223008,99.9595777261587,99.9552271370535,99.9289717082788,99.9089050882394,99.8985697167219,99.8684835144812,99.899391946746,99.58634393658,99.5054934730492,99.6492537625406,99.8360005399066,99.8778623764529,99.9076822702895,99.8553465749412,99.7825920033025,99.7330436363058,99.7439534949832,99.7765926759723,99.8638239592808,99.6517923667016,99.5499584964223,99.5170512166823,99.7185185788628,99.8277231118632,99.8786227617012,99.7594970510295,99.6546570653282,99.6704563350397,99.7324427093184,99.6439853060595,99.7585353234312,99.4180947946576,99.3134034970183,99.3629718238659,99.6665606023342,99.8646120019936,99.9142727561504,99.8724079677184,99.8072305339662,99.811894052934,99.8151633658,99.7606054963646,99.8123332085713,99.5007674934533,99.4811534059843,99.6247515474166,99.791041031866,99.8787638314024,99.9074999515244,99.83033019711,99.7274227406397,99.7222968243577,99.7075198817508,99.5774810880149,99.6308161412041,99.6239531462815,99.6214436691683,99.7214859248648,99.8575840633719,99.8997015119394,99.6691916302717,99.5411793642021,95.8056285913422,93.5118537947382,98.084773403515,96.2054514861872,98.8816631487425,98.1640599894789,95.931844819857,99.2188026789571,99.6008945713204,99.8386464509174,99.8862603380657,99.8637139775321,99.7930118381942,98.7055303831469,99.6663501291523,99.8060114897729,99.8090007044045,99.2428872894335,99.2679426590473,99.5674325006898,99.8232474530826,99.8484048471912,99.8959930162357,99.8246953029229,99.6092235348052,98.5032241891559,99.6049584847725,99.3223683744468,99.7142333333092,99.2538977116309,98.9563644114936,99.7410440475623,99.8846992554154,99.8964065816442,99.9375891181565,99.9112551233497,99.7784466448328,99.6976032904407,99.816701255238,99.7587537944149,99.7881704441303,99.4556570453576,99.3650666212109,99.7555654714443,99.875258889396,99.9058595093378,99.9325136079726,99.9243328342384,99.8665144717569,99.762585874381,99.8248540198011,99.8478411857496,98.8845774509336,98.1520244512321,94.5806226355947,99.1079020767202,99.7819522780059,99.8959762925289,99.9151280051979,99.8753204423306,98.8323816867264,99.5827625947416,99.7203389071832,99.3533848623217,94.2110266082536,94.3773307157482,90.9126057589509,99.0610579823772,99.7862642578602,99.8970432807176,99.9357472650256,99.922944849054,99.8004132099927,99.7164293302176,99.7580805840542,99.8113615740782,99.8025849452702,99.3944781553043,99.4451490440025,99.6633314609043,99.8425793737849,99.8818708196149,99.9055955841567,99.8689051237161,99.8442047906001,99.8097709209971,99.7835377450171,99.7231509716409,99.7554247523514,99.0833674694956,99.0347945868807,99.6171057602972,99.8297065067943,99.874083206572,99.9145382342057,99.8918674097857,99.8281994711693,99.1169289462411,99.7421542107701,98.1405408139113,92.9678660326145,97.4726967165367,95.8247904297636,99.5306546927491,99.866564818517,99.9129345854798,99.9371612046988,99.9196002229402,99.8866642725466,99.8653315949608,99.8239805979988,99.6915370921414,97.5761909854423,97.5612870480042,96.2915247291759,99.6445478515231,99.877240626858,99.899699654524,99.9178993320472,99.914021386275,99.703185987035,99.5965830313264,99.7225295331431,98.8312750758268,91.6338539198479,94.5648854340833,92.7059721597159,99.0679937536525,99.7247694912148,99.893172741006,99.917962273888,99.9007487235134,99.7759195504534,99.7674950635949,99.0094620620787,92.2292801338827,84.4689916139401,95.2058546565571,94.0688768970206,99.2269237467356,99.7670912592348,99.8890226977035,99.9320788504572,99.9437436468974
"Irawaddy",99.9789714614001,99.971448170596,99.937084831162,99.1480925850102,98.5580981816229,99.9943091244264,99.931223248525,99.9619546661142,99.9718752140464,99.9836823807969,99.9823942126486,99.981597353808,99.9815634947243,99.9823548019031,99.9692808322668,99.5936695094604,98.995719540608,99.996482955512,99.9033308454626,99.9474486015811,99.9586819713158,99.965309678594,99.9720332214776,99.9681998833623,99.9683535507393,99.9686704083025,99.9687236426426,99.5866490662106,99.1970560042944,99.9956489049106,99.8951062358193,99.9567936812428,99.9706490856546,99.9746841217106,99.9802012097081,99.9769958481772,99.9757393982369,99.9650238288937,99.9339469264271,99.5291739971439,99.0930532601147,99.8562484652405,99.7044881803981,99.9317185067985,99.9587630671509,99.9740420312956,99.9803322911466,99.976369423156,99.9779726245381,99.9766528845364,99.9221235502807,99.629553345402,99.5477618386363,99.9934593517172,99.9298209571401,99.9624847241888,99.9717812130216,99.9818452446779,99.9790437827052,99.9796615428244,99.9788733269439,99.9715726103353,99.9237546902341,99.2066910105888,98.9854163348421,99.9953320339515,99.8205696413604,99.9463246500263,99.9653637041962,99.9746355131164,99.9772604138719,99.9746382220359,99.974830289418,99.9734742408742,99.9636707599198,99.7354290173317,98.516161422609,99.9154706085696,99.8378918417104,99.9546506412639,99.9626397566375,99.9763925578736,99.9831148133549,99.9782708960225,99.9461770559059,99.960777262574,99.9585398129243,99.7873252802294,98.8772588979598,99.9673067505648,99.7420288163308,99.9528498049277,99.9696311676047,99.9760895922764,99.9776313675765,99.9768479212154,99.9781161215849,99.9757915441999,99.9724458414964,99.4855990105038,98.9460727952398,99.9935745203531,99.898939471197,99.9558899785063,99.9660669594866,99.9778815798723,99.9865610803526,99.9827341681834,99.9823985754005,99.9820512686006,99.9771522553555,99.7009244262283,99.1331186979274,99.9891401381702,99.8880734174753,99.9464229368749,99.9574147903547,99.9785430161157,99.9784349245023,99.9763548810623,99.9764800910063,99.9777473456649,99.9746639737955,99.748648053604,99.6611188766637,99.9935594818483,99.8904412570953,99.9183365359816,99.9414505139104,99.9623310974341,99.9611713300254,99.9571542599969,99.9575843010468,99.9500201398545,99.9165846251752,99.6323126862953,99.5425681355453,99.993646099717,99.8598274423482,99.957736216103,99.9664847734985,99.975670061438,99.9817833848398,99.9793383088937,99.9807012391975,99.9810399012342,99.9338977551175,99.3663120753004,98.2502247500358,99.9207691667795,99.8673945503216,99.9313612690425,99.9418274412983,99.9708892875562,99.9744577632,99.9699184448214,99.971514507122,99.9759097549388,99.9547264874583,99.6885981388859,98.9632153995906,99.9874008524028,99.8754637565493,99.9413752679992,99.957040948221,99.9734201790565,99.9713166142297,99.9708820380413,99.9719466103662,99.9694651502118,99.9611059631624,99.7708173896274,99.2308523100234,99.9961614906205,99.8990047436459,99.9431547669301,99.9557738878773,99.9696845969439,99.9740909067982,99.9695668650273,99.9705766305182,99.9662734149054,99.9499294416006,99.5023386446464,99.1257444753668,99.9856349347988,99.9371979179043,99.9702249504406,99.9777942267293,99.9833490080282,99.9919731989341,99.9890755059815,99.9890577545955,99.989949973155,99.9774065064892,99.8653542515355,99.5362257998501,99.9826434894954,99.8943791418665,99.9481213966081,99.9601470688543,99.9765694279315,99.9789941047666,99.9754389547232,99.9757036704375,99.9756657218028,99.9675546692482,99.7380568065432,99.3239277398366,99.9877468267196,99.9107762595251,99.9550453220293,99.9665455175765,99.9758222122497,99.9808817182889,99.9777633091402,99.9765363036901,99.962572035312,99.9490286038547,99.8081857172232,99.3873108083243,99.951329530564,99.7761463521469,99.9583826399709,99.9719609170999,99.9803285098576,99.9815971885395,99.9826468843929,99.9821987174545,99.9732673039043,99.9548839058819,99.1437775255176,99.4639222125337,99.9868356219437,99.961983406974,99.9818040657395,99.9854845285259,99.9902791648788,99.9937179531378,99.9946218061558,99.9948938141827,99.9951240318668,99.9487434560252,99.6176041274203,99.413964696871,99.9965998382564,99.9263223214472,99.9583392013408,99.9682122270119,99.9803421734264,99.9826050583216,99.9823275904333,99.982292571948,99.9791773729752,99.9465160841165,99.663135731614,99.4056226548235,99.9889586337513,99.9322021199523,99.9596246325431,99.9675596860735,99.9824186118376,99.9862833668116,99.9850002761495,99.9854877129963,99.9841355018728,99.9600109455737,99.7530179504667,99.5173805415485,99.9927968812495,99.9303834715526,99.9637568447024,99.9699675281648,99.9785376090114,99.9845562015658,99.9822001859683,99.9739772764663,99.9498095970392,99.9707129721381,99.5410564589332,99.3961934051586,99.9980897918187,99.9557314984539,99.97181038127,99.9754865507467,99.9856737826995,99.9863657624289,99.9874562741896,99.9735616601114,99.9776502870355,99.9119429721062,99.775361886212,99.7219035864357,99.9971128925069,99.9307179136096,99.9618268864552,99.9646778430192,99.9804291384989,99.9809567230686,99.9798487288091,99.9785555342591,99.9652449984759,99.9544912528814,99.7766428290935,98.8587598580217,99.8338347160296,99.7442037948154,99.9190671150853,99.9375891381405,99.9598066775803,99.9594048663071,99.9575402433411,99.9606742464278,99.9609780275083,99.9624055650446,99.8613459787023,99.4105145263255,99.9983488278984,99.934749538742,99.9623758851524,99.9693304264473,99.9786918259061,99.9843023931321,99.9828847502528,99.983224852119,99.9799026292172,99.9667897854455,99.7048681858387,99.592664912264,99.9963192380408,99.948374430258,99.9702128969425,99.9761649078911,99.9867436437918,99.9893884978869,99.9887334450622,99.9893679364311,99.9918693269664,99.981916399755,99.3307003115926,99.402896845673,99.9955687460123,99.9346513885221,99.9623673306086,99.9693347384539,99.9809487793025,99.98150936704,99.980233704061,99.9804844425624,99.9788857513943,99.9648067209152,99.7208810432384,99.3696645615857,99.9929677752236,99.9454874742293,99.9710437934285,99.9762215894154,99.9828316624119,99.9879869407833,99.9870734449271,99.9876097539154,99.9870400066957,99.975073685939,99.8758999348045,99.6974750108891,99.9908036175367,99.8693589578948,99.9562532810518,99.9641453626946,99.9806226429015,99.9829165293953,99.9810159992894,99.9817624127925,99.9825366651618,99.9451400541919,99.8149045102528,99.7083654881999,99.9963468130597,99.9326264085336,99.962658837979,99.9684562905847,99.9802833275,99.9799161853837,99.9800310660437,99.9810390510546,99.9732842864637,99.93777058744,99.7819886771476,99.3673409375334,99.9952303556751,99.9424412759892,99.9694106974053,99.974552287346,99.9834599026731,99.9855538264714,99.9844408685009,99.9844352767453,99.9840802114803,99.966133942137,99.7947221388439,99.6451933168246,99.9985783511466,99.9487265407877,99.9746005602758,99.9802555849978,99.9889968291434,99.989083525813,99.9890580314084,99.9892846420852,99.98948561901,99.9829697419863,99.6898764605142,99.3881939104649,99.9736025983532,99.9350295036841,99.9745381154295,99.9809195886533,99.9830816312095,99.9877399479071,99.9872027532888,99.9872833402336,99.9877358286157,99.9692402893499,99.693440100616,99.4744215272212,99.9834893780478,99.9541805518289,99.978716846637,99.9823249566765,99.9862390532723,99.9903921092472,99.9902923697785,99.9908518980109,99.983855705944,99.9186333124872,99.7195343008353,99.4729603423379,99.9956645427934,99.9353433083602,99.9649198874475,99.9709722261566,99.9814170107236,99.9847495575017,99.9826162973315
