Basin,Month_of_Max,Max_Value
1,Ganges,Jun,1.92365020480905
2,Mekong,Aug,0.000387034702585606
3,Irawaddy,Aug,0.000110128521816939
4,Luni_ext,Sep,0.037174312001115
5,Indus,Sep,1.2897865567039
6,Amu_Darya,Aug,0.22052695323715
7,Brahmaputra,Jul,0.0557124329543329
8,Syr_Darya,Aug,0.144561244633268
9,Salween,Aug,0.00233581502966682
10,Tarim,Jul,0.167052973763008
11,Ili,Jul,0.26767245416948
12,Inner_Tibetan_Plateau,Jul,0.000154206766950438
13,Yangtze,Nov,0.0207415014675025
14,Inner_Tibetan_Plateau_extended,Aug,0.0347933350977242
15,Yellow,Aug,0.0028301897103405
16,all_basins,Jun,2.66866208888842
