"irrigationGross","GrossIrr_km3_ps","GrossIrr_percent_ps","irrigationGross_stdev","GrossIrr_mm_ps_stdev","GrossIrr_percent_ps_stdev"
"Ganges",482.728955914339,21.70091323697,4.37612332111593,69.6585116825354,9.80097249593441,1.47438005872451
"Mekong",100.310167393614,0.241823765554325,0.237726565634153,3.8228610361587,0.16273082962102,0.154287647084295
"Irawaddy",35.1105081989573,0.00738012917306779,0.0209798993225956,0.558405977076267,0.00196906759256736,0.00538153183115195
"Luni_ext",27.7896855953387,1.61975584406301,6.11241676904582,13.3093263157939,0.797870400033758,1.88794375520572
"Indus",199.475784576255,42.5611708008115,20.7550285281517,70.7376866900619,19.8967343704376,3.62178808803633
"Amu_Darya",1.33987840225218,0.40194039224822,28.2202319890636,0.404018182845285,0.266079016603121,8.81381251074894
"Brahmaputra",124.024047829008,3.78588781648553,3.02806310506999,5.21161665298426,1.39149612244546,1.06443257784478
"Syr_Darya",1.07386942958658,0.255436308195703,19.2649069165384,0.764901341993901,0.230635348803028,8.69550671102118
"Salween",8.06586991693866,0.0846696935808944,1.04486993438175,0.170641237624488,0.0505082620928669,0.615081251290447
"Tarim",1.4604074051751,0.542117951552194,36.9351047274804,0.142829700648848,0.0995647306774594,3.9550149057745
"Ili",2.22808872487961,0.321940587288405,14.4244188426109,0.257602354465761,0.0789620048107668,3.16714264461961
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",341.387580822533,2.43945415254216,0.705621782053562,26.5155200522982,1.10816189330629,0.297721094556156
"Inner_Tibetan_Plateau_extended",0.924343356658963,0.183419878044924,21.0090584414651,0.443420907281228,0.0647753969316938,3.39698311198734
"Yellow",9.08228110401824,1.05985704360922,11.8591219826665,3.36434092654639,0.43510748310492,2.58420510257885
"all_basins",1335.28434302338,75.2211457862798,5.52869941977199,153.661414903577,27.3822119586103,1.47483475128278
