"Jan_irrigationGross","Jan_GrossIrr_km3_pu","Jan_GrossIrr_percent_pu","Feb_irrigationGross","Feb_GrossIrr_km3_pu","Feb_GrossIrr_percent_pu","Mar_irrigationGross","Mar_GrossIrr_km3_pu","Mar_GrossIrr_percent_pu","Apr_irrigationGross","Apr_GrossIrr_km3_pu","Apr_GrossIrr_percent_pu","May_irrigationGross","May_GrossIrr_km3_pu","May_GrossIrr_percent_pu","Jun_irrigationGross","Jun_GrossIrr_km3_pu","Jun_GrossIrr_percent_pu","Jul_irrigationGross","Jul_GrossIrr_km3_pu","Jul_GrossIrr_percent_pu","Aug_irrigationGross","Aug_GrossIrr_km3_pu","Aug_GrossIrr_percent_pu","Sep_irrigationGross","Sep_GrossIrr_km3_pu","Sep_GrossIrr_percent_pu","Oct_irrigationGross","Oct_GrossIrr_km3_pu","Oct_GrossIrr_percent_pu","Nov_irrigationGross","Nov_GrossIrr_km3_pu","Nov_GrossIrr_percent_pu","Dec_irrigationGross","Dec_GrossIrr_km3_pu","Dec_GrossIrr_percent_pu","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pu_stdev","Jan_GrossIrr_percent_pu_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pu_stdev","Feb_GrossIrr_percent_pu_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pu_stdev","Mar_GrossIrr_percent_pu_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pu_stdev","Apr_GrossIrr_percent_pu_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pu_stdev","May_GrossIrr_percent_pu_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pu_stdev","Jun_GrossIrr_percent_pu_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pu_stdev","Jul_GrossIrr_percent_pu_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pu_stdev","Aug_GrossIrr_percent_pu_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pu_stdev","Sep_GrossIrr_percent_pu_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pu_stdev","Oct_GrossIrr_percent_pu_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pu_stdev","Nov_GrossIrr_percent_pu_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pu_stdev","Dec_GrossIrr_percent_pu_stdev"
"Ganges",40.9988976678308,4.20016935920409,9.24541685675688,45.9885197371367,9.60469498809541,20.7128873327442,35.5609761795995,8.91601538711841,25.0149728787772,40.6861569882559,9.56791805018441,23.0149158379409,50.4212131821832,17.6518048288068,34.9102749808294,67.7355813019191,34.2701936000316,49.5765715433967,19.5691954013954,4.49092200889584,21.7562680573889,29.98445222743,2.79923441053282,9.18112855628595,46.1398878512325,2.89889558581044,6.11555665028229,28.9772374875163,1.55284724869077,5.26127155103537,36.0828436475897,2.00469622948312,5.27233765313832,NA,NA,NA,5.91620241418042,4.45619552321756,8.92147016040738,4.64887312478154,6.48509593924027,13.9304637274619,3.7697977760054,5.4881894182364,15.2558794520103,3.65124157713601,5.17434410420822,11.0271675765045,3.48391467587034,5.67964377076404,10.4040071875268,13.1653318280232,12.5168601101501,9.09640750743873,5.70910433181627,3.05106138392355,10.4606685070286,2.94734159058113,1.30307448731299,3.73895222408755,5.52926491228906,1.27864351155813,1.85223444581605,3.98353073022457,1.21173711821828,3.87545269322698,4.10668480544323,1.58664198882579,3.74192152273807,NA,NA,NA
"Mekong",7.69502653130647,0.00579106925177666,0.073193600671002,5.67936679028941,0.0105206110958243,0.182498879843462,2.34187874314474,0.000415390126813424,0.0173214568189214,1.25812070811466,7.80912978976045e-05,0.00791307833107197,3.78048735846437,1.49325242152595e-05,0.00042070251506108,4.05537689001638,0.00402737274591178,0.0813478070193939,4.71647733799454,0.0223363656737665,0.439101241977192,3.99046593641523,0.00112027461539975,0.0288886498169678,3.37058233976075,0.000144292645155632,0.00371222536367018,2.78562177911279,4.39181746367756e-06,0.000175225086602674,6.83599567084041,6.25428103723277e-06,9.40199262537766e-05,NA,NA,NA,0.293260607002373,0.0093047069527024,0.116985780482601,0.234219519391714,0.0180832969660002,0.315014277499822,0.140196744958404,0.000644972583614286,0.0270582692802389,0.277608875228747,0.000124603183230035,0.013030391983437,0.494326429732643,2.86005113070911e-05,0.000795018801259311,0.548257487214297,0.00985393844587433,0.198980753639698,0.46940315908912,0.0547049173795633,1.07542142425134,0.298208725628159,0.00274249101320263,0.0707193884766699,0.294836979328836,0.000352918416809518,0.00907682392684759,0.210332053762451,1.06350701688196e-05,0.000425051862454059,0.610739957220151,1.41633711407652e-05,0.00021468587335414,NA,NA,NA
"Irawaddy",2.98198836754955,4.45694190334312e-10,1.49538781559169e-08,3.1275734745515,5.52528155005093e-10,1.76629352019821e-08,1.40756247250564,4.13603897217134e-10,2.89828898820308e-08,0.273283955121907,1.74301006988949e-10,5.61702596091021e-08,0.115102493428939,7.41219458499499e-11,4.7461042205772e-08,0.37776633830183,1.77549101203356e-11,3.79708134798084e-09,1.41598316777725,1.89552915293647e-10,1.35930113965303e-08,1.54027682718117,2.49509720380163e-10,1.62398755368914e-08,1.5341444116743,1.94449113358674e-10,1.24589597283612e-08,0.563928418352351,6.65207909591917e-11,1.21113129402115e-08,2.46056464484228,2.0750368440173e-10,8.47294750455073e-09,NA,NA,NA,0.0474262637734539,3.56978061116594e-10,1.18902491388158e-08,0.0863926343321413,4.10984066357952e-10,1.33297983566236e-08,0.0350015173458483,3.34082772243957e-10,2.29251097715072e-08,0.0685907277297845,2.0733657090447e-10,5.72419018391274e-08,0.0551686647797151,8.48834156114946e-11,4.62260004399185e-08,0.0721812365098573,3.2265832577208e-11,6.65427605653879e-09,0.110761690422244,1.28177316743915e-10,9.57236950674809e-09,0.0649836171791859,1.99629199232118e-10,1.31062127942149e-08,0.104759866374364,1.49385081974521e-10,9.30125492529799e-09,0.0643443198129611,5.01000664884638e-11,1.00336953588174e-08,0.0494674974256441,1.45196005467462e-10,6.04105919413891e-09,NA,NA,NA
"Luni_ext",2.2840837528981,0.881951679915508,33.5527338803812,4.72318091398892,1.78999195465478,38.2677327697222,5.19156217875394,1.44832928750156,27.6499642402479,6.98668926620485,1.95313964513221,27.7644577004899,7.68975480506043,3.72277809400071,48.0988343838823,4.72948341281619,2.73359206965175,57.5414728909887,2.17372096270696,0.616777832504117,24.6275282757238,3.93852407984833,0.801259323030932,19.9238059207532,5.04174969507516,0.89458633375231,16.9647637001217,4.14277099391722,1.02429460702393,23.5168695915495,2.79877450218126,0.762240323293467,25.8316716575434,NA,NA,NA,1.09391723992697,0.719977004975704,15.1932492345251,0.374746939711042,0.530144067133806,12.5785910273806,0.672947486927827,0.528003493066124,9.26170087362932,0.852988461073179,0.513413567228769,5.8479473387895,0.76565141562082,0.81236162039022,6.89814452481532,0.758167440281649,0.559477258776285,3.37474741800357,0.752433156222254,0.570535822527171,13.6492723640775,0.36645710422723,0.392034786605886,8.55540914571328,0.762919817180376,0.55045102243158,7.86440239999934,0.543548035385767,0.722806918216581,14.0653779143935,0.438659955932683,0.47923301853032,12.8932091336652,NA,NA,NA
"Indus",16.9417789395754,0.39041884674099,2.12730706883553,24.8021031281466,0.667766150946381,2.68884145175039,27.374860414373,0.44178132514555,1.63184128389951,39.7620878340165,0.470526122374479,1.17283552719983,26.4623565001657,0.442119845944303,1.6175335076106,58.6885616769156,2.03188408975843,3.34459490306957,42.2605931691026,0.644441682986986,1.46384247836255,63.1743377196025,0.515024843814531,0.808853387232084,63.8060278575415,0.50813964991605,0.796072161714976,26.4736385400992,0.212248240551251,0.800680241735987,32.49893845018,1.71076982340234,5.14277326788911,NA,NA,NA,6.00785831061418,0.279087814866571,0.913798927589054,2.28096190115656,0.309317163722699,1.13348795392103,2.9853966529404,0.116979415122013,0.449602799211679,7.72997251667797,0.140072649856755,0.203814840280857,2.92437639618461,0.256143628715564,0.796801757813794,7.67446498639293,1.29419932218777,1.88218170793339,7.76262201396361,0.340114858723284,0.609167294155709,5.7332194738028,0.174395222266898,0.223967251824869,7.51526566309654,0.139328135101748,0.184466758525147,2.0668780331177,0.0434221089528135,0.140124520628058,2.21853003948997,0.865906578954161,2.48511729139248,NA,NA,NA
"Amu_Darya",0.110126990810109,0.00878953902078956,8.08763488904266,0.107676742270613,0.0183919260034213,18.3064426071134,0.16975925313718,0.0014529627362131,0.741173577946552,0.763164022753725,0.00226822480498818,0.335386693833644,3.33776392727524,0.0304155132292284,0.854375235329582,3.55996871263601,0.0959303465667289,2.70421440252998,8.0140903207967,0.365666556304774,4.53158900408913,9.29272469974719,0.673547423392113,7.25259728979811,5.64823156574219,0.428453588847139,7.48517675814688,3.03275068799657,0.381029170005292,12.5973549742509,0.527175810404174,0.0780287517998509,17.7149306397072,NA,NA,NA,0.0332069728696483,0.00216080662954259,0.842205584923224,0.0912626214303099,0.018620705273881,13.9247104384846,0.137753820070481,0.00161195116003707,0.421878515283623,0.272898599203002,0.00141635829836538,0.250393622319556,0.601528834115823,0.0202740945985007,0.537397700735184,0.300537820925079,0.0389068392229368,1.15030891517365,0.525219960383175,0.123307015225097,1.36551421162462,0.577485479358821,0.144457269318908,1.48948406770093,0.4567505363356,0.143192086242312,2.0383516325491,0.207745346358756,0.0767479823452865,2.63700023914934,0.341283805478494,0.0431470057339464,8.21152596739011,NA,NA,NA
"Brahmaputra",10.5335492554043,0.0118326988173946,0.110057043522378,11.0500292459899,0.0659185926771342,0.602055052528023,11.951058546353,0.21303358201884,1.7685255888114,4.56598398733574,0.0596130947313692,1.28465221919286,7.49692039909835,0.0183351980703393,0.244655660202123,7.00657930272883,0.0135657775485528,0.177908489390859,8.93206188362583,0.0100335144706957,0.119549528590427,7.81460330828852,0.00151507281180198,0.0195855383810323,8.02081671023991,0.000622435996311386,0.00765438111943444,8.6330210098584,0.000617762001349028,0.00731299646834407,4.73936116542984,0.00066690948781706,0.0146237143088798,NA,NA,NA,0.442630473649685,0.0116940646732672,0.107754621348934,0.436560373955556,0.0309002338211597,0.289210288583539,0.397614221414962,0.0914531147551704,0.710148342154837,0.485088575900099,0.020838471996719,0.382796554450446,0.999968639495955,0.00959431865169954,0.12987750245385,1.6989920599239,0.0129895365899318,0.141380393002836,1.86617353356575,0.00799856974520323,0.106967054473191,0.605732487434242,0.00180524845521355,0.0234186652534832,0.873354633775765,0.000431714306260818,0.00507820113403807,0.377862421646812,0.000439099177748696,0.00543188836186544,0.347496959553322,0.000735632884727234,0.0164120388221479,NA,NA,NA
"Syr_Darya",0.0912053480456431,0.0147829977156559,25.9114516513941,0.0423404592573509,0.00341572459517618,8.07300530727773,0.04166875769954,0.00834080087888701,31.6421225667277,0.0803561411939455,2.2137200881171e-05,0.0276671378545709,0.916618793322205,0.000187271019040152,0.0210943751315606,1.60730162160796,0.00468934965884563,0.308212950411845,5.17552466560652,0.00515074619931427,0.0991425963864,6.50350290519145,0.0054896247793737,0.0832385515555154,4.12326115176527,0.00407172766931562,0.0916101608039844,1.55335625204202,0.000289811957601083,0.0195123107663505,0.08299694922736,0.000826263385127961,0.679412479609759,NA,NA,NA,0.0649642237748219,0.00601535955341114,19.4873608241982,0.031166239934619,0.00502211548808047,7.01428295538485,0.0259028055888321,0.00588403266713309,26.7012312974782,0.0901343101704859,2.05686074472787e-05,0.0167068859811714,0.563011649233503,0.000131875863699021,0.00954726089224655,0.157292885914387,0.0047575633710751,0.350593980656729,0.474628022205689,0.00222688251574271,0.0428885201500714,0.61137024320011,0.00216379908430426,0.0287139441602427,0.565085693411682,0.00318960502585966,0.0696381748674138,0.25238523946395,0.000291161576428194,0.0219720597040368,0.124520239628337,0.00200255715498919,1.64061519196096,NA,NA,NA
"Salween",0.662948215513205,1.02695842812552e-21,1.55118118959423e-19,0.647949829906311,9.26820972254415e-22,1.45760131238736e-19,0.313075069096816,4.83674176211226e-22,1.47250141257125e-19,0.055159677602139,7.45074192002075e-23,1.13314747157659e-19,0.0719665006584224,9.20601104352312e-23,1.47075404645088e-19,0.229334316817088,1.0553349964535e-20,4.16298291603631e-18,0.311098774413068,1.46894533881387e-21,4.78141524943837e-19,0.390650372835335,6.70449051879156e-22,1.78859219093541e-19,0.399108961224258,5.45721888940228e-22,1.33422018709021e-19,0.152039474162683,1.96033410981825e-22,1.2924924660649e-19,0.545650028739073,3.70353042586748e-22,6.86836225907571e-20,NA,NA,NA,0.0140253059812209,1.44812563963898e-21,2.17437629172318e-19,0.0311359804906375,1.27221676620664e-21,2.07494182710614e-19,0.0172608265600972,7.5632260752509e-22,2.19554872839474e-19,0.0147120518882994,1.29942920871672e-22,1.88695255659775e-19,0.0105869614814295,2.15715842093716e-22,3.4710166841442e-19,0.0201798050459942,1.77394320294084e-20,6.79222112061649e-18,0.0178679951825449,1.71788211998979e-21,5.77119073311188e-19,0.0223987905980671,7.65801732416957e-22,2.10609970899984e-19,0.0191486245820045,7.0997417026668e-22,1.67584670010415e-19,0.013040947742449,2.42324500747999e-22,1.62151710728114e-19,0.00861104300059892,4.55650239096017e-22,8.49796163548413e-20,NA,NA,NA
"Tarim",0.124034601367611,0.000206449610060124,0.167411969669016,0.212305787206787,0.00212162844394844,0.949871895866268,0.254623792573057,0.0054968023627221,2.20158460212321,0.106134872741314,0.000805659674505616,1.0263787015753,4.81707874323913,0.00642689266913939,0.127672723268918,5.82892991930095,0.00235184882601214,0.0413900617108732,8.32651380205734,0.000363932158633893,0.00438796882999223,6.6145106264427,6.97840184300406e-05,0.00105784370632669,2.4518126851062,2.31561313104209e-05,0.000950362582831442,0.66406907824359,0.000197260753413319,0.0418342132926177,0.106305318585707,6.41229110119027e-07,0.000666190006492889,NA,NA,NA,0.0121307414466009,0.000442089101415926,0.359878765200538,0.0332019800328233,0.00183098302723156,0.776565539398277,0.0304183033444253,0.00248431218958434,1.07131620078292,0.0512428129906304,0.000811260834825572,1.13577433999902,0.502430621688451,0.0053188103463024,0.103404693827541,0.305221305206916,0.00207300496885627,0.037987254068965,0.208101763006235,0.000321202603088435,0.00390232932147666,0.412304662265642,4.96174097636114e-05,0.000766940575788863,0.105261989082018,1.64561172494981e-05,0.000676862568898107,0.198713908011143,0.000444236574998073,0.0974021162435116,0.039200846226827,6.68902437630051e-07,0.000717619470765713,NA,NA,NA
