"Jan_irrigationGross","Jan_GrossIrr_km3_pgi","Jan_GrossIrr_percent_pgi","Feb_irrigationGross","Feb_GrossIrr_km3_pgi","Feb_GrossIrr_percent_pgi","Mar_irrigationGross","Mar_GrossIrr_km3_pgi","Mar_GrossIrr_percent_pgi","Apr_irrigationGross","Apr_GrossIrr_km3_pgi","Apr_GrossIrr_percent_pgi","May_irrigationGross","May_GrossIrr_km3_pgi","May_GrossIrr_percent_pgi","Jun_irrigationGross","Jun_GrossIrr_km3_pgi","Jun_GrossIrr_percent_pgi","Jul_irrigationGross","Jul_GrossIrr_km3_pgi","Jul_GrossIrr_percent_pgi","Aug_irrigationGross","Aug_GrossIrr_km3_pgi","Aug_GrossIrr_percent_pgi","Sep_irrigationGross","Sep_GrossIrr_km3_pgi","Sep_GrossIrr_percent_pgi","Oct_irrigationGross","Oct_GrossIrr_km3_pgi","Oct_GrossIrr_percent_pgi","Nov_irrigationGross","Nov_GrossIrr_km3_pgi","Nov_GrossIrr_percent_pgi","Dec_irrigationGross","Dec_GrossIrr_km3_pgi","Dec_GrossIrr_percent_pgi","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pgi_stdev","Jan_GrossIrr_percent_pgi_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pgi_stdev","Feb_GrossIrr_percent_pgi_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pgi_stdev","Mar_GrossIrr_percent_pgi_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pgi_stdev","Apr_GrossIrr_percent_pgi_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pgi_stdev","May_GrossIrr_percent_pgi_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pgi_stdev","Jun_GrossIrr_percent_pgi_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pgi_stdev","Jul_GrossIrr_percent_pgi_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pgi_stdev","Aug_GrossIrr_percent_pgi_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pgi_stdev","Sep_GrossIrr_percent_pgi_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pgi_stdev","Oct_GrossIrr_percent_pgi_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pgi_stdev","Nov_GrossIrr_percent_pgi_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pgi_stdev","Dec_GrossIrr_percent_pgi_stdev"
"Ganges",40.9965580111777,0.165355345814184,0.402934981404134,48.6263435183407,0.10892771140481,0.232503033830871,30.7789881908178,0.0489420447765122,0.160411643088683,40.1323905787821,0.0755639842508952,0.187073191943668,46.3965999720813,0.21872608880875,0.469519593904451,59.2888156817346,1.59858642774089,2.73124467667122,16.9200964331798,0.40095292332045,2.12394051891996,27.9012713928598,0.493323078438643,1.66278789508241,44.3402568113695,0.678400129690024,1.43772468757007,29.4698480859869,0.339473176384783,1.13927985855516,36.7648118717415,0.184788230336878,0.489162397828937,NA,NA,NA,4.11357385360596,0.155416486757093,0.376933688271374,8.60783263411679,0.0963005083000182,0.221826127257546,5.14310995636532,0.0476922133550644,0.152060492185194,3.58264077674853,0.0578078009719513,0.142389260849609,3.75510231559969,0.100903284189863,0.211192301217542,7.32858772973535,0.485861906136645,0.873102114772258,4.91265872956458,0.385165979528749,1.03813155465249,3.40197665945272,0.379103146425673,0.986848715389947,6.6806530356584,0.482010604695825,0.844067431845158,3.52553078947696,0.178455809474907,0.560747853748429,3.54827801784446,0.132368246446134,0.325670245376898,NA,NA,NA
"Mekong",7.07809155895843,4.02618407727837e-05,0.000566388471113623,5.27228869108821,1.2524312101647e-05,0.000234213782388492,2.2985540836721,4.20312771405364e-06,0.000181735931945224,1.13571283951344,2.39025911801344e-06,0.000215232046303538,3.35953641399875,1.33975654029895e-05,0.000353090120256282,3.89899567389301,0.000226535688893996,0.00589557199990237,4.49283905890364,0.000280161363431982,0.00621536128721566,3.85258934840619,0.000417813627418034,0.0108157141196283,3.09978478320128,0.000339571755707264,0.0109102785034378,2.68066575582948,0.00030141282799422,0.0111248031065165,6.4459967250697,0.000200976461573259,0.00304152045518189,NA,NA,NA,0.276972852685258,3.4427388409463e-05,0.000480539894112639,0.346815163723518,8.35691282341886e-06,0.000149814183471628,0.333858273033095,2.48677062447724e-06,0.000101780014005711,0.249163631535633,3.57284566633821e-06,0.000366451646096553,0.672000616524419,2.1924538560696e-05,0.000455184218693167,0.45065481080035,0.000226194806809928,0.00626069487769887,0.237292351211954,0.000134855916948078,0.00284428613591287,0.195083743058495,0.0001255820075308,0.0030943831877333,0.101012995337004,0.000114736720086313,0.00354875398380001,0.325717048516384,0.000113767913236497,0.00370563510911723,0.487506927170421,0.00014006810876357,0.00193441679141449,NA,NA,NA
"Irawaddy",2.79075697981061,1.11177770363603e-07,3.97854456102042e-06,2.93311828693079,1.80386939927404e-07,6.03853725250416e-06,1.32012984030052,1.06558447784558e-07,7.82224121072154e-06,0.271633777112302,6.27041087711641e-07,0.000200161025057982,0.140987493150229,4.04649419131827e-06,0.00208082637009767,0.390991079139771,2.17649279983161e-06,0.00050584550755523,1.25264480019679,5.87703723295734e-05,0.0046539166791151,1.47903757510915,6.42522587324731e-05,0.00433973541567263,1.38284083609857,5.69561690891466e-05,0.00412751847142907,0.548505103021819,1.27815466776746e-05,0.00232403834963971,2.40040450502017,3.81324897987034e-06,0.000158428691465598,NA,NA,NA,0.0684272440412374,3.52591861684438e-08,1.24013694809581e-06,0.136222644187455,2.12506912050026e-07,6.60809367866972e-06,0.0639848024391643,2.4543574690736e-07,1.72710301801154e-05,0.0745929034579768,3.23915830179249e-06,0.00100975068911832,0.0995574371082781,6.58140710365213e-06,0.00210471344021119,0.0382066468831739,3.65221716143678e-06,0.000808062532716527,0.0707561346941353,1.92857061456182e-05,0.00134276960932687,0.0480586797977546,1.21273719385821e-05,0.000774738240862562,0.0703634163140569,1.10337416606043e-05,0.000820300116992699,0.0677784811157161,3.47134481349095e-06,0.000530410661705478,0.0956377425819475,4.73006486927048e-06,0.000195115569987154,NA,NA,NA
"Luni_ext",2.37937461352458,0.020413735213544,0.912627988277837,5.2779758132662,0.0309554165168602,0.591147952427047,5.12857060292445,0.0244586945057206,0.475609802161629,7.23846460094214,0.0241327420473869,0.331499014908426,7.57598817952109,0.012050639992523,0.158449837060999,4.60223002883909,0.0150385569207603,0.336803569829444,2.21405238290404,0.0586469126774025,2.65137371190424,4.06707017495047,0.134481473376081,3.29201827068496,4.88579085628643,0.180203757181312,3.69840102551339,4.251079851392,0.0946721240387245,2.24977131587096,2.79942329069462,0.0542986846947244,1.93384026816821,NA,NA,NA,0.722245507291108,0.00760008696456901,0.397806148853897,0.791603416350755,0.0139436417248316,0.278748849597685,0.68759909260996,0.0111543129272396,0.202401345549945,0.741711408860023,0.0112831299525533,0.151570230635814,0.811337022335683,0.00512105616932231,0.0661127525336214,0.398864776474765,0.00796931178559981,0.199455894831704,0.624450599076451,0.0231884949179978,0.892750570791239,0.53033056752895,0.0374660506094069,0.791005729125675,0.88679953759816,0.0505019818535061,0.8297964015818,0.790629236096349,0.0333434243836545,0.733694159743476,0.361017578939272,0.0181096237564629,0.576673865973668,NA,NA,NA
"Indus",19.7821977598509,0.523579925935901,2.6507679740885,24.2963954330346,0.500241859958139,2.06730915436101,26.7721905463428,0.347619858211217,1.27726846473633,39.2583700353654,0.266367956367728,0.677878779448426,25.0645179080328,0.159892862069114,0.61994066466088,55.8835218088611,1.42669153719879,2.56542586331945,42.4159902515872,2.60284348758133,6.06444829764385,61.3457868786182,5.17526629887445,8.32371401452811,60.2263227001624,5.92199321435849,9.75930328664044,25.8154256684702,2.07500766189493,8.04996192060504,32.157425017923,1.18303037736361,3.66243130808471,NA,NA,NA,4.75536523864812,0.207783458731274,0.821527370632793,4.23345434916063,0.190746752620675,0.784699087219734,6.56650701115481,0.177234720698578,0.512333142583623,6.78348508113058,0.121809064543291,0.286032630899801,3.29044039252903,0.0816689228192513,0.271657128045425,5.06001116021328,0.557402010579463,0.978827866861712,8.39368403514337,0.958636343541993,1.73897588972574,6.06465412951298,1.69754019977201,2.31656779044385,6.7552597424053,1.70140455100231,2.3141165779261,2.05250831944797,0.588270034177172,2.16163630535839,1.65529283578891,0.358694236805178,1.03415515399103,NA,NA,NA
"Amu_Darya",0.1493816945529,0.00526410291481994,3.51202493836682,0.184768749908355,0.00394464614379457,2.10563532243519,0.191770673502822,0.00238976441225556,0.965338937967707,0.831590897332855,0.00635433204895649,0.679789026607917,3.53113428132681,0.0334763235911842,0.88843260853048,3.41954792178344,0.0733538858214449,2.08859609805301,7.57347691278411,0.493035311715119,6.43755091492121,8.88449606880288,0.977742319518295,10.9581725568739,5.53158259931418,0.579927727345335,10.4357156434539,2.98105263095941,0.206297498569848,6.94252495932475,0.520213576129386,0.0221247459042981,4.18746586460432,NA,NA,NA,0.0733904039056115,0.00336746888934494,1.56354444944944,0.106492020048235,0.0034393911524715,1.31770538271958,0.21504065789326,0.00385098281484746,0.875430454594258,0.380710852062128,0.00606574376719725,0.319345072542236,0.70739802596906,0.023393587308937,0.41859596088386,0.332414221557711,0.041736937056047,1.0367797684779,0.515867387189544,0.201132481174351,2.45194153610581,0.428717385778283,0.332579974508783,3.55282647089421,0.375970750463607,0.175644113206741,2.88877193390522,0.326126960010976,0.060103724214947,1.97895791709606,0.256320235926484,0.0141184085575756,1.5449638667875,NA,NA,NA
"Brahmaputra",9.42330873060715,0.00104885660731554,0.0110697333642268,10.6379435432604,0.0018027856638541,0.0167553513930726,11.2722357942322,0.00408426432689022,0.035641140372308,4.28316083510203,0.00221968272050553,0.0504553306484692,6.95927360429185,0.00925323598890901,0.126578002230551,5.96914168826252,0.0189100339736155,0.315187873192136,8.38363239797432,0.0287965190562783,0.341434067691438,7.44773517839228,0.0239971528686715,0.320387662281268,7.21604705898931,0.0141769708994486,0.194401294148397,8.22841326156616,0.003994722117103,0.0481779921705775,4.7736934462137,0.00084959874972961,0.0177017794987191,NA,NA,NA,0.45805215178101,0.000556829926359676,0.0057091786053695,0.608250248985339,0.000909760654903276,0.00794924969229084,0.719238689327715,0.00263327496581466,0.0219580567940025,0.48087735676647,0.00162205034291833,0.0345068137622226,0.839075779224918,0.00680578363014018,0.0796813912763992,0.555860007615807,0.00631318001312448,0.0967209439820966,0.448867754411404,0.00814042091718372,0.087773555276748,0.534203504966318,0.00558334928220557,0.0573339538441504,0.535924237866066,0.00443778978595251,0.0523428288935304,0.648143094455632,0.00174257478481509,0.0200952451623986,0.398838120548358,0.000707453919371632,0.0145906081607067,NA,NA,NA
"Syr_Darya",0.0902353662105958,0.000936728342741889,0.889955239963241,0.0368416258960977,0.000534572106183152,1.24199225986536,0.0190790485337755,0.0003157904458919,1.44341354333066,0.103364400433728,0.00125147726856837,NA,0.998508617914011,0.0063708078264398,0.570813618462687,1.55005900764738,0.0145348357713345,0.872047075130157,4.76613650586808,0.13181091428421,2.66392906857638,5.89034102918565,0.290435376876153,4.80848196945347,3.7468648819617,0.196580640312867,5.14181997515637,1.52491878347396,0.0638759987169722,4.15121220508457,0.0593267118706051,0.00209268637702468,3.24710389894719,NA,NA,NA,0.0374957616239241,0.000944409054838114,0.554714940035348,0.0176973799827354,0.000561315254983137,0.860784811378084,0.0141174086011976,0.000526445447516728,1.4292707079307,0.112716149803895,0.00176693188175688,NA,0.560394328603019,0.00636829737654371,0.362759397545256,0.440545023786935,0.0108874318519379,0.461500868448745,0.883604593286187,0.069715028014945,1.11207039241805,0.734413600821376,0.139718980380088,1.84842040575559,0.516474830260829,0.0870246200541305,1.87892235698142,0.409138394861685,0.0299267656909883,1.4718056837597,0.0665005039511539,0.00244620192219779,1.16482208053073,NA,NA,NA
"Salween",0.637600820568733,8.60193949767118e-06,0.00134770753478018,0.632614897458972,9.7692479299444e-06,0.00153812480842664,0.296155222867401,8.63175541713716e-06,0.00283852212710254,0.0495360480263796,3.01100633118751e-06,0.00578362424477347,0.0700909759456697,3.44038022187804e-05,0.04978532602987,0.240718534675593,0.00147892336906521,0.609859063525584,0.303955855257558,0.00275957703275096,0.909582783724475,0.403368872396854,0.00361948402200511,0.892064145358754,0.387292072555221,0.00212922605856376,0.547959177759393,0.158076487778526,0.000526059735564241,0.330901207520268,0.536358354169528,5.56900884128963e-05,0.0103660811902916,NA,NA,NA,0.0158525193884332,3.55887208491151e-06,0.000553321238792307,0.0342235982234411,4.20332314516101e-06,0.000642346256370382,0.0261709992762727,5.45119119635246e-06,0.00166127336536151,0.0175982224258648,2.48773395330538e-06,0.00489737022355358,0.013392665022705,1.72155911007705e-05,0.0253816981604679,0.0162418084183343,0.000632716079384484,0.244815279683021,0.0151708875757894,0.000691244913123617,0.228676469593998,0.0299333556325962,0.000938302054125598,0.197990404002025,0.0282078023943402,0.00072980973297629,0.179845500599214,0.0114180015592906,0.000292471565132972,0.17075715728692,0.00964991504239658,2.92903133697777e-05,0.00539813283090874,NA,NA,NA
"Tarim",0.118288144355891,0.00202930252159519,1.80707807469842,0.192132114159031,0.00251817126639992,1.32724548497926,0.289249706909278,0.00266235539035037,0.820112037978548,0.128238632751562,0.00143928921943489,0.814706298030216,4.78767324749481,0.0693274270237436,1.39868508772746,5.89500123863329,0.236741959112378,3.86195671126937,8.16639322166457,1.09589705498313,13.2865663351931,6.60875793207331,1.00610785150067,14.9606729146279,2.46149492191616,0.284787296051975,11.4888181412263,0.63022045246001,0.0154099048763832,2.36423190779286,0.0927835549607116,0.00146421199083596,1.51099073419469,NA,NA,NA,0.031420824795083,0.00119820722935672,1.10113553253578,0.0685208897902409,0.00159756228024392,0.650093931437762,0.151803021316123,0.00252667357331814,0.426978940094852,0.0733164893661302,0.00235823616870421,0.653603541817416,0.373923844679407,0.0485068600946016,0.868136857479652,0.591700416443728,0.154733300924764,2.16765121786543,0.45755112414923,0.397237112902586,4.42736355193845,0.527972803000404,0.383887906007474,4.92348069716426,0.195453081182329,0.12185065015229,4.64295020810671,0.206925303201647,0.00921557729533328,0.995317175352425,0.0501483479897401,0.00116573651411971,0.962169980399432,NA,NA,NA
