"Jan_irrigationGross","Jan_GrossIrr_km3_pgn","Jan_GrossIrr_percent_pgn","Feb_irrigationGross","Feb_GrossIrr_km3_pgn","Feb_GrossIrr_percent_pgn","Mar_irrigationGross","Mar_GrossIrr_km3_pgn","Mar_GrossIrr_percent_pgn","Apr_irrigationGross","Apr_GrossIrr_km3_pgn","Apr_GrossIrr_percent_pgn","May_irrigationGross","May_GrossIrr_km3_pgn","May_GrossIrr_percent_pgn","Jun_irrigationGross","Jun_GrossIrr_km3_pgn","Jun_GrossIrr_percent_pgn","Jul_irrigationGross","Jul_GrossIrr_km3_pgn","Jul_GrossIrr_percent_pgn","Aug_irrigationGross","Aug_GrossIrr_km3_pgn","Aug_GrossIrr_percent_pgn","Sep_irrigationGross","Sep_GrossIrr_km3_pgn","Sep_GrossIrr_percent_pgn","Oct_irrigationGross","Oct_GrossIrr_km3_pgn","Oct_GrossIrr_percent_pgn","Nov_irrigationGross","Nov_GrossIrr_km3_pgn","Nov_GrossIrr_percent_pgn","Dec_irrigationGross","Dec_GrossIrr_km3_pgn","Dec_GrossIrr_percent_pgn","Jan_irrigationGross_stdev","Jan_GrossIrr_km3_pgn_stdev","Jan_GrossIrr_percent_pgn_stdev","Feb_irrigationGross_stdev","Feb_GrossIrr_km3_pgn_stdev","Feb_GrossIrr_percent_pgn_stdev","Mar_irrigationGross_stdev","Mar_GrossIrr_km3_pgn_stdev","Mar_GrossIrr_percent_pgn_stdev","Apr_irrigationGross_stdev","Apr_GrossIrr_km3_pgn_stdev","Apr_GrossIrr_percent_pgn_stdev","May_irrigationGross_stdev","May_GrossIrr_km3_pgn_stdev","May_GrossIrr_percent_pgn_stdev","Jun_irrigationGross_stdev","Jun_GrossIrr_km3_pgn_stdev","Jun_GrossIrr_percent_pgn_stdev","Jul_irrigationGross_stdev","Jul_GrossIrr_km3_pgn_stdev","Jul_GrossIrr_percent_pgn_stdev","Aug_irrigationGross_stdev","Aug_GrossIrr_km3_pgn_stdev","Aug_GrossIrr_percent_pgn_stdev","Sep_irrigationGross_stdev","Sep_GrossIrr_km3_pgn_stdev","Sep_GrossIrr_percent_pgn_stdev","Oct_irrigationGross_stdev","Oct_GrossIrr_km3_pgn_stdev","Oct_GrossIrr_percent_pgn_stdev","Nov_irrigationGross_stdev","Nov_GrossIrr_km3_pgn_stdev","Nov_GrossIrr_percent_pgn_stdev","Dec_irrigationGross_stdev","Dec_GrossIrr_km3_pgn_stdev","Dec_GrossIrr_percent_pgn_stdev"
"Ganges",44.3072113633203,0.0387539168159143,0.0883698575882673,51.5859067500936,0.0291654451177405,0.0570467020990737,35.4861975681077,0.0149956670671661,0.0421911584670205,41.548872414383,0.0271136217169143,0.0654952851124307,47.1262345459449,0.198830616941342,0.427141562936867,63.8785100085973,2.0994694691636,3.42573963797048,16.2898995296216,0.556518328928043,3.3528661626144,28.1436974573037,0.300483278069189,1.05363112432244,42.9693649816585,0.257726294140047,0.573545036931412,31.0225756315413,0.118374267535989,0.387567840934154,32.6010420991491,0.0476105681866792,0.145280234760695,NA,NA,NA,2.70567174964761,0.00816528961247987,0.0228765665547905,6.82313406800448,0.00524054828795977,0.0116250405136488,4.36587785767539,0.00329772682723877,0.00851578805212774,1.53272835260188,0.00666500503536397,0.0172472411401435,3.32370188262783,0.0365537962057135,0.098196525078159,9.53697112581717,0.497279756966093,1.29013068205803,2.35977454204994,0.189596640414277,0.763261607028233,2.86139529868918,0.198475566640453,0.632744190984802,6.22978512404495,0.152681869818623,0.26354729750739,3.84124893357736,0.0164419793781532,0.0780640970693319,4.36937270078783,0.0170475148342632,0.047010480296576,NA,NA,NA
"Mekong",7.40122451391525,6.34359735500426e-05,0.000849937318678179,5.52750126123164,1.38193940393203e-05,0.000252945665335472,2.2898164988544,3.68098057940609e-06,0.000157793512224995,1.13760943388819,1.90516715668833e-06,0.000160073409918544,3.47687856338466,1.16996735616075e-05,0.000303846961388024,3.7591914500116,0.000329977626681448,0.00819289277668694,4.61312977757775,0.000279792623058332,0.00603488227679067,3.89394871180423,0.000327007636464196,0.00850699735000888,3.32552795773962,0.000269489416911445,0.00813040888478018,2.88655243095602,0.000322940629735573,0.0111156429586456,6.81032556215351,0.000342544066091375,0.0050111658147317,NA,NA,NA,0.514922392445729,3.89488807928878e-05,0.000527027417370251,0.545039242921594,7.19273312251615e-06,0.000144121744848993,0.2355276372505,1.49141558896493e-06,5.35307572329289e-05,0.260161766320202,9.75265207196614e-07,5.99155796930356e-05,0.83646325381488,8.96753215485111e-06,0.000175792900058594,0.554927147720372,0.000273906719191919,0.0060976712718812,0.20498598227544,0.000111975689632857,0.00233076576383863,0.382713744691741,6.71147232684667e-05,0.00226107975055366,0.221769888202237,4.51294907359081e-05,0.00148699749829179,0.268256061659544,7.33453842679111e-05,0.00183604759455728,0.307172998840947,9.01826959415423e-05,0.00117250662649505,NA,NA,NA
"Irawaddy",2.96697173887034,1.68236173345103e-07,5.6666240953249e-06,3.03364673718064,1.8004131570907e-07,5.93162119403143e-06,1.36104365745715,9.36816295709216e-08,6.8564298846553e-06,0.283576303078613,2.59184656838748e-07,9.43777129330705e-05,0.161433030361577,5.37494920629533e-06,0.00297267202441269,0.410410918636233,1.8438320874384e-06,0.000428829872236105,1.36232167634331,0.0001143307415828,0.00825720435227084,1.55045155784223,0.000102068244386918,0.00656135512638092,1.54715485073812,8.55931742865e-05,0.00552582570590859,0.588603767783657,2.27207479922142e-05,0.00388038928119247,2.46512597719651,8.90131974873798e-06,0.000359437331603019,NA,NA,NA,0.0612003330917736,1.4263974124492e-08,4.08276538701401e-07,0.250326949974626,4.2229889939811e-08,1.24433104440419e-06,0.0645536302419776,2.81786977785306e-08,1.89309198511714e-06,0.0878008818992224,1.25139766646704e-07,3.76742141237227e-05,0.08370764082789,3.99491014963515e-06,0.00167032776338328,0.0433303167089204,1.60070517803476e-06,0.000360529971020512,0.164317932960417,3.51423921720454e-05,0.0017940971271469,0.0870257750940158,2.74175878187976e-05,0.00160458651066473,0.17100022037132,2.13155701046093e-05,0.00122628271274469,0.021735889811341,5.9802504933766e-06,0.0010672968741307,0.0604879135070627,5.75905668261849e-06,0.000231040774320534,NA,NA,NA
"Luni_ext",2.93907040858386,0.00593918866396774,0.215264493723179,5.09019002685928,0.00770809502196078,0.153701367093633,5.23567401917282,0.00721718524582406,0.13860604679253,7.21122751609784,0.00834536564435881,0.116236714696261,7.13025303908869,0.00567242616686824,0.0785088300704833,4.54588884789945,0.00948490391431387,0.226433057608773,2.23378632437961,0.0110558238357137,0.492765801410609,4.00106733403611,0.0232502845505568,0.585097218803077,4.57816142780737,0.029008068808172,0.627809803111013,4.11648382526645,0.0185284765648681,0.470759451177791,2.6949582381838,0.0128236405403236,0.48230945792843,NA,NA,NA,0.72674841520167,0.0011719387915958,0.0809345800853188,0.692812685787647,0.000757540231127673,0.0260486456197076,0.625708731399138,0.0016255063385812,0.029986611743851,0.303759850495474,0.00205364293358716,0.0311865306605905,0.954496242526592,0.0020016611862603,0.0208490512637121,0.521521708615017,0.00808279437514422,0.215384832373998,0.466773983753343,0.00555019747169456,0.192028444949078,0.416437306566823,0.00980816942711172,0.252251363213801,0.568795787081823,0.0123768636818602,0.215636675614452,0.768038005032879,0.00447390316782253,0.191213996228575,0.428135267874691,0.00308946384603776,0.112477504338997,NA,NA,NA
"Indus",23.218583656002,0.206313054902101,0.881033468831312,24.1315264502524,0.179793542113142,0.75221138258458,28.232045528732,0.126655104394768,0.442808785126116,41.6035190439682,0.123123324603496,0.295424952160196,23.2430258043637,0.0767490699205274,0.313129160863917,57.7051182329945,0.488876612655296,0.880794848838556,44.470885293646,0.564377415251148,1.29671073490518,66.0941018748906,1.07242980904382,1.61509937461937,61.3107267897055,1.20986222776249,1.9742286334841,27.4106074953695,0.49612937187474,1.81595312328646,32.109971694054,0.332971835443792,1.04249094208221,NA,NA,NA,1.80837298603842,0.041313152522001,0.120826484311716,4.59264640698209,0.0325178381290643,0.106951994865114,3.77386401033573,0.0448711738488289,0.116350073358295,2.6614113542831,0.0472566903134658,0.110667754853605,3.62119923793482,0.0461239418374697,0.140259685129748,8.25040814895122,0.179149292823231,0.424269811840836,6.4306662275617,0.137346738325868,0.375061953727096,8.23354952226232,0.355171573143324,0.455574627276068,5.64356717211688,0.190932559349209,0.268527327973643,2.0372539167965,0.0497056491286162,0.204928097340107,3.01667232414868,0.023864201124529,0.0930760305393559,NA,NA,NA
"Amu_Darya",0.119904528015096,0.00132986294048838,1.07260225773631,0.219532373777496,0.00142561177972083,0.66143477163129,0.121930249985675,0.000404143407030406,0.338372958481876,0.81312451489564,0.00145296318045288,0.170259189707294,3.83155985149597,0.0157877694432215,0.402728767954262,3.69819798794406,0.0374196680924937,1.00666586338843,8.06741809398943,0.148021642568091,1.82663981449317,9.20857620101394,0.289629543875649,3.14891151775631,5.72382457291942,0.179550123777792,3.1237702137898,3.08935496688184,0.0672340693613998,2.17469791469396,0.616448704329292,0.00623885931811317,0.906648001876338,NA,NA,NA,0.0251533539298232,0.000524830273733556,0.236622307880369,0.0963878614656536,0.00100792278053407,0.526761558703832,0.0347854025005613,0.000230749038994313,0.187193372530543,0.220968342803356,0.000929972557385867,0.0634450400007559,0.37509550654448,0.00681599478796444,0.124232082302335,0.253304110547261,0.00925807146789628,0.214561722029358,0.496075489104677,0.0259620704468928,0.226483758801707,0.170171063198035,0.0345006804200918,0.409645029317003,0.283823493719497,0.0271232734618837,0.326930214356264,0.198266511107263,0.00835779403258738,0.203673373535596,0.313864676125626,0.00465005142919661,0.253328994782896,NA,NA,NA
"Brahmaputra",10.1911898501192,0.00172768913764698,0.0163968590080414,11.3730057117146,0.00219070107245387,0.0190136831608346,12.1483196665265,0.00440737476025963,0.0358534994034985,4.67553904226783,0.00387669670230348,0.0811400458495569,7.15367148151379,0.00887608691941133,0.120450713982757,6.97573103973223,0.0629841627562631,0.903487174899885,8.79442064195153,0.0597869411760108,0.675874651452649,7.94049542500149,0.0368575958264687,0.464216334977068,7.80484194035547,0.0231706095894486,0.298498941528445,8.56544097359015,0.0082933073598973,0.095011791262243,5.03808443223878,0.00156475259582735,0.0315543100589046,NA,NA,NA,0.848996735029881,0.000972584738815116,0.00836976655179796,0.66429770779573,0.0009996101077301,0.0079802765032067,0.877508769962404,0.00142370489606712,0.00937888369015225,0.617954955762609,0.00128603037424783,0.0183328530917274,0.730332798647724,0.00417196354998639,0.0442664613797486,0.826749611245656,0.0211591028357615,0.286450932132762,0.490650439572519,0.0160588052060894,0.157769949534819,0.348262016152055,0.0121789079079549,0.152315182401216,0.45373615021344,0.0038014730338326,0.057976615381349,0.686814805866524,0.00328409187394021,0.0299706916513732,0.652806958989401,0.000510556581250108,0.0115438910068629,NA,NA,NA
"Syr_Darya",0.0878907487312214,0.000448756507273269,0.408406574530403,0.0466286704671788,0.000321287001721014,0.624111190372462,0.0226275860278236,0.000112585457673941,0.54394219985431,0.050225352378933,0.000135478161466914,0.291522554856436,0.836532436882924,0.00266984935244301,0.305336705913765,1.65100268849564,0.00964175232457054,0.582890379651708,4.79470204003662,0.0677897289109857,1.41528981804752,5.87552380993345,0.119691485188378,2.04024778019103,3.71067004023669,0.0762548454341643,2.05675818109337,1.41897362004425,0.0236425656364619,1.65937039167554,0.0617740123943425,0.000923785212155588,1.14242910391019,NA,NA,NA,0.0673328754905877,0.000488349501939668,0.169919228617886,0.0410102754582251,0.000399676621449871,0.209752452813084,0.0232462312172075,9.20166597560911e-05,0.12787434824683,0.0495287252847235,0.000134752643408144,0.112385983073355,0.321238065154904,0.00166050414264421,0.0886322754236074,0.224559655315749,0.00297503887952016,0.158191078280367,0.518321545097655,0.0127466791146991,0.247393742567291,0.187162772874939,0.0121645659220525,0.236139168470286,0.365990393043709,0.00976075538723674,0.203967086014319,0.237817692063216,0.00543627412610259,0.200531571732218,0.116825374188588,0.00179942280678865,0.573628791168644,NA,NA,NA
"Salween",0.653435926322985,5.992565412663e-06,0.000918374714397165,0.62528340452686,7.51193902473976e-06,0.00121748909464791,0.282706070724674,1.39188881433274e-05,0.00487026901749954,0.0642601092473183,5.98491664900542e-06,0.00841119507222582,0.0729300603121187,1.48435371192593e-05,0.0198413526125178,0.241553858346169,0.00114346063320835,0.474295648382051,0.308376788497287,0.00208395470138653,0.671288636464983,0.406616568480031,0.00238327734767656,0.586438474403103,0.389668818215734,0.00156110617949887,0.400392859855285,0.157237641160744,0.000479149443782271,0.30510133821507,0.544121524205139,4.99165516922331e-05,0.00914600322029973,NA,NA,NA,0.0173297503065398,1.14943742149662e-06,0.000181950221018907,0.0558805993089376,2.52646084644205e-06,0.000457233211389519,0.0343072962359658,6.90666651699934e-06,0.00204348329628786,0.0276247827493693,5.07041749113555e-06,0.00528423499172226,0.0167885316159156,7.63203122725055e-06,0.00622596155978657,0.0203305123321363,0.000332101824999589,0.1336087153693,0.0204112187132014,0.000454340824266967,0.115460105717972,0.022085127596819,0.000490542725905392,0.11587781802362,0.0295278367831585,0.000261353531777069,0.0570278185936919,0.00358461516529521,7.29244316947898e-05,0.0481079214450887,0.012117992496085,1.50438354633543e-05,0.00263135755875402,NA,NA,NA
"Tarim",0.102688815010944,0.000305730978636939,0.310111354058543,0.213392278887795,0.000393755482517874,0.183263235343296,0.248870203407421,0.000378716852140654,0.142512562829331,0.0798765803726204,0.000149306464535199,0.18219478023903,4.59685215302975,0.0152624102825208,0.330269494494122,5.91974675567797,0.0426911205282124,0.728635179716323,8.42078269641445,0.147627525908539,1.8030361105582,6.59693248494765,0.143555648543594,2.18256689520854,2.43934667287418,0.0434712762345261,1.77818798357396,0.6973156669832,0.00286501506101015,0.409107015904319,0.12516645490814,0.000346139078783211,0.274937392779363,NA,NA,NA,0.0278443321297778,0.000128008852502295,0.113921845644703,0.0474688675463513,0.000157145301618223,0.0426864946058469,0.0882422965030985,0.00021209890529616,0.0471550637252038,0.0624528429670475,0.000139233343979005,0.0746358838384474,0.254105138775753,0.00294126028004344,0.0478290327800208,0.359527018730499,0.00976019029028841,0.1956015007904,0.926969527446193,0.0308009525457171,0.568924411099554,0.67876360175895,0.0137607492753768,0.16444403340858,0.240830256329586,0.00791663046892335,0.24592298860739,0.245576302332412,0.00114667173267132,0.0731919980872023,0.0557042800611969,0.000243149062977642,0.186448523316318,NA,NA,NA
