"irrigationGross","GrossIrr_km3_pr","GrossIrr_percent_pr","irrigationGross_stdev","GrossIrr_mm_pr_stdev","GrossIrr_percent_pr_stdev"
"Ganges",482.728955914339,409.860267237402,86.0417286396884,69.6585116825354,21.7686776094852,10.3190782318969
"Mekong",100.310167393614,99.9910295314943,99.6872853473626,3.8228610361587,3.64555893501608,0.247462283204373
"Irawaddy",35.1105081989573,35.1031234050577,99.9790068002578,0.558405977076267,0.557221192423233,0.0053849474016818
"Luni_ext",27.7896855953387,15.1610632248697,59.2580791515228,13.3093263157939,5.60337612845602,14.911530549756
"Indus",199.475784576255,146.096633995994,74.0738638424264,70.7376866900619,46.380741926161,3.98627056772491
"Amu_Darya",1.33987840225218,0.782430296900309,60.2032191912175,0.404018182845285,0.132510478260215,9.30855644513339
"Brahmaputra",124.024047829008,120.050230338809,96.8230449201665,5.21161665298426,4.25712393432164,1.10766625411849
"Syr_Darya",1.07386942958658,0.61553413492094,52.6797502413197,0.764901341993901,0.486050972742099,9.87744834387403
"Salween",8.06586991693866,7.98103658780626,98.9531025790819,0.170641237624488,0.152684784117492,0.614812049728041
"Tarim",1.4604074051751,0.889203469786716,61.0391579744788,0.142829700648848,0.0795338086859663,3.80710315970706
"Ili",2.22808872487961,0.964037057669594,43.191879305663,0.257602354465761,0.156483526063136,4.31047582579553
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",341.387580822533,336.652701504394,98.6318052258624,26.5155200522982,25.3999911349128,0.859592328532375
"Inner_Tibetan_Plateau_extended",0.924343356658963,0.375181492689956,40.981134167168,0.443420907281228,0.180040781354411,2.61754106094466
"Yellow",9.08228110401824,7.66602724109011,84.7561823692374,3.36434092654639,2.70883869499106,2.6117602544679
"all_basins",1335.28434302338,1182.45393085667,89.0512285709361,153.661414903577,67.7105389087506,5.39056483823538
