"irrigationGross","GrossIrr_km3_pr","GrossIrr_percent_pr","irrigationGross_stdev","GrossIrr_mm_pr_stdev","GrossIrr_percent_pr_stdev"
"Ganges",451.324500976215,298.511577699459,66.3598496171033,23.3160610349386,18.2035348818065,5.7922811944781
"Mekong",52.2291403109556,51.9126674278291,99.4089463653381,2.14838450370722,1.96281155270393,0.689097123726005
"Irawaddy",17.2050514569487,17.1973928771226,99.9555201885908,0.403999091828801,0.403576731717897,0.0168236785685509
"Luni_ext",54.8018112056589,23.7418306342944,43.652251412331,3.21218710723978,3.81534026100784,8.39894189869643
"Indus",418.462353670404,261.656900916343,62.6318049052293,23.8184378378346,15.0597569450864,3.71566144407716
"Amu_Darya",34.9122791790269,15.2168309838116,43.7369899445842,2.09919212258922,1.49202984892854,5.01532610810186
"Brahmaputra",94.4424471464681,92.1118315398493,97.5402298103092,2.54743203566303,2.29816330783687,0.780766558712002
"Syr_Darya",18.8137262205193,12.2981442916499,65.6353447753801,2.16689454251611,1.27722285472821,4.77382694211807
"Salween",4.26125472479295,4.14567749924542,97.2870388581897,0.0968277169313398,0.0969157680715686,0.390783851793379
"Tarim",30.8473335834219,16.0972472747913,52.4295675977582,1.90916315547261,1.18655785569721,5.55261455452023
"Ili",34.2183246325653,12.7425986990688,37.3300459103411,1.67029716643506,1.14297634381076,3.79278393689312
"Inner_Tibetan_Plateau",0.0995718621228868,0.0528005006950979,53.0056280844564,0.00224002345534974,0.00714547149596364,6.90420622369378
"Yangtze",389.918214049512,367.155918081576,94.2474820423406,15.5024048752251,8.32132759593266,2.67673712600785
"Inner_Tibetan_Plateau_extended",10.2445767618645,5.53421834514236,54.1621672894234,0.381851522807457,0.615651929517536,6.8967272429459
"Yellow",79.6648773209309,57.6595222088444,72.6366252966461,8.10064664232153,5.7833879904578,5.87985711293079
"all_basins",1693.19228955187,1237.23364651309,73.1200995818605,49.3364008835629,30.3235680664056,2.44480343887544
