"irrigationGross","GrossIrr_km3_pgn","GrossIrr_percent_pgn","irrigationGross_stdev","GrossIrr_mm_pgn_stdev","GrossIrr_percent_pgn_stdev"
"Ganges",521.681681932739,0.45629611801916,0.0883698577733082,31.8571028750206,0.0961397009763415,0.0228765667564497
"Mekong",96.4802482532221,0.000826933226425774,0.000849937315660404,6.71238139242986,0.000507726476407085,0.000527027408387888
"Irawaddy",34.9336996130601,1.98084526360858e-06,5.66662406777228e-06,0.720584657433705,1.67946801158424e-07,4.0827654693255e-07
"Luni_ext",35.7586899567581,0.0722601286834831,0.215264493587346,8.84210566504672,0.014258588771334,0.0809345802294971
"Indus",273.380098032881,2.42916984083408,0.881033468788268,21.2921332350412,0.48642905458841,0.120826485876064
"Amu_Darya",1.45883840851944,0.0161799992960344,1.07260228113561,0.306032470050565,0.00638543503985378,0.236622314998195
"Brahmaputra",119.993041867422,0.0203421463667558,0.0163968590594435,9.99625162207579,0.0114514009138134,0.00836976655500311
"Syr_Darya",1.0348426840422,0.00528374603537875,0.408406583137809,0.792790294624575,0.00574992153921049,0.169919233749114
"Salween",7.9501370678402,7.29095448815643e-05,0.000918374707685415,0.210845326290095,1.39848215262741e-05,0.000181950224584473
"Tarim",1.20907797841654,0.00359973570191072,0.310111352858757,0.327844544628639,0.00150720111784632,0.113921852110661
"Ili",2.07280873242754,0.00774138025391408,0.317261447618426,1.0831765503812,0.00560853328445501,0.139939171210767
"Inner_Tibetan_Plateau",0.00335048174168036,0,NA,0.00516573239158832,0,NA
"Yangtze",345.966301157183,0.207866808621948,0.0586486742677313,22.4456797748927,0.12728988393197,0.0340328724146887
"Inner_Tibetan_Plateau_extended",1.07180261685896,0.00141358326369649,0.148386774649876,0.352039015434213,0.000420545386202096,0.0850777802324491
"Yellow",14.2344445298407,0.0022619996925433,0.0162640339071759,5.8143872054077,0.00107235115004365,0.00402457157524735
"all_basins",1457.55662878962,3.22446431319113,0.220541600937887,46.6196332055978,0.669554464537391,0.0427839478399519
