"irrigationGross","GrossIrr_km3_pu","GrossIrr_percent_pu","irrigationGross_stdev","GrossIrr_mm_pu_stdev","GrossIrr_percent_pu_stdev"
"Ganges",482.728955914339,49.4536069636183,9.24541687191161,69.6585116825354,52.4681085205555,8.92147016885332
"Mekong",100.310167393614,0.0754907213319694,0.0731935983111701,3.8228610361587,0.121293497280233,0.11698577734474
"Irawaddy",35.1105081989573,5.24768976498844e-09,1.49538784441697e-08,0.558405977076267,4.20312926665336e-09,1.18902504623079e-08
"Luni_ext",27.7896855953387,10.7304121435043,33.5527340551051,13.3093263157939,8.75972025818523,15.1932494292363
"Indus",199.475784576255,4.59686706287649,2.12730705990776,70.7376866900619,3.28603397287035,0.91379893529218
"Amu_Darya",1.33987840225218,0.106939393830845,8.08763497889338,0.404018182845285,0.0262898148597469,0.84220545490951
"Brahmaputra",124.024047829008,0.139320489390281,0.110057046395325,5.21161665298426,0.13768818359076,0.107754624023623
"Syr_Darya",1.07386942958658,0.174057873561027,25.9114517410118,0.764901341993901,0.070826008133491,19.4873616657538
"Salween",8.06586991693866,1.24946604830621e-20,1.5511811420504e-19,0.170641237624488,1.76188610407997e-20,2.1743761702965e-19
"Tarim",1.4604074051751,0.00243077764122537,0.167411966689965,0.142829700648848,0.00520524258176198,0.359878757765542
"Ili",2.22808872487961,0.898568685324611,40.4427760848087,0.257602354465761,0.184298138322923,7.41588325156106
"Inner_Tibetan_Plateau",0,0,NA,0,0,NA
"Yangtze",341.387580822533,2.1770027593522,0.627316764981576,26.5155200522982,1.95087534402987,0.549897272139443
"Inner_Tibetan_Plateau_extended",0.924343356658963,0.35282398302525,36.5418746089977,0.443420907281228,0.196355314188556,5.3153495491029
"Yellow",9.08228110401824,0.351940185637299,3.33353901967854,3.36434092654639,0.313833426490674,2.56303314611255
"all_basins",1335.28434302338,69.0597247288057,4.79721073260916,153.661414903577,63.9600837582301,4.01569959837751
